Date,Time,Relative_time,Ambient,Temperature,Peak Magnitude (RAW),Resonance_Frequency,Dissipation
2024-02-06,10:22:25,0.0541,26.56,24.75,3340,15080728.0,2.454972052135644e-05
2024-02-06,10:22:25,0.0821,26.56,24.75,3302,15081050.0,2.608808602933685e-05
2024-02-06,10:22:25,0.1126,26.56,24.75,3316,15080960.0,2.551041355212326e-05
2024-02-06,10:22:25,0.117,26.56,24.75,3308,15080962.0,2.583892737561843e-05
2024-02-06,10:22:25,0.1212,26.56,24.75,3307,15080962.0,2.588028794874243e-05
2024-02-06,10:22:25,0.1253,26.56,24.75,3307,15080961.0,2.588028794874243e-05
2024-02-06,10:22:25,0.1294,26.56,24.75,3308,15080962.0,2.583892737561843e-05
2024-02-06,10:22:26,0.1338,26.56,24.75,3308,15080962.0,2.583892737561843e-05
2024-02-06,10:22:26,0.1381,26.56,24.75,3308,15080962.0,2.583892737561843e-05
2024-02-06,10:22:26,0.1423,26.56,24.75,3308,15080962.0,2.583892737561843e-05
2024-02-06,10:22:26,0.1466,26.56,24.75,3309,15080962.0,2.579763290287992e-05
2024-02-06,10:22:26,0.1508,26.56,24.75,3309,15080963.0,2.579763290287992e-05
2024-02-06,10:22:26,0.155,26.56,24.75,3308,15080962.0,2.583892737561843e-05
2024-02-06,10:22:26,0.1592,26.56,24.75,3308,15080962.0,2.583892737561843e-05
2024-02-06,10:22:26,0.1635,26.56,24.75,3308,15080962.0,2.583892737561843e-05
2024-02-06,10:22:26,0.1677,26.56,24.75,3308,15080962.0,2.583892737561843e-05
2024-02-06,10:22:26,0.1719,26.56,24.75,3308,15080962.0,2.583892737561843e-05
2024-02-06,10:22:26,0.1761,26.56,24.75,3308,15080962.0,2.583892737561843e-05
2024-02-06,10:22:26,0.1804,26.56,24.75,3308,15080962.0,2.583892737561843e-05
2024-02-06,10:22:26,0.1846,26.56,24.75,3308,15080962.0,2.583892737561843e-05
2024-02-06,10:22:26,0.1888,26.56,24.75,3309,15080962.0,2.579763290287992e-05
2024-02-06,10:22:26,0.193,26.56,24.75,3309,15080963.0,2.579763290287992e-05
2024-02-06,10:22:26,0.1973,26.56,24.75,3309,15080962.0,2.579763290287992e-05
2024-02-06,10:22:26,0.2015,26.56,24.75,3309,15080962.0,2.579763290287992e-05
2024-02-06,10:22:26,0.2057,26.56,24.75,3309,15080962.0,2.579763290287992e-05
2024-02-06,10:22:26,0.2099,26.56,24.75,3310,15080962.0,2.575640442488854e-05
2024-02-06,10:22:26,0.2184,26.56,24.75,3309,15080964.0,2.579763290287992e-05
2024-02-06,10:22:26,0.2226,26.56,24.75,3308,15080963.0,2.583892737561843e-05
2024-02-06,10:22:26,0.2268,26.56,24.75,3309,15080962.0,2.579763290287992e-05
2024-02-06,10:22:26,0.231,26.56,24.75,3310,15080962.0,2.575640442488854e-05
2024-02-06,10:22:26,0.2354,26.56,24.75,3309,15080963.0,2.579763290287992e-05
2024-02-06,10:22:26,0.2396,26.56,24.75,3309,15080963.0,2.579763290287992e-05
2024-02-06,10:22:26,0.2479,26.56,24.75,3308,15080962.0,2.583892737561843e-05
2024-02-06,10:22:26,0.2522,26.56,24.75,3308,15080962.0,2.583892737561843e-05
2024-02-06,10:22:26,0.2564,26.56,24.75,3309,15080962.0,2.579763290287992e-05
2024-02-06,10:22:26,0.2607,26.56,24.75,3310,15080962.0,2.575640442488854e-05
2024-02-06,10:22:26,0.265,26.56,24.75,3310,15080963.0,2.575640442488854e-05
2024-02-06,10:22:26,0.2692,26.56,24.75,3309,15080963.0,2.579763290287992e-05
2024-02-06,10:22:26,0.2778,26.56,24.75,3308,15080963.0,2.583892737561843e-05
2024-02-06,10:22:26,0.282,26.56,24.75,3308,15080962.0,2.583892737561843e-05
2024-02-06,10:22:26,0.2862,26.56,24.75,3308,15080962.0,2.583892737561843e-05
2024-02-06,10:22:26,0.2904,26.56,24.75,3310,15080963.0,2.575640442488854e-05
2024-02-06,10:22:26,0.2947,26.56,24.75,3310,15080963.0,2.575640442488854e-05
2024-02-06,10:22:26,0.2989,26.56,24.75,3308,15080963.0,2.583892737561843e-05
2024-02-06,10:22:26,0.3073,26.56,24.75,3308,15080962.0,2.583892737561843e-05
2024-02-06,10:22:26,0.3116,26.56,24.75,3308,15080962.0,2.583892737561843e-05
2024-02-06,10:22:26,0.3158,26.56,24.75,3309,15080962.0,2.579763290287992e-05
2024-02-06,10:22:26,0.32,26.56,24.75,3309,15080962.0,2.579763290287992e-05
2024-02-06,10:22:26,0.3242,26.56,24.75,3309,15080962.0,2.579763290287992e-05
2024-02-06,10:22:26,0.3285,26.56,24.75,3309,15080962.0,2.579763290287992e-05
2024-02-06,10:22:26,0.3327,26.56,24.75,3309,15080963.0,2.579763290287992e-05
2024-02-06,10:22:26,0.3411,26.56,24.75,3309,15080962.0,2.579763290287992e-05
