Date,Time,Relative_time,Ambient,Temperature,Peak Magnitude (RAW),Resonance_Frequency,Dissipation
2023-05-24,11:09:03,0.0537,25.56,25.0,3035,15120024.0,3.998586538785644e-05
2023-05-24,11:09:03,0.082,25.56,25.0,3009,15120318.0,4.16837412939243e-05
2023-05-24,11:09:03,0.1123,25.56,25.0,3016,15120239.0,4.121965309030415e-05
2023-05-24,11:09:03,0.1161,25.56,25.0,3014,15120239.0,4.135171994812177e-05
2023-05-24,11:09:03,0.12,25.56,25.0,3014,15120240.0,4.135171994812177e-05
2023-05-24,11:09:03,0.1237,25.56,25.0,3014,15120238.0,4.135171994812177e-05
2023-05-24,11:09:03,0.1274,25.56,25.0,3013,15120238.0,4.141791196963466e-05
2023-05-24,11:09:03,0.1311,25.56,25.0,3013,15120239.0,4.141791196963466e-05
2023-05-24,11:09:03,0.1348,25.56,25.0,3014,15120240.0,4.135171994812177e-05
2023-05-24,11:09:03,0.1386,25.56,25.0,3014,15120240.0,4.135171994812177e-05
2023-05-24,11:09:03,0.1425,25.56,25.0,3014,15120240.0,4.135171994812177e-05
2023-05-24,11:09:03,0.1462,25.56,25.0,3014,15120240.0,4.135171994812177e-05
2023-05-24,11:09:03,0.1499,25.56,25.0,3014,15120239.0,4.135171994812177e-05
2023-05-24,11:09:03,0.1537,25.56,25.0,3014,15120239.0,4.135171994812177e-05
2023-05-24,11:09:03,0.1575,25.56,25.0,3014,15120240.0,4.135171994812177e-05
2023-05-24,11:09:03,0.1612,25.56,25.0,3014,15120240.0,4.135171994812177e-05
2023-05-24,11:09:03,0.165,25.56,25.0,3014,15120240.0,4.135171994812177e-05
2023-05-24,11:09:03,0.1687,25.56,25.0,3014,15120240.0,4.135171994812177e-05
2023-05-24,11:09:03,0.1724,25.56,25.0,3013,15120239.0,4.141791196963466e-05
2023-05-24,11:09:03,0.1761,25.56,25.0,3013,15120238.0,4.141791196963466e-05
2023-05-24,11:09:03,0.18,25.56,25.0,3014,15120240.0,4.135171994812177e-05
2023-05-24,11:09:03,0.1838,25.56,25.0,3014,15120240.0,4.135171994812177e-05
2023-05-24,11:09:03,0.1875,25.56,25.0,3014,15120240.0,4.135171994812177e-05
2023-05-24,11:09:03,0.1913,25.56,25.0,3014,15120240.0,4.135171994812177e-05
2023-05-24,11:09:03,0.195,25.56,25.0,3015,15120240.0,4.12856337113649e-05
2023-05-24,11:09:03,0.1987,25.56,25.0,3016,15120240.0,4.121965309030415e-05
2023-05-24,11:09:03,0.2025,25.56,25.0,3015,15120240.0,4.12856337113649e-05
2023-05-24,11:09:03,0.2064,25.56,25.0,3014,15120240.0,4.135171994812177e-05
2023-05-24,11:09:03,0.2101,25.56,25.0,3014,15120240.0,4.135171994812177e-05
2023-05-24,11:09:03,0.2138,25.56,25.0,3015,15120240.0,4.12856337113649e-05
2023-05-24,11:09:03,0.2175,25.56,25.0,3015,15120239.0,4.12856337113649e-05
2023-05-24,11:09:03,0.2213,25.56,25.0,3014,15120240.0,4.135171994812177e-05
2023-05-24,11:09:03,0.225,25.56,25.0,3014,15120240.0,4.135171994812177e-05
2023-05-24,11:09:03,0.2288,25.56,25.0,3014,15120240.0,4.135171994812177e-05
2023-05-24,11:09:03,0.2326,25.56,25.0,3014,15120240.0,4.135171994812177e-05
2023-05-24,11:09:03,0.2363,25.56,25.0,3014,15120240.0,4.135171994812177e-05
2023-05-24,11:09:03,0.24,25.56,25.0,3014,15120241.0,4.135171994812177e-05
2023-05-24,11:09:03,0.2437,25.56,25.0,3014,15120240.0,4.135171994812177e-05
2023-05-24,11:09:03,0.2474,25.56,25.0,3013,15120239.0,4.141791196963466e-05
2023-05-24,11:09:03,0.2513,25.56,25.0,3013,15120240.0,4.141791196963466e-05
2023-05-24,11:09:03,0.2551,25.56,25.0,3014,15120241.0,4.135171994812177e-05
2023-05-24,11:09:03,0.2588,25.56,25.0,3014,15120241.0,4.135171994812177e-05
2023-05-24,11:09:03,0.2625,25.56,25.0,3014,15120238.0,4.135171994812177e-05
2023-05-24,11:09:03,0.2664,25.56,25.0,3014,15120239.0,4.135171994812177e-05
2023-05-24,11:09:03,0.2701,25.56,25.0,3014,15120241.0,4.135171994812177e-05
2023-05-24,11:09:03,0.2738,25.56,25.0,3015,15120240.0,4.12856337113649e-05
2023-05-24,11:09:03,0.2777,25.56,25.0,3015,15120240.0,4.12856337113649e-05
2023-05-24,11:09:03,0.2814,25.56,25.0,3014,15120240.0,4.135171994812177e-05
2023-05-24,11:09:03,0.2851,25.56,25.0,3014,15120240.0,4.135171994812177e-05
2023-05-24,11:09:03,0.2889,25.56,25.0,3014,15120240.0,4.135171994812177e-05
2023-05-24,11:09:03,0.2928,25.56,25.0,3014,15120241.0,4.135171994812177e-05
2023-05-24,11:09:03,0.2965,25.56,25.0,3014,15120240.0,4.135171994812177e-05
2023-05-24,11:09:03,0.3001,25.56,25.0,3014,15120240.0,4.135171994812177e-05
2023-05-24,11:09:03,0.3038,25.56,25.0,3015,15120239.0,4.12856337113649e-05
2023-05-24,11:09:03,0.3076,25.56,25.0,3015,15120239.0,4.12856337113649e-05
2023-05-24,11:09:03,0.3113,25.56,25.0,3014,15120240.0,4.135171994812177e-05
2023-05-24,11:09:03,0.315,25.56,25.0,3014,15120240.0,4.135171994812177e-05
2023-05-24,11:09:03,0.3189,25.56,25.0,3014,15120240.0,4.135171994812177e-05
2023-05-24,11:09:03,0.3227,25.56,25.0,3014,15120240.0,4.135171994812177e-05
2023-05-24,11:09:03,0.3265,25.56,25.0,3014,15120240.0,4.135171994812177e-05
2023-05-24,11:09:03,0.3303,25.56,25.0,3014,15120240.0,4.135171994812177e-05
2023-05-24,11:09:03,0.3338,25.56,25.0,3014,15120240.0,4.135171994812177e-05
2023-05-24,11:09:03,0.3377,25.56,25.0,3014,15120240.0,4.135171994812177e-05
2023-05-24,11:09:03,0.3415,25.56,25.0,3014,15120239.0,4.135171994812177e-05
2023-05-24,11:09:03,0.3452,25.56,25.0,3014,15120239.0,4.135171994812177e-05
2023-05-24,11:09:03,0.3489,25.56,25.0,3014,15120240.0,4.135171994812177e-05
2023-05-24,11:09:03,0.3527,25.56,25.0,3014,15120241.0,4.135171994812177e-05
2023-05-24,11:09:03,0.3565,25.56,25.0,3014,15120240.0,4.135171994812177e-05
2023-05-24,11:09:03,0.3602,25.56,25.0,3014,15120240.0,4.135171994812177e-05
2023-05-24,11:09:03,0.3639,25.56,25.0,3015,15120240.0,4.12856337113649e-05
2023-05-24,11:09:03,0.3678,25.56,25.0,3015,15120240.0,4.12856337113649e-05
2023-05-24,11:09:03,0.3715,25.56,25.0,3014,15120240.0,4.135171994812177e-05
2023-05-24,11:09:03,0.3752,25.56,25.0,3014,15120240.0,4.135171994812177e-05
2023-05-24,11:09:03,0.379,25.56,25.0,3015,15120239.0,4.12856337113649e-05
2023-05-24,11:09:03,0.3829,25.56,25.0,3016,15120240.0,4.121965309030415e-05
2023-05-24,11:09:03,0.3866,25.56,25.0,3015,15120240.0,4.12856337113649e-05
2023-05-24,11:09:03,0.3903,25.56,25.0,3014,15120241.0,4.135171994812177e-05
2023-05-24,11:09:03,0.394,25.56,25.0,3015,15120241.0,4.12856337113649e-05
2023-05-24,11:09:03,0.3977,25.56,25.0,3015,15120245.0,4.12856337113649e-05
2023-05-24,11:09:03,0.4016,25.56,25.0,3014,15120245.0,4.135171994812177e-05
2023-05-24,11:09:03,0.4053,25.56,25.0,3014,15120241.0,4.135171994812177e-05
2023-05-24,11:09:03,0.409,25.56,25.0,3014,15120240.0,4.135171994812177e-05
2023-05-24,11:09:03,0.4128,25.56,25.0,3014,15120240.0,4.135171994812177e-05
2023-05-24,11:09:03,0.4165,25.56,25.0,3015,15120240.0,4.12856337113649e-05
2023-05-24,11:09:03,0.4202,25.56,25.0,3015,15120240.0,4.12856337113649e-05
2023-05-24,11:09:03,0.424,25.56,25.0,3015,15120240.0,4.12856337113649e-05
2023-05-24,11:09:03,0.4277,25.56,25.0,3016,15120241.0,4.121965309030415e-05
2023-05-24,11:09:03,0.4315,25.56,25.0,3015,15120241.0,4.12856337113649e-05
2023-05-24,11:09:03,0.4353,25.56,25.0,3014,15120240.0,4.135171994812177e-05
2023-05-24,11:09:03,0.4391,25.56,25.0,3014,15120240.0,4.135171994812177e-05
2023-05-24,11:09:03,0.4428,25.56,25.0,3014,15120240.0,4.135171994812177e-05
2023-05-24,11:09:03,0.4465,25.56,25.0,3014,15120241.0,4.135171994812177e-05
2023-05-24,11:09:03,0.4502,25.56,25.0,3014,15120241.0,4.135171994812177e-05
2023-05-24,11:09:03,0.4539,25.56,25.0,3014,15120241.0,4.135171994812177e-05
2023-05-24,11:09:03,0.4576,25.56,25.0,3015,15120241.0,4.12856337113649e-05
2023-05-24,11:09:03,0.4615,25.56,25.0,3015,15120241.0,4.12856337113649e-05
2023-05-24,11:09:03,0.4653,25.56,25.0,3015,15120240.0,4.12856337113649e-05
2023-05-24,11:09:03,0.469,25.56,25.0,3015,15120240.0,4.12856337113649e-05
2023-05-24,11:09:03,0.4727,25.56,25.0,3015,15120241.0,4.12856337113649e-05
2023-05-24,11:09:03,0.4764,25.56,25.0,3015,15120240.0,4.12856337113649e-05
2023-05-24,11:09:03,0.4801,25.56,25.0,3014,15120239.0,4.135171994812177e-05
2023-05-24,11:09:03,0.484,25.56,25.0,3015,15120240.0,4.12856337113649e-05
2023-05-24,11:09:03,0.4878,25.56,25.0,3015,15120239.0,4.12856337113649e-05
2023-05-24,11:09:03,0.4915,25.56,25.0,3014,15120240.0,4.135171994812177e-05
2023-05-24,11:09:03,0.4953,25.56,25.0,3013,15120240.0,4.141791196963466e-05
2023-05-24,11:09:03,0.499,25.56,25.0,3013,15120240.0,4.141791196963466e-05
2023-05-24,11:09:03,0.5027,25.56,25.0,3014,15120240.0,4.135171994812177e-05
2023-05-24,11:09:03,0.5065,25.56,25.0,3014,15120240.0,4.135171994812177e-05
2023-05-24,11:09:03,0.5104,25.56,25.0,3014,15120240.0,4.135171994812177e-05
2023-05-24,11:09:03,0.5141,25.56,25.0,3014,15120241.0,4.135171994812177e-05
2023-05-24,11:09:03,0.5178,25.56,25.0,3015,15120241.0,4.12856337113649e-05
2023-05-24,11:09:03,0.5215,25.56,25.0,3015,15120241.0,4.12856337113649e-05
2023-05-24,11:09:03,0.5252,25.56,25.0,3015,15120240.0,4.12856337113649e-05
2023-05-24,11:09:03,0.529,25.56,25.0,3015,15120240.0,4.12856337113649e-05
2023-05-24,11:09:03,0.5329,25.56,25.0,3014,15120241.0,4.135171994812177e-05
2023-05-24,11:09:03,0.5366,25.56,25.0,3014,15120241.0,4.135171994812177e-05
2023-05-24,11:09:03,0.5403,25.56,25.0,3013,15120240.0,4.141791196963466e-05
2023-05-24,11:09:03,0.544,25.56,25.0,3014,15120239.0,4.135171994812177e-05
2023-05-24,11:09:03,0.5479,25.56,25.0,3015,15120240.0,4.12856337113649e-05
2023-05-24,11:09:03,0.5517,25.56,25.0,3014,15120241.0,4.135171994812177e-05
2023-05-24,11:09:03,0.5553,25.56,25.0,3014,15120241.0,4.135171994812177e-05
2023-05-24,11:09:03,0.559,25.56,25.0,3015,15120241.0,4.12856337113649e-05
2023-05-24,11:09:03,0.5628,25.56,25.0,3015,15120240.0,4.12856337113649e-05
2023-05-24,11:09:03,0.5667,25.56,25.0,3014,15120241.0,4.135171994812177e-05
2023-05-24,11:09:03,0.5704,25.56,25.0,3014,15120241.0,4.135171994812177e-05
2023-05-24,11:09:03,0.5741,25.56,25.0,3015,15120240.0,4.12856337113649e-05
2023-05-24,11:09:03,0.5779,25.56,25.0,3015,15120239.0,4.12856337113649e-05
2023-05-24,11:09:03,0.5817,25.56,25.0,3014,15120240.0,4.135171994812177e-05
2023-05-24,11:09:03,0.5854,25.56,25.0,3014,15120240.0,4.135171994812177e-05
2023-05-24,11:09:03,0.5891,25.56,25.0,3015,15120240.0,4.12856337113649e-05
2023-05-24,11:09:03,0.5928,25.56,25.0,3015,15120240.0,4.12856337113649e-05
2023-05-24,11:09:03,0.5966,25.56,25.0,3015,15120239.0,4.12856337113649e-05
2023-05-24,11:09:03,0.6005,25.56,25.0,3015,15120239.0,4.12856337113649e-05
2023-05-24,11:09:03,0.6042,25.56,25.0,3015,15120239.0,4.12856337113649e-05
2023-05-24,11:09:03,0.6079,25.56,25.0,3015,15120240.0,4.12856337113649e-05
2023-05-24,11:09:03,0.6117,25.56,24.88,3014,15120241.0,4.135171994812177e-05
2023-05-24,11:09:03,0.6154,25.56,24.88,3013,15120239.0,4.141791196963466e-05
2023-05-24,11:09:03,0.6192,25.56,24.88,3014,15120239.0,4.135171994812177e-05
2023-05-24,11:09:04,0.623,25.56,24.88,3015,15120240.0,4.12856337113649e-05
2023-05-24,11:09:04,0.6267,25.56,24.88,3014,15120241.0,4.135171994812177e-05
2023-05-24,11:09:04,0.6304,25.56,24.88,3015,15120241.0,4.12856337113649e-05
2023-05-24,11:09:04,0.6341,25.56,24.88,3016,15120241.0,4.121965309030415e-05
2023-05-24,11:09:04,0.6378,25.56,24.88,3015,15120240.0,4.12856337113649e-05
2023-05-24,11:09:04,0.6417,25.56,24.88,3015,15120239.0,4.12856337113649e-05
2023-05-24,11:09:04,0.6455,25.56,24.88,3016,15120240.0,4.121965309030415e-05
2023-05-24,11:09:04,0.6492,25.56,24.88,3015,15120241.0,4.12856337113649e-05
2023-05-24,11:09:04,0.6529,25.56,24.88,3014,15120240.0,4.135171994812177e-05
2023-05-24,11:09:04,0.6568,25.56,24.88,3015,15120240.0,4.12856337113649e-05
2023-05-24,11:09:04,0.6605,25.56,24.88,3015,15120240.0,4.12856337113649e-05
2023-05-24,11:09:04,0.6642,25.56,24.88,3014,15120240.0,4.135171994812177e-05
2023-05-24,11:09:04,0.6679,25.56,24.88,3013,15120240.0,4.141791196963466e-05
2023-05-24,11:09:04,0.6716,25.56,24.88,3013,15120240.0,4.141791196963466e-05
2023-05-24,11:09:04,0.6755,25.56,24.88,3014,15120240.0,4.135171994812177e-05
2023-05-24,11:09:04,0.6793,25.56,24.88,3015,15120239.0,4.12856337113649e-05
2023-05-24,11:09:04,0.683,25.56,24.88,3017,15120241.0,4.115377791614988e-05
2023-05-24,11:09:04,0.6867,25.56,24.88,3016,15120242.0,4.121965309030415e-05
2023-05-24,11:09:04,0.6906,25.56,24.88,3014,15120240.0,4.135171994812177e-05
2023-05-24,11:09:04,0.6943,25.56,24.88,3014,15120240.0,4.135171994812177e-05
2023-05-24,11:09:04,0.698,25.56,24.88,3014,15120240.0,4.135171994812177e-05
2023-05-24,11:09:04,0.7018,25.56,24.88,3014,15120240.0,4.135171994812177e-05
2023-05-24,11:09:04,0.7056,25.56,24.88,3014,15120241.0,4.135171994812177e-05
2023-05-24,11:09:04,0.7091,25.56,24.88,3014,15120241.0,4.135171994812177e-05
2023-05-24,11:09:04,0.713,25.56,24.88,3015,15120241.0,4.12856337113649e-05
2023-05-24,11:09:04,0.7168,25.56,24.88,3015,15120241.0,4.12856337113649e-05
2023-05-24,11:09:04,0.7205,25.56,24.88,3015,15120241.0,4.12856337113649e-05
