Date,Time,Relative_time,Ambient,Temperature,Peak Magnitude (RAW),Resonance_Frequency,Dissipation
2024-04-26,09:40:28,0.0528,26.06,25.25,3340,15088698.0,2.454972052135644e-05
2024-04-26,09:40:28,0.0807,26.06,25.25,3349,15089024.0,2.419886225103929e-05
2024-04-26,09:40:28,0.1118,26.06,25.25,3402,15088959.0,2.223207199565684e-05
2024-04-26,09:40:28,0.1177,26.06,25.25,3402,15088958.0,2.223207199565684e-05
2024-04-26,09:40:28,0.1236,26.06,25.25,3402,15088958.0,2.223207199565684e-05
2024-04-26,09:40:28,0.1296,26.06,25.25,3402,15088959.0,2.223207199565684e-05
2024-04-26,09:40:28,0.1355,26.06,25.25,3402,15088959.0,2.223207199565684e-05
2024-04-26,09:40:28,0.1414,26.06,25.25,3402,15088959.0,2.223207199565684e-05
2024-04-26,09:40:28,0.1474,26.06,25.25,3403,15088959.0,2.219654181758096e-05
2024-04-26,09:40:28,0.1533,26.06,25.25,3403,15088959.0,2.219654181758096e-05
2024-04-26,09:40:28,0.1592,26.06,25.25,3402,15088959.0,2.223207199565684e-05
2024-04-26,09:40:28,0.1651,26.06,25.25,3402,15088959.0,2.223207199565684e-05
2024-04-26,09:40:28,0.1711,26.06,25.25,3402,15088959.0,2.223207199565684e-05
2024-04-26,09:40:28,0.177,26.06,25.25,3402,15088959.0,2.223207199565684e-05
2024-04-26,09:40:28,0.1829,26.06,25.25,3403,15088959.0,2.219654181758096e-05
2024-04-26,09:40:28,0.1888,26.06,25.25,3403,15088959.0,2.219654181758096e-05
2024-04-26,09:40:28,0.1948,26.06,25.25,3402,15088959.0,2.223207199565684e-05
2024-04-26,09:40:28,0.2007,26.06,25.25,3402,15088959.0,2.223207199565684e-05
2024-04-26,09:40:28,0.2066,26.06,25.25,3403,15088959.0,2.219654181758096e-05
2024-04-26,09:40:28,0.2125,26.06,25.25,3403,15088960.0,2.219654181758096e-05
2024-04-26,09:40:28,0.2184,26.06,25.25,3402,15088959.0,2.223207199565684e-05
2024-04-26,09:40:28,0.2245,26.06,25.25,3402,15088959.0,2.223207199565684e-05
2024-04-26,09:40:28,0.2303,26.06,25.25,3402,15088959.0,2.223207199565684e-05
2024-04-26,09:40:28,0.2362,26.06,25.25,3402,15088959.0,2.223207199565684e-05
2024-04-26,09:40:28,0.2422,26.06,25.25,3402,15088959.0,2.223207199565684e-05
2024-04-26,09:40:28,0.2481,26.06,25.25,3402,15088959.0,2.223207199565684e-05
2024-04-26,09:40:28,0.2541,26.06,25.25,3403,15088960.0,2.219654181758096e-05
2024-04-26,09:40:28,0.26,26.06,25.25,3404,15088959.0,2.216106842204673e-05
2024-04-26,09:40:28,0.2659,26.06,25.25,3403,15088959.0,2.219654181758096e-05
2024-04-26,09:40:28,0.2718,26.06,25.25,3402,15088959.0,2.223207199565684e-05
2024-04-26,09:40:28,0.2777,26.06,25.25,3402,15088959.0,2.223207199565684e-05
2024-04-26,09:40:28,0.2837,26.06,25.25,3402,15088959.0,2.223207199565684e-05
2024-04-26,09:40:28,0.2896,26.06,25.25,3402,15088960.0,2.223207199565684e-05
2024-04-26,09:40:28,0.2955,26.06,25.25,3402,15088960.0,2.223207199565684e-05
2024-04-26,09:40:28,0.3014,26.06,25.25,3402,15088959.0,2.223207199565684e-05
2024-04-26,09:40:28,0.3074,26.06,25.25,3402,15088960.0,2.223207199565684e-05
2024-04-26,09:40:28,0.3133,26.06,25.25,3402,15088960.0,2.223207199565684e-05
2024-04-26,09:40:28,0.3192,26.06,25.25,3402,15088959.0,2.223207199565684e-05
2024-04-26,09:40:28,0.3252,26.06,25.25,3402,15088959.0,2.223207199565684e-05
2024-04-26,09:40:28,0.3311,26.06,25.25,3402,15088960.0,2.223207199565684e-05
2024-04-26,09:40:28,0.3371,26.06,25.25,3402,15088960.0,2.223207199565684e-05
2024-04-26,09:40:28,0.343,26.06,25.25,3403,15088959.0,2.219654181758096e-05
2024-04-26,09:40:28,0.3489,26.06,25.25,3403,15088959.0,2.219654181758096e-05
2024-04-26,09:40:28,0.3548,26.06,25.25,3402,15088959.0,2.223207199565684e-05
2024-04-26,09:40:28,0.3607,26.06,25.25,3403,15088960.0,2.219654181758096e-05
2024-04-26,09:40:28,0.3667,26.06,25.25,3403,15088960.0,2.219654181758096e-05
2024-04-26,09:40:28,0.3726,26.06,25.25,3403,15088960.0,2.219654181758096e-05
2024-04-26,09:40:28,0.3785,26.06,25.25,3403,15088960.0,2.219654181758096e-05
2024-04-26,09:40:28,0.3844,26.06,25.25,3402,15088959.0,2.223207199565684e-05
2024-04-26,09:40:28,0.3904,26.06,25.25,3402,15088959.0,2.223207199565684e-05
2024-04-26,09:40:28,0.3963,26.06,25.25,3402,15088959.0,2.223207199565684e-05
2024-04-26,09:40:28,0.4022,26.06,25.25,3402,15088959.0,2.223207199565684e-05
2024-04-26,09:40:28,0.4082,26.06,25.25,3403,15088960.0,2.219654181758096e-05
2024-04-26,09:40:28,0.4141,26.06,25.25,3403,15088960.0,2.219654181758096e-05
2024-04-26,09:40:28,0.42,26.06,25.25,3402,15088960.0,2.223207199565684e-05
2024-04-26,09:40:28,0.4259,26.06,25.25,3402,15088959.0,2.223207199565684e-05
2024-04-26,09:40:28,0.4318,26.06,25.25,3402,15088959.0,2.223207199565684e-05
2024-04-26,09:40:28,0.4378,26.06,25.25,3402,15088959.0,2.223207199565684e-05
2024-04-26,09:40:28,0.4437,26.06,25.25,3403,15088960.0,2.219654181758096e-05
2024-04-26,09:40:28,0.4496,26.06,25.0,3403,15088960.0,2.219654181758096e-05
2024-04-26,09:40:28,0.4556,26.06,25.0,3403,15088960.0,2.219654181758096e-05
2024-04-26,09:40:28,0.4615,26.06,25.0,3404,15088960.0,2.216106842204673e-05
2024-04-26,09:40:28,0.4674,26.06,25.0,3403,15088959.0,2.219654181758096e-05
