Date,Time,Relative_time,Ambient,Temperature,Peak Magnitude (RAW),Resonance_Frequency,Dissipation
2024-04-19,10:18:52,0.0528,26.12,24.25,3365,15154548.0,2.358744947776824e-05
2024-04-19,10:18:52,0.0808,26.12,24.25,3375,15154877.0,2.321318620817691e-05
2024-04-19,10:18:52,0.1119,26.12,24.25,3433,15154824.0,2.115663697358534e-05
2024-04-19,10:18:52,0.1177,26.12,24.25,3435,15154824.0,2.108906806543364e-05
2024-04-19,10:18:52,0.1235,26.12,24.25,3435,15154825.0,2.108906806543364e-05
2024-04-19,10:18:52,0.1294,26.12,24.25,3435,15154825.0,2.108906806543364e-05
2024-04-19,10:18:52,0.1351,26.12,24.25,3435,15154824.0,2.108906806543364e-05
2024-04-19,10:18:52,0.1408,26.12,24.25,3435,15154824.0,2.108906806543364e-05
2024-04-19,10:18:52,0.1467,26.12,24.25,3435,15154825.0,2.108906806543364e-05
2024-04-19,10:18:52,0.1526,26.12,24.25,3435,15154825.0,2.108906806543364e-05
2024-04-19,10:18:52,0.1584,26.12,24.25,3435,15154825.0,2.108906806543364e-05
2024-04-19,10:18:52,0.1641,26.12,24.25,3435,15154825.0,2.108906806543364e-05
2024-04-19,10:18:53,0.1699,26.12,24.25,3436,15154825.0,2.105536457868864e-05
2024-04-19,10:18:53,0.1757,26.12,24.25,3436,15154824.0,2.105536457868864e-05
2024-04-19,10:18:53,0.1815,26.12,24.25,3435,15154824.0,2.108906806543364e-05
2024-04-19,10:18:53,0.1874,26.12,24.25,3435,15154825.0,2.108906806543364e-05
2024-04-19,10:18:53,0.1931,26.12,24.25,3436,15154825.0,2.105536457868864e-05
2024-04-19,10:18:53,0.1989,26.12,24.25,3437,15154825.0,2.10217149551592e-05
2024-04-19,10:18:53,0.2047,26.12,24.25,3437,15154825.0,2.10217149551592e-05
2024-04-19,10:18:53,0.2105,26.12,24.25,3436,15154825.0,2.105536457868864e-05
2024-04-19,10:18:53,0.2164,26.12,24.25,3436,15154825.0,2.105536457868864e-05
2024-04-19,10:18:53,0.2222,26.12,24.25,3436,15154825.0,2.105536457868864e-05
2024-04-19,10:18:53,0.228,26.12,24.25,3436,15154825.0,2.105536457868864e-05
2024-04-19,10:18:53,0.2338,26.12,24.25,3437,15154824.0,2.10217149551592e-05
2024-04-19,10:18:53,0.2396,26.12,24.25,3437,15154824.0,2.10217149551592e-05
2024-04-19,10:18:53,0.2454,26.12,24.25,3436,15154825.0,2.105536457868864e-05
2024-04-19,10:18:53,0.2512,26.12,24.25,3436,15154825.0,2.105536457868864e-05
2024-04-19,10:18:53,0.2571,26.12,24.25,3436,15154825.0,2.105536457868864e-05
2024-04-19,10:18:53,0.2628,26.12,24.25,3436,15154825.0,2.105536457868864e-05
2024-04-19,10:18:53,0.2686,26.12,24.25,3436,15154825.0,2.105536457868864e-05
2024-04-19,10:18:53,0.2744,26.12,24.25,3436,15154825.0,2.105536457868864e-05
2024-04-19,10:18:53,0.2802,26.12,24.25,3436,15154825.0,2.105536457868864e-05
2024-04-19,10:18:53,0.286,26.12,24.25,3435,15154824.0,2.108906806543364e-05
2024-04-19,10:18:53,0.2918,26.12,24.25,3435,15154824.0,2.108906806543364e-05
2024-04-19,10:18:53,0.2976,26.12,24.25,3436,15154825.0,2.105536457868864e-05
2024-04-19,10:18:53,0.3033,26.12,24.25,3437,15154825.0,2.10217149551592e-05
2024-04-19,10:18:53,0.3092,26.12,24.25,3437,15154825.0,2.10217149551592e-05
2024-04-19,10:18:53,0.315,26.12,24.25,3436,15154825.0,2.105536457868864e-05
2024-04-19,10:18:53,0.3208,26.12,24.25,3436,15154825.0,2.105536457868864e-05
2024-04-19,10:18:53,0.3266,26.12,24.25,3436,15154825.0,2.105536457868864e-05
2024-04-19,10:18:53,0.3323,26.12,24.25,3435,15154824.0,2.108906806543364e-05
2024-04-19,10:18:53,0.3382,26.12,24.25,3435,15154824.0,2.108906806543364e-05
2024-04-19,10:18:53,0.344,26.12,24.25,3436,15154824.0,2.105536457868864e-05
2024-04-19,10:18:53,0.3498,26.12,24.25,3436,15154825.0,2.105536457868864e-05
2024-04-19,10:18:53,0.3556,26.12,24.25,3436,15154825.0,2.105536457868864e-05
2024-04-19,10:18:53,0.3614,26.12,24.25,3436,15154825.0,2.105536457868864e-05
2024-04-19,10:18:53,0.3671,26.12,24.25,3436,15154825.0,2.105536457868864e-05
2024-04-19,10:18:53,0.373,26.12,24.25,3436,15154825.0,2.105536457868864e-05
2024-04-19,10:18:53,0.3846,26.12,24.25,3435,15154825.0,2.108906806543364e-05
2024-04-19,10:18:53,0.3903,26.12,24.25,3436,15154825.0,2.105536457868864e-05
2024-04-19,10:18:53,0.3961,26.12,24.25,3436,15154825.0,2.105536457868864e-05
2024-04-19,10:18:53,0.4019,26.12,24.25,3436,15154825.0,2.105536457868864e-05
2024-04-19,10:18:53,0.4077,26.12,24.25,3436,15154825.0,2.105536457868864e-05
2024-04-19,10:18:53,0.4135,26.12,24.25,3436,15154825.0,2.105536457868864e-05
2024-04-19,10:18:53,0.4193,26.12,24.25,3436,15154825.0,2.105536457868864e-05
2024-04-19,10:18:53,0.4251,26.12,24.25,3436,15154825.0,2.105536457868864e-05
2024-04-19,10:18:53,0.4309,26.12,24.25,3436,15154825.0,2.105536457868864e-05
