Date,Time,Relative_time,Ambient,Temperature,Peak Magnitude (RAW),Resonance_Frequency,Dissipation
2024-02-16,15:01:05,0.0516,27.0,19.75,3130,14964785.0,3.434925607752613e-05
2024-02-16,15:01:05,0.0803,27.0,19.75,3237,14965091.0,2.894627598369905e-05
2024-02-16,15:01:05,0.1144,27.0,19.75,3377,14965026.0,2.313904920574278e-05
2024-02-16,15:01:05,0.1255,27.0,19.75,3378,14965026.0,2.310206954235614e-05
2024-02-16,15:01:05,0.1367,27.0,19.75,3377,14965025.0,2.313904920574278e-05
2024-02-16,15:01:05,0.1479,27.0,19.75,3376,14965026.0,2.317608806276578e-05
2024-02-16,15:01:05,0.1591,27.0,19.75,3377,14965026.0,2.313904920574278e-05
2024-02-16,15:01:05,0.1704,27.0,19.75,3377,14965026.0,2.313904920574278e-05
2024-02-16,15:01:05,0.1816,27.0,19.75,3377,14965026.0,2.313904920574278e-05
2024-02-16,15:01:05,0.1928,27.0,19.75,3377,14965025.0,2.313904920574278e-05
2024-02-16,15:01:05,0.204,27.0,19.75,3377,14965024.0,2.313904920574278e-05
2024-02-16,15:01:05,0.2152,27.0,19.75,3377,14965026.0,2.313904920574278e-05
2024-02-16,15:01:05,0.2263,27.0,19.75,3377,14965026.0,2.313904920574278e-05
2024-02-16,15:01:05,0.2375,27.0,19.75,3377,14965026.0,2.313904920574278e-05
2024-02-16,15:01:05,0.2488,27.0,19.75,3377,14965026.0,2.313904920574278e-05
2024-02-16,15:01:05,0.26,27.0,19.75,3377,14965026.0,2.313904920574278e-05
2024-02-16,15:01:05,0.2712,27.0,19.75,3377,14965026.0,2.313904920574278e-05
2024-02-16,15:01:05,0.2824,27.0,19.75,3377,14965026.0,2.313904920574278e-05
2024-02-16,15:01:05,0.2936,27.0,19.75,3377,14965026.0,2.313904920574278e-05
2024-02-16,15:01:05,0.3047,27.0,19.75,3377,14965026.0,2.313904920574278e-05
2024-02-16,15:01:05,0.3159,27.0,19.75,3377,14965026.0,2.313904920574278e-05
2024-02-16,15:01:05,0.3272,27.0,19.75,3377,14965026.0,2.313904920574278e-05
2024-02-16,15:01:05,0.3385,27.0,19.75,3377,14965026.0,2.313904920574278e-05
2024-02-16,15:01:05,0.3497,27.0,19.75,3377,14965026.0,2.313904920574278e-05
