Date,Time,Relative_time,Ambient,Temperature,Peak Magnitude (RAW),Resonance_Frequency,Dissipation
2023-10-05,11:52:26,0.054,27.81,25.25,3401,15093450.0,2.226765904716665e-05
2023-10-05,11:52:26,0.0824,27.81,25.25,3377,15093743.0,2.313904920574278e-05
2023-10-05,11:52:26,0.1127,27.81,25.25,3384,15093680.0,2.288142934135367e-05
2023-10-05,11:52:26,0.1163,27.81,25.25,3375,15093682.0,2.321318620817691e-05
2023-10-05,11:52:26,0.12,27.81,25.25,3374,15093682.0,2.325034373687949e-05
2023-10-05,11:52:26,0.1237,27.81,25.25,3374,15093682.0,2.325034373687949e-05
2023-10-05,11:52:26,0.1273,27.81,25.25,3374,15093682.0,2.325034373687949e-05
2023-10-05,11:52:26,0.131,27.81,25.25,3374,15093682.0,2.325034373687949e-05
2023-10-05,11:52:26,0.1346,27.81,25.25,3374,15093682.0,2.325034373687949e-05
2023-10-05,11:52:26,0.1384,27.81,25.25,3373,15093682.0,2.328756074392889e-05
2023-10-05,11:52:26,0.1421,27.81,25.25,3373,15093682.0,2.328756074392889e-05
2023-10-05,11:52:26,0.1457,27.81,25.25,3373,15093682.0,2.328756074392889e-05
2023-10-05,11:52:26,0.1494,27.81,25.25,3373,15093682.0,2.328756074392889e-05
2023-10-05,11:52:26,0.1531,27.81,25.25,3374,15093682.0,2.325034373687949e-05
2023-10-05,11:52:26,0.1568,27.81,25.25,3374,15093686.0,2.325034373687949e-05
2023-10-05,11:52:26,0.1604,27.81,25.25,3375,15093685.0,2.321318620817691e-05
2023-10-05,11:52:26,0.1641,27.81,25.25,3375,15093681.0,2.321318620817691e-05
2023-10-05,11:52:26,0.1677,27.81,25.25,3374,15093682.0,2.325034373687949e-05
2023-10-05,11:52:26,0.1714,27.81,25.25,3374,15093681.0,2.325034373687949e-05
2023-10-05,11:52:26,0.175,27.81,25.25,3374,15093682.0,2.325034373687949e-05
2023-10-05,11:52:26,0.1787,27.81,25.25,3374,15093683.0,2.325034373687949e-05
2023-10-05,11:52:26,0.1824,27.81,25.25,3374,15093683.0,2.325034373687949e-05
2023-10-05,11:52:26,0.186,27.81,25.25,3374,15093682.0,2.325034373687949e-05
2023-10-05,11:52:26,0.1897,27.81,25.25,3374,15093682.0,2.325034373687949e-05
2023-10-05,11:52:26,0.1934,27.81,25.25,3374,15093681.0,2.325034373687949e-05
2023-10-05,11:52:26,0.197,27.81,25.25,3374,15093682.0,2.325034373687949e-05
2023-10-05,11:52:26,0.2007,27.81,25.25,3374,15093682.0,2.325034373687949e-05
2023-10-05,11:52:26,0.2044,27.81,25.25,3373,15093682.0,2.328756074392889e-05
2023-10-05,11:52:26,0.2081,27.81,25.25,3373,15093682.0,2.328756074392889e-05
2023-10-05,11:52:26,0.2118,27.81,25.25,3374,15093682.0,2.325034373687949e-05
2023-10-05,11:52:26,0.2155,27.81,25.25,3374,15093682.0,2.325034373687949e-05
2023-10-05,11:52:26,0.2191,27.81,25.25,3374,15093682.0,2.325034373687949e-05
2023-10-05,11:52:26,0.2228,27.81,25.25,3374,15093682.0,2.325034373687949e-05
2023-10-05,11:52:26,0.2265,27.81,25.25,3373,15093682.0,2.328756074392889e-05
2023-10-05,11:52:26,0.2301,27.81,25.25,3373,15093682.0,2.328756074392889e-05
2023-10-05,11:52:26,0.2338,27.81,25.25,3374,15093682.0,2.325034373687949e-05
2023-10-05,11:52:26,0.2376,27.81,25.25,3374,15093682.0,2.325034373687949e-05
2023-10-05,11:52:26,0.2412,27.81,25.25,3374,15093682.0,2.325034373687949e-05
2023-10-05,11:52:26,0.2448,27.81,25.25,3374,15093682.0,2.325034373687949e-05
2023-10-05,11:52:26,0.2486,27.81,25.25,3374,15093683.0,2.325034373687949e-05
2023-10-05,11:52:26,0.2523,27.81,25.25,3374,15093682.0,2.325034373687949e-05
2023-10-05,11:52:26,0.2559,27.81,25.25,3374,15093682.0,2.325034373687949e-05
2023-10-05,11:52:26,0.2596,27.81,25.25,3374,15093682.0,2.325034373687949e-05
2023-10-05,11:52:26,0.2632,27.81,25.25,3374,15093683.0,2.325034373687949e-05
2023-10-05,11:52:26,0.2669,27.81,25.25,3374,15093683.0,2.325034373687949e-05
2023-10-05,11:52:26,0.2706,27.81,25.25,3374,15093682.0,2.325034373687949e-05
2023-10-05,11:52:26,0.2743,27.81,25.25,3374,15093682.0,2.325034373687949e-05
2023-10-05,11:52:26,0.2779,27.81,25.25,3374,15093682.0,2.325034373687949e-05
2023-10-05,11:52:26,0.2816,27.81,25.25,3374,15093683.0,2.325034373687949e-05
2023-10-05,11:52:26,0.2853,27.81,25.25,3374,15093682.0,2.325034373687949e-05
2023-10-05,11:52:26,0.289,27.81,25.25,3374,15093682.0,2.325034373687949e-05
2023-10-05,11:52:26,0.2927,27.81,25.25,3373,15093682.0,2.328756074392889e-05
2023-10-05,11:52:26,0.2963,27.81,25.25,3373,15093682.0,2.328756074392889e-05
2023-10-05,11:52:26,0.3,27.81,25.25,3374,15093683.0,2.325034373687949e-05
2023-10-05,11:52:26,0.3037,27.81,25.25,3374,15093683.0,2.325034373687949e-05
2023-10-05,11:52:26,0.3074,27.81,25.25,3374,15093682.0,2.325034373687949e-05
2023-10-05,11:52:26,0.311,27.81,25.25,3374,15093682.0,2.325034373687949e-05
2023-10-05,11:52:26,0.3147,27.81,25.25,3374,15093682.0,2.325034373687949e-05
2023-10-05,11:52:26,0.3184,27.81,25.25,3374,15093683.0,2.325034373687949e-05
2023-10-05,11:52:26,0.322,27.81,25.25,3374,15093682.0,2.325034373687949e-05
2023-10-05,11:52:26,0.3257,27.81,25.25,3374,15093682.0,2.325034373687949e-05
2023-10-05,11:52:26,0.3294,27.81,25.25,3374,15093682.0,2.325034373687949e-05
2023-10-05,11:52:26,0.333,27.81,25.25,3374,15093682.0,2.325034373687949e-05
2023-10-05,11:52:26,0.3368,27.81,25.25,3374,15093682.0,2.325034373687949e-05
2023-10-05,11:52:26,0.3405,27.81,25.25,3374,15093682.0,2.325034373687949e-05
2023-10-05,11:52:26,0.3441,27.81,25.25,3373,15093682.0,2.328756074392889e-05
2023-10-05,11:52:26,0.3478,27.81,25.25,3373,15093683.0,2.328756074392889e-05
2023-10-05,11:52:26,0.3515,27.81,25.25,3374,15093682.0,2.325034373687949e-05
2023-10-05,11:52:26,0.3551,27.81,25.25,3374,15093682.0,2.325034373687949e-05
2023-10-05,11:52:26,0.3588,27.81,25.25,3375,15093681.0,2.321318620817691e-05
2023-10-05,11:52:26,0.3625,27.81,25.25,3375,15093681.0,2.321318620817691e-05
2023-10-05,11:52:26,0.3661,27.81,25.25,3374,15093682.0,2.325034373687949e-05
2023-10-05,11:52:26,0.3698,27.81,25.25,3374,15093682.0,2.325034373687949e-05
2023-10-05,11:52:26,0.3736,27.81,25.25,3375,15093682.0,2.321318620817691e-05
2023-10-05,11:52:26,0.3772,27.81,25.25,3375,15093682.0,2.321318620817691e-05
2023-10-05,11:52:26,0.3808,27.81,25.25,3374,15093683.0,2.325034373687949e-05
2023-10-05,11:52:26,0.3845,27.81,25.25,3374,15093683.0,2.325034373687949e-05
2023-10-05,11:52:26,0.3882,27.81,25.25,3374,15093682.0,2.325034373687949e-05
2023-10-05,11:52:26,0.3919,27.81,25.25,3375,15093683.0,2.321318620817691e-05
2023-10-05,11:52:26,0.3956,27.81,25.25,3374,15093684.0,2.325034373687949e-05
2023-10-05,11:52:26,0.3992,27.81,25.25,3373,15093683.0,2.328756074392889e-05
2023-10-05,11:52:26,0.4029,27.81,25.25,3374,15093683.0,2.325034373687949e-05
2023-10-05,11:52:26,0.4066,27.81,25.25,3374,15093682.0,2.325034373687949e-05
2023-10-05,11:52:26,0.4102,27.81,25.25,3374,15093682.0,2.325034373687949e-05
2023-10-05,11:52:26,0.4139,27.81,25.25,3374,15093683.0,2.325034373687949e-05
2023-10-05,11:52:26,0.4176,27.81,25.25,3374,15093683.0,2.325034373687949e-05
2023-10-05,11:52:26,0.4212,27.81,25.25,3374,15093682.0,2.325034373687949e-05
2023-10-05,11:52:26,0.4249,27.81,25.25,3374,15093682.0,2.325034373687949e-05
2023-10-05,11:52:26,0.4287,27.81,25.25,3374,15093682.0,2.325034373687949e-05
2023-10-05,11:52:26,0.4323,27.81,25.25,3374,15093683.0,2.325034373687949e-05
2023-10-05,11:52:26,0.436,27.81,25.25,3374,15093682.0,2.325034373687949e-05
2023-10-05,11:52:26,0.4396,27.81,25.25,3374,15093682.0,2.325034373687949e-05
2023-10-05,11:52:26,0.4432,27.81,25.25,3374,15093682.0,2.325034373687949e-05
2023-10-05,11:52:26,0.4469,27.81,25.25,3374,15093683.0,2.325034373687949e-05
2023-10-05,11:52:26,0.4505,27.81,25.25,3374,15093683.0,2.325034373687949e-05
2023-10-05,11:52:26,0.4543,27.81,25.25,3374,15093682.0,2.325034373687949e-05
2023-10-05,11:52:26,0.458,27.81,25.25,3374,15093682.0,2.325034373687949e-05
2023-10-05,11:52:26,0.4616,27.81,25.25,3374,15093682.0,2.325034373687949e-05
2023-10-05,11:52:26,0.4653,27.81,25.25,3374,15093682.0,2.325034373687949e-05
2023-10-05,11:52:26,0.469,27.81,25.25,3375,15093683.0,2.321318620817691e-05
2023-10-05,11:52:26,0.4726,27.81,25.25,3375,15093683.0,2.321318620817691e-05
2023-10-05,11:52:26,0.4762,27.81,25.25,3374,15093682.0,2.325034373687949e-05
2023-10-05,11:52:26,0.4799,27.81,25.25,3374,15093682.0,2.325034373687949e-05
2023-10-05,11:52:26,0.4836,27.81,25.25,3374,15093682.0,2.325034373687949e-05
2023-10-05,11:52:26,0.4873,27.81,25.25,3374,15093682.0,2.325034373687949e-05
2023-10-05,11:52:26,0.4909,27.81,25.25,3373,15093682.0,2.328756074392889e-05
2023-10-05,11:52:26,0.4946,27.81,25.25,3373,15093683.0,2.328756074392889e-05
2023-10-05,11:52:26,0.4984,27.81,25.25,3373,15093683.0,2.328756074392889e-05
2023-10-05,11:52:26,0.502,27.81,25.25,3373,15093683.0,2.328756074392889e-05
2023-10-05,11:52:26,0.5057,27.81,25.25,3374,15093682.0,2.325034373687949e-05
2023-10-05,11:52:26,0.5094,27.81,25.25,3374,15093681.0,2.325034373687949e-05
2023-10-05,11:52:26,0.513,27.81,25.25,3374,15093682.0,2.325034373687949e-05
2023-10-05,11:52:26,0.5167,27.81,25.25,3374,15093682.0,2.325034373687949e-05
2023-10-05,11:52:26,0.5204,27.81,25.25,3374,15093682.0,2.325034373687949e-05
2023-10-05,11:52:26,0.524,27.81,25.25,3374,15093682.0,2.325034373687949e-05
2023-10-05,11:52:26,0.5277,27.81,25.25,3373,15093683.0,2.328756074392889e-05
2023-10-05,11:52:26,0.5314,27.81,25.25,3373,15093683.0,2.328756074392889e-05
2023-10-05,11:52:26,0.5351,27.81,25.25,3374,15093682.0,2.325034373687949e-05
2023-10-05,11:52:26,0.5387,27.81,25.25,3374,15093682.0,2.325034373687949e-05
2023-10-05,11:52:26,0.5424,27.81,25.25,3373,15093683.0,2.328756074392889e-05
2023-10-05,11:52:26,0.546,27.81,25.25,3373,15093683.0,2.328756074392889e-05
2023-10-05,11:52:26,0.5497,27.81,25.25,3374,15093683.0,2.325034373687949e-05
2023-10-05,11:52:26,0.5534,27.81,25.25,3374,15093683.0,2.325034373687949e-05
2023-10-05,11:52:26,0.5571,27.81,25.25,3374,15093682.0,2.325034373687949e-05
2023-10-05,11:52:26,0.5608,27.81,25.25,3375,15093683.0,2.321318620817691e-05
2023-10-05,11:52:26,0.5644,27.81,25.25,3375,15093684.0,2.321318620817691e-05
2023-10-05,11:52:26,0.568,27.81,25.25,3375,15093683.0,2.321318620817691e-05
2023-10-05,11:52:26,0.5717,27.81,25.25,3375,15093683.0,2.321318620817691e-05
2023-10-05,11:52:26,0.5753,27.81,25.25,3374,15093682.0,2.325034373687949e-05
2023-10-05,11:52:26,0.5791,27.81,25.25,3376,15093681.0,2.317608806276578e-05
2023-10-05,11:52:26,0.5828,27.81,25.25,3377,15093682.0,2.313904920574278e-05
2023-10-05,11:52:26,0.5864,27.81,25.25,3374,15093683.0,2.325034373687949e-05
2023-10-05,11:52:26,0.5901,27.81,25.25,3374,15093683.0,2.325034373687949e-05
2023-10-05,11:52:26,0.5937,27.81,25.25,3374,15093683.0,2.325034373687949e-05
2023-10-05,11:52:26,0.5974,27.81,25.25,3373,15093683.0,2.328756074392889e-05
2023-10-05,11:52:26,0.6011,27.81,25.25,3374,15093683.0,2.325034373687949e-05
2023-10-05,11:52:26,0.6048,27.81,25.25,3374,15093682.0,2.325034373687949e-05
2023-10-05,11:52:26,0.6084,27.81,25.25,3375,15093682.0,2.321318620817691e-05
2023-10-05,11:52:26,0.6121,27.81,25.25,3376,15093682.0,2.317608806276578e-05
2023-10-05,11:52:26,0.6157,27.81,25.25,3375,15093683.0,2.321318620817691e-05
2023-10-05,11:52:26,0.6194,27.81,25.25,3374,15093683.0,2.325034373687949e-05
2023-10-05,11:52:26,0.6231,27.81,25.25,3373,15093683.0,2.328756074392889e-05
2023-10-05,11:52:26,0.6268,27.81,25.25,3373,15093683.0,2.328756074392889e-05
2023-10-05,11:52:26,0.6305,27.81,25.25,3374,15093683.0,2.325034373687949e-05
2023-10-05,11:52:26,0.6342,27.81,25.25,3374,15093683.0,2.325034373687949e-05
2023-10-05,11:52:26,0.6377,27.81,25.25,3373,15093683.0,2.328756074392889e-05
2023-10-05,11:52:26,0.6415,27.81,25.25,3373,15093683.0,2.328756074392889e-05
2023-10-05,11:52:26,0.6452,27.81,25.25,3374,15093682.0,2.325034373687949e-05
2023-10-05,11:52:26,0.6488,27.81,25.25,3374,15093683.0,2.325034373687949e-05
2023-10-05,11:52:26,0.6525,27.81,25.25,3374,15093682.0,2.325034373687949e-05
2023-10-05,11:52:26,0.6562,27.81,25.25,3374,15093682.0,2.325034373687949e-05
2023-10-05,11:52:26,0.6598,27.81,25.25,3374,15093682.0,2.325034373687949e-05
2023-10-05,11:52:26,0.6635,27.81,25.25,3374,15093683.0,2.325034373687949e-05
2023-10-05,11:52:26,0.6672,27.81,25.25,3374,15093683.0,2.325034373687949e-05
2023-10-05,11:52:26,0.6708,27.81,25.25,3374,15093682.0,2.325034373687949e-05
2023-10-05,11:52:26,0.6745,27.81,25.25,3373,15093682.0,2.328756074392889e-05
2023-10-05,11:52:26,0.6781,27.81,25.25,3373,15093683.0,2.328756074392889e-05
2023-10-05,11:52:26,0.6818,27.81,25.25,3376,15093682.0,2.317608806276578e-05
2023-10-05,11:52:26,0.6854,27.81,25.25,3376,15093682.0,2.317608806276578e-05
2023-10-05,11:52:26,0.6891,27.81,25.25,3373,15093683.0,2.328756074392889e-05
2023-10-05,11:52:26,0.6928,27.81,25.25,3373,15093683.0,2.328756074392889e-05
2023-10-05,11:52:26,0.6965,27.81,25.25,3374,15093683.0,2.325034373687949e-05
2023-10-05,11:52:26,0.7001,27.81,25.25,3374,15093683.0,2.325034373687949e-05
2023-10-05,11:52:26,0.7038,27.81,25.25,3374,15093682.0,2.325034373687949e-05
2023-10-05,11:52:26,0.7074,27.81,25.25,3374,15093682.0,2.325034373687949e-05
2023-10-05,11:52:26,0.7112,27.81,25.25,3374,15093682.0,2.325034373687949e-05
2023-10-05,11:52:26,0.7149,27.81,25.25,3374,15093682.0,2.325034373687949e-05
2023-10-05,11:52:26,0.7185,27.81,25.25,3374,15093683.0,2.325034373687949e-05
2023-10-05,11:52:26,0.7222,27.81,25.25,3374,15093682.0,2.325034373687949e-05
2023-10-05,11:52:26,0.7259,27.81,25.25,3373,15093682.0,2.328756074392889e-05
2023-10-05,11:52:26,0.7295,27.81,25.25,3373,15093683.0,2.328756074392889e-05
2023-10-05,11:52:26,0.7331,27.81,25.25,3374,15093683.0,2.325034373687949e-05
2023-10-05,11:52:26,0.7368,27.81,25.25,3374,15093682.0,2.325034373687949e-05
2023-10-05,11:52:26,0.7405,27.81,25.25,3373,15093683.0,2.328756074392889e-05
2023-10-05,11:52:26,0.7442,27.81,25.25,3374,15093683.0,2.325034373687949e-05
2023-10-05,11:52:26,0.7478,27.81,25.25,3375,15093683.0,2.321318620817691e-05
2023-10-05,11:52:26,0.7515,27.81,25.25,3374,15093683.0,2.325034373687949e-05
2023-10-05,11:52:26,0.7551,27.81,25.25,3374,15093682.0,2.325034373687949e-05
2023-10-05,11:52:26,0.7588,27.81,25.25,3374,15093682.0,2.325034373687949e-05
2023-10-05,11:52:26,0.7625,27.81,25.25,3375,15093682.0,2.321318620817691e-05
2023-10-05,11:52:26,0.7663,27.81,25.25,3376,15093682.0,2.317608806276578e-05
2023-10-05,11:52:26,0.7699,27.81,25.25,3375,15093683.0,2.321318620817691e-05
2023-10-05,11:52:26,0.7735,27.81,25.25,3374,15093682.0,2.325034373687949e-05
2023-10-05,11:52:26,0.7771,27.81,25.25,3373,15093683.0,2.328756074392889e-05
2023-10-05,11:52:26,0.7808,27.81,25.25,3373,15093683.0,2.328756074392889e-05
2023-10-05,11:52:26,0.7845,27.81,25.25,3374,15093684.0,2.325034373687949e-05
2023-10-05,11:52:26,0.7882,27.81,25.25,3374,15093684.0,2.325034373687949e-05
2023-10-05,11:52:26,0.7919,27.81,25.25,3374,15093683.0,2.325034373687949e-05
2023-10-05,11:52:27,0.7955,27.81,25.25,3374,15093683.0,2.325034373687949e-05
2023-10-05,11:52:27,0.7992,27.81,25.25,3374,15093683.0,2.325034373687949e-05
2023-10-05,11:52:27,0.8029,27.81,25.25,3374,15093683.0,2.325034373687949e-05
2023-10-05,11:52:27,0.8066,27.81,25.25,3373,15093683.0,2.328756074392889e-05
2023-10-05,11:52:27,0.8102,27.81,25.25,3373,15093683.0,2.328756074392889e-05
2023-10-05,11:52:27,0.8139,27.81,25.25,3374,15093683.0,2.325034373687949e-05
2023-10-05,11:52:27,0.8175,27.81,25.25,3374,15093683.0,2.325034373687949e-05
2023-10-05,11:52:27,0.8212,27.81,25.25,3374,15093682.0,2.325034373687949e-05
2023-10-05,11:52:27,0.8249,27.81,25.25,3374,15093682.0,2.325034373687949e-05
2023-10-05,11:52:27,0.8285,27.81,25.25,3373,15093683.0,2.328756074392889e-05
2023-10-05,11:52:27,0.8322,27.81,25.25,3373,15093683.0,2.328756074392889e-05
2023-10-05,11:52:27,0.8359,27.81,25.25,3374,15093682.0,2.325034373687949e-05
2023-10-05,11:52:27,0.8396,27.81,25.25,3374,15093682.0,2.325034373687949e-05
2023-10-05,11:52:27,0.8433,27.81,25.25,3374,15093683.0,2.325034373687949e-05
2023-10-05,11:52:27,0.847,27.81,25.25,3375,15093683.0,2.321318620817691e-05
2023-10-05,11:52:27,0.8506,27.81,25.25,3374,15093684.0,2.325034373687949e-05
2023-10-05,11:52:27,0.8543,27.81,25.25,3373,15093683.0,2.328756074392889e-05
2023-10-05,11:52:27,0.8579,27.81,25.25,3373,15093683.0,2.328756074392889e-05
2023-10-05,11:52:27,0.8616,27.81,25.25,3374,15093683.0,2.325034373687949e-05
2023-10-05,11:52:27,0.8653,27.81,25.25,3375,15093683.0,2.321318620817691e-05
2023-10-05,11:52:27,0.8689,27.81,25.25,3374,15093682.0,2.325034373687949e-05
2023-10-05,11:52:27,0.8726,27.81,25.25,3374,15093683.0,2.325034373687949e-05
2023-10-05,11:52:27,0.8763,27.81,25.25,3374,15093683.0,2.325034373687949e-05
2023-10-05,11:52:27,0.8799,27.81,25.25,3374,15093682.0,2.325034373687949e-05
2023-10-05,11:52:27,0.8836,27.81,25.25,3374,15093682.0,2.325034373687949e-05
2023-10-05,11:52:27,0.8872,27.81,25.25,3374,15093683.0,2.325034373687949e-05
2023-10-05,11:52:27,0.8909,27.81,25.25,3374,15093683.0,2.325034373687949e-05
2023-10-05,11:52:27,0.8946,27.81,25.25,3374,15093683.0,2.325034373687949e-05
2023-10-05,11:52:27,0.8983,27.81,25.25,3375,15093683.0,2.321318620817691e-05
2023-10-05,11:52:27,0.9019,27.81,25.25,3374,15093683.0,2.325034373687949e-05
2023-10-05,11:52:27,0.9056,27.81,25.25,3372,15093682.0,2.332483732453251e-05
2023-10-05,11:52:27,0.9093,27.81,25.25,3373,15093682.0,2.328756074392889e-05
2023-10-05,11:52:27,0.913,27.81,25.25,3374,15093683.0,2.325034373687949e-05
2023-10-05,11:52:27,0.9167,27.81,25.25,3374,15093683.0,2.325034373687949e-05
2023-10-05,11:52:27,0.9203,27.81,25.25,3374,15093682.0,2.325034373687949e-05
2023-10-05,11:52:27,0.924,27.81,25.25,3374,15093682.0,2.325034373687949e-05
2023-10-05,11:52:27,0.9277,27.81,25.25,3374,15093682.0,2.325034373687949e-05
2023-10-05,11:52:27,0.9314,27.81,25.25,3374,15093682.0,2.325034373687949e-05
2023-10-05,11:52:27,0.935,27.81,25.25,3374,15093682.0,2.325034373687949e-05
2023-10-05,11:52:27,0.9387,27.81,25.25,3374,15093682.0,2.325034373687949e-05
2023-10-05,11:52:27,0.9423,27.81,25.25,3374,15093682.0,2.325034373687949e-05
2023-10-05,11:52:27,0.946,27.81,25.25,3374,15093682.0,2.325034373687949e-05
2023-10-05,11:52:27,0.9497,27.81,25.25,3375,15093683.0,2.321318620817691e-05
2023-10-05,11:52:27,0.9533,27.81,25.25,3374,15093684.0,2.325034373687949e-05
2023-10-05,11:52:27,0.957,27.81,25.25,3373,15093683.0,2.328756074392889e-05
2023-10-05,11:52:27,0.9607,27.81,25.25,3374,15093678.0,2.325034373687949e-05
2023-10-05,11:52:27,0.9643,27.81,25.25,3374,15093677.0,2.325034373687949e-05
2023-10-05,11:52:27,0.968,27.81,25.25,3374,15093682.0,2.325034373687949e-05
2023-10-05,11:52:27,0.9716,27.81,25.25,3374,15093683.0,2.325034373687949e-05
2023-10-05,11:52:27,0.9753,27.81,25.25,3374,15093682.0,2.325034373687949e-05
2023-10-05,11:52:27,0.979,27.81,25.25,3374,15093682.0,2.325034373687949e-05
2023-10-05,11:52:27,0.9827,27.81,25.25,3375,15093682.0,2.321318620817691e-05
2023-10-05,11:52:27,0.9864,27.81,25.25,3375,15093682.0,2.321318620817691e-05
2023-10-05,11:52:27,0.99,27.81,25.25,3373,15093682.0,2.328756074392889e-05
2023-10-05,11:52:27,0.9936,27.81,25.25,3373,15093683.0,2.328756074392889e-05
2023-10-05,11:52:27,0.9973,27.81,25.25,3373,15093683.0,2.328756074392889e-05
2023-10-05,11:52:27,1.001,27.81,25.25,3373,15093683.0,2.328756074392889e-05
2023-10-05,11:52:27,1.0047,27.81,25.25,3374,15093682.0,2.325034373687949e-05
2023-10-05,11:52:27,1.0084,27.81,25.25,3374,15093682.0,2.325034373687949e-05
2023-10-05,11:52:27,1.0121,27.81,25.25,3373,15093683.0,2.328756074392889e-05
2023-10-05,11:52:27,1.0157,27.81,25.25,3373,15093683.0,2.328756074392889e-05
2023-10-05,11:52:27,1.0193,27.81,25.25,3374,15093683.0,2.325034373687949e-05
2023-10-05,11:52:27,1.023,27.81,25.25,3374,15093682.0,2.325034373687949e-05
2023-10-05,11:52:27,1.0267,27.81,25.25,3374,15093682.0,2.325034373687949e-05
2023-10-05,11:52:27,1.0303,27.81,25.25,3374,15093682.0,2.325034373687949e-05
2023-10-05,11:52:27,1.034,27.81,25.25,3374,15093682.0,2.325034373687949e-05
