Date,Time,Relative_time,Ambient,Temperature,Peak Magnitude (RAW),Resonance_Frequency,Dissipation
2023-07-10,14:49:27,0.0538,29.75,22.96,3229,15057403.0,2.931903559341381e-05
2023-07-10,14:49:27,0.0823,29.75,22.96,3207,15057711.0,3.036906225396806e-05
2023-07-10,14:49:27,0.1126,29.75,22.96,3212,15057642.0,3.012716513515561e-05
2023-07-10,14:49:27,0.1163,29.69,22.86,3207,15057643.0,3.036906225396806e-05
2023-07-10,14:49:27,0.1202,29.69,22.86,3208,15057643.0,3.032052794775979e-05
2023-07-10,14:49:27,0.124,29.69,22.86,3208,15057643.0,3.032052794775979e-05
2023-07-10,14:49:27,0.1278,29.69,22.86,3207,15057644.0,3.036906225396806e-05
2023-07-10,14:49:27,0.1316,29.69,22.86,3207,15057643.0,3.036906225396806e-05
2023-07-10,14:49:27,0.1354,29.69,22.86,3208,15057643.0,3.032052794775979e-05
2023-07-10,14:49:27,0.1391,29.69,22.86,3208,15057644.0,3.032052794775979e-05
2023-07-10,14:49:27,0.143,29.69,22.86,3208,15057643.0,3.032052794775979e-05
2023-07-10,14:49:27,0.1468,29.69,22.86,3208,15057644.0,3.032052794775979e-05
2023-07-10,14:49:27,0.1506,29.69,22.86,3208,15057644.0,3.032052794775979e-05
2023-07-10,14:49:27,0.1544,29.69,22.86,3208,15057644.0,3.032052794775979e-05
2023-07-10,14:49:27,0.1583,29.69,22.86,3209,15057644.0,3.027207120663602e-05
2023-07-10,14:49:27,0.1621,29.69,22.86,3209,15057644.0,3.027207120663602e-05
2023-07-10,14:49:27,0.1658,29.69,22.86,3208,15057644.0,3.032052794775979e-05
2023-07-10,14:49:27,0.1696,29.69,22.86,3208,15057644.0,3.032052794775979e-05
2023-07-10,14:49:27,0.1735,29.69,22.86,3208,15057643.0,3.032052794775979e-05
2023-07-10,14:49:27,0.1772,29.69,22.86,3208,15057643.0,3.032052794775979e-05
2023-07-10,14:49:27,0.181,29.69,22.86,3208,15057643.0,3.032052794775979e-05
2023-07-10,14:49:27,0.1848,29.69,22.86,3209,15057644.0,3.027207120663602e-05
2023-07-10,14:49:27,0.1886,29.69,22.86,3209,15057644.0,3.027207120663602e-05
2023-07-10,14:49:27,0.1924,29.69,22.86,3209,15057643.0,3.027207120663602e-05
2023-07-10,14:49:27,0.1962,29.69,22.86,3210,15057643.0,3.022369190663609e-05
2023-07-10,14:49:27,0.2,29.69,22.86,3210,15057643.0,3.022369190663609e-05
2023-07-10,14:49:27,0.2038,29.69,22.86,3209,15057643.0,3.027207120663602e-05
2023-07-10,14:49:27,0.2076,29.69,22.86,3209,15057643.0,3.027207120663602e-05
2023-07-10,14:49:27,0.2114,29.69,22.86,3209,15057643.0,3.027207120663602e-05
2023-07-10,14:49:27,0.2152,29.69,22.86,3211,15057642.0,3.017538992399754e-05
2023-07-10,14:49:27,0.219,29.69,22.86,3211,15057642.0,3.017538992399754e-05
2023-07-10,14:49:27,0.2227,29.69,22.86,3209,15057643.0,3.027207120663602e-05
2023-07-10,14:49:27,0.2265,29.69,22.86,3209,15057643.0,3.027207120663602e-05
2023-07-10,14:49:27,0.2303,29.69,22.86,3209,15057643.0,3.027207120663602e-05
2023-07-10,14:49:27,0.2342,29.69,22.86,3210,15057643.0,3.022369190663609e-05
2023-07-10,14:49:27,0.2379,29.69,22.86,3209,15057644.0,3.027207120663602e-05
2023-07-10,14:49:27,0.2417,29.69,22.86,3208,15057643.0,3.032052794775979e-05
2023-07-10,14:49:27,0.2455,29.69,22.86,3208,15057644.0,3.032052794775979e-05
2023-07-10,14:49:27,0.2493,29.69,22.86,3208,15057644.0,3.032052794775979e-05
2023-07-10,14:49:27,0.2531,29.69,22.86,3210,15057642.0,3.022369190663609e-05
2023-07-10,14:49:27,0.2569,29.69,22.86,3210,15057643.0,3.022369190663609e-05
2023-07-10,14:49:27,0.2607,29.69,22.86,3208,15057643.0,3.032052794775979e-05
2023-07-10,14:49:27,0.2645,29.69,22.86,3208,15057643.0,3.032052794775979e-05
2023-07-10,14:49:27,0.2683,29.69,22.86,3209,15057643.0,3.027207120663602e-05
2023-07-10,14:49:27,0.2721,29.69,22.86,3209,15057644.0,3.027207120663602e-05
2023-07-10,14:49:27,0.2759,29.69,22.86,3209,15057643.0,3.027207120663602e-05
2023-07-10,14:49:27,0.2797,29.69,22.86,3209,15057643.0,3.027207120663602e-05
2023-07-10,14:49:27,0.2834,29.69,22.86,3208,15057644.0,3.032052794775979e-05
2023-07-10,14:49:27,0.2872,29.69,22.86,3209,15057644.0,3.027207120663602e-05
2023-07-10,14:49:27,0.291,29.69,22.86,3209,15057644.0,3.027207120663602e-05
2023-07-10,14:49:27,0.2948,29.69,22.86,3209,15057643.0,3.027207120663602e-05
2023-07-10,14:49:27,0.2986,29.69,22.86,3209,15057644.0,3.027207120663602e-05
2023-07-10,14:49:27,0.3024,29.69,22.86,3208,15057644.0,3.032052794775979e-05
2023-07-10,14:49:27,0.3062,29.69,22.86,3209,15057644.0,3.027207120663602e-05
2023-07-10,14:49:27,0.31,29.69,22.86,3210,15057643.0,3.022369190663609e-05
2023-07-10,14:49:27,0.3138,29.69,22.86,3211,15057642.0,3.017538992399754e-05
2023-07-10,14:49:27,0.3175,29.69,22.86,3210,15057642.0,3.022369190663609e-05
2023-07-10,14:49:27,0.3214,29.69,22.86,3210,15057643.0,3.022369190663609e-05
2023-07-10,14:49:27,0.3251,29.69,22.86,3214,15057645.0,3.003094664558989e-05
2023-07-10,14:49:27,0.3289,29.69,22.86,3212,15057646.0,3.012716513515561e-05
2023-07-10,14:49:27,0.3327,29.69,22.86,3208,15057644.0,3.032052794775979e-05
2023-07-10,14:49:27,0.3365,29.69,22.86,3209,15057643.0,3.027207120663602e-05
2023-07-10,14:49:27,0.3403,29.69,22.86,3210,15057643.0,3.022369190663609e-05
2023-07-10,14:49:27,0.3441,29.69,22.86,3210,15057644.0,3.022369190663609e-05
2023-07-10,14:49:27,0.3479,29.69,22.86,3208,15057644.0,3.032052794775979e-05
2023-07-10,14:49:27,0.3517,29.69,22.86,3208,15057643.0,3.032052794775979e-05
2023-07-10,14:49:27,0.3555,29.69,22.86,3209,15057643.0,3.027207120663602e-05
2023-07-10,14:49:27,0.3593,29.69,22.86,3209,15057643.0,3.027207120663602e-05
2023-07-10,14:49:27,0.3631,29.69,22.86,3210,15057644.0,3.022369190663609e-05
2023-07-10,14:49:27,0.3669,29.69,22.86,3209,15057645.0,3.027207120663602e-05
2023-07-10,14:49:27,0.3706,29.69,22.86,3209,15057644.0,3.027207120663602e-05
2023-07-10,14:49:28,0.3744,29.69,22.86,3209,15057644.0,3.027207120663602e-05
2023-07-10,14:49:28,0.3782,29.69,22.86,3208,15057643.0,3.032052794775979e-05
2023-07-10,14:49:28,0.3821,29.69,22.86,3209,15057643.0,3.027207120663602e-05
2023-07-10,14:49:28,0.3858,29.69,22.86,3210,15057644.0,3.022369190663609e-05
2023-07-10,14:49:28,0.3896,29.69,22.86,3210,15057644.0,3.022369190663609e-05
2023-07-10,14:49:28,0.3934,29.69,22.86,3210,15057644.0,3.022369190663609e-05
2023-07-10,14:49:28,0.3972,29.69,22.86,3210,15057644.0,3.022369190663609e-05
2023-07-10,14:49:28,0.401,29.69,22.86,3209,15057644.0,3.027207120663602e-05
2023-07-10,14:49:28,0.4048,29.69,22.86,3209,15057644.0,3.027207120663602e-05
2023-07-10,14:49:28,0.4086,29.69,22.86,3210,15057644.0,3.022369190663609e-05
2023-07-10,14:49:28,0.4124,29.69,22.86,3209,15057644.0,3.027207120663602e-05
2023-07-10,14:49:28,0.4162,29.69,22.86,3208,15057644.0,3.032052794775979e-05
2023-07-10,14:49:28,0.42,29.69,22.86,3209,15057644.0,3.027207120663602e-05
2023-07-10,14:49:28,0.4238,29.69,22.86,3209,15057644.0,3.027207120663602e-05
2023-07-10,14:49:28,0.4276,29.69,22.86,3209,15057644.0,3.027207120663602e-05
2023-07-10,14:49:28,0.4313,29.69,22.86,3209,15057644.0,3.027207120663602e-05
2023-07-10,14:49:28,0.4351,29.69,22.86,3209,15057643.0,3.027207120663602e-05
2023-07-10,14:49:28,0.4389,29.69,22.86,3209,15057642.0,3.027207120663602e-05
2023-07-10,14:49:28,0.4427,29.69,22.86,3209,15057643.0,3.027207120663602e-05
2023-07-10,14:49:28,0.4465,29.69,22.86,3210,15057644.0,3.022369190663609e-05
2023-07-10,14:49:28,0.4503,29.69,22.86,3209,15057644.0,3.027207120663602e-05
2023-07-10,14:49:28,0.4541,29.69,22.86,3208,15057644.0,3.032052794775979e-05
2023-07-10,14:49:28,0.4579,29.69,22.86,3208,15057644.0,3.032052794775979e-05
2023-07-10,14:49:28,0.4617,29.69,22.86,3208,15057644.0,3.032052794775979e-05
2023-07-10,14:49:28,0.4655,29.69,22.86,3209,15057643.0,3.027207120663602e-05
2023-07-10,14:49:28,0.4693,29.69,22.86,3210,15057644.0,3.022369190663609e-05
2023-07-10,14:49:28,0.4731,29.69,22.86,3211,15057643.0,3.017538992399754e-05
2023-07-10,14:49:28,0.4769,29.69,22.86,3211,15057643.0,3.017538992399754e-05
2023-07-10,14:49:28,0.4807,29.69,22.86,3209,15057644.0,3.027207120663602e-05
2023-07-10,14:49:28,0.4845,29.69,22.86,3208,15057643.0,3.032052794775979e-05
2023-07-10,14:49:28,0.4882,29.69,22.86,3208,15057644.0,3.032052794775979e-05
2023-07-10,14:49:28,0.492,29.69,22.86,3209,15057644.0,3.027207120663602e-05
2023-07-10,14:49:28,0.4958,29.69,22.86,3209,15057644.0,3.027207120663602e-05
2023-07-10,14:49:28,0.4996,29.69,22.86,3209,15057644.0,3.027207120663602e-05
2023-07-10,14:49:28,0.5034,29.69,22.86,3209,15057644.0,3.027207120663602e-05
2023-07-10,14:49:28,0.5071,29.69,22.86,3208,15057644.0,3.032052794775979e-05
2023-07-10,14:49:28,0.511,29.69,22.86,3209,15057643.0,3.027207120663602e-05
2023-07-10,14:49:28,0.5148,29.69,22.86,3209,15057644.0,3.027207120663602e-05
2023-07-10,14:49:28,0.5186,29.69,22.86,3209,15057644.0,3.027207120663602e-05
2023-07-10,14:49:28,0.5223,29.69,22.86,3209,15057644.0,3.027207120663602e-05
2023-07-10,14:49:28,0.5261,29.69,22.86,3209,15057644.0,3.027207120663602e-05
2023-07-10,14:49:28,0.5299,29.69,22.86,3209,15057643.0,3.027207120663602e-05
2023-07-10,14:49:28,0.5337,29.69,22.86,3209,15057644.0,3.027207120663602e-05
2023-07-10,14:49:28,0.5375,29.69,22.86,3210,15057644.0,3.022369190663609e-05
2023-07-10,14:49:28,0.5413,29.69,22.86,3209,15057643.0,3.027207120663602e-05
2023-07-10,14:49:28,0.5451,29.69,22.86,3208,15057643.0,3.032052794775979e-05
2023-07-10,14:49:28,0.5489,29.69,22.86,3209,15057643.0,3.027207120663602e-05
2023-07-10,14:49:28,0.5527,29.69,22.86,3210,15057643.0,3.022369190663609e-05
2023-07-10,14:49:28,0.5565,29.69,22.86,3209,15057644.0,3.027207120663602e-05
2023-07-10,14:49:28,0.5603,29.69,22.86,3208,15057645.0,3.032052794775979e-05
2023-07-10,14:49:28,0.564,29.69,22.86,3209,15057644.0,3.027207120663602e-05
2023-07-10,14:49:28,0.5679,29.69,22.86,3210,15057644.0,3.022369190663609e-05
2023-07-10,14:49:28,0.5717,29.69,22.86,3209,15057644.0,3.027207120663602e-05
2023-07-10,14:49:28,0.5755,29.69,22.86,3209,15057645.0,3.027207120663602e-05
2023-07-10,14:49:28,0.5793,29.69,22.86,3210,15057645.0,3.022369190663609e-05
2023-07-10,14:49:28,0.583,29.69,22.86,3209,15057644.0,3.027207120663602e-05
2023-07-10,14:49:28,0.5868,29.69,22.86,3208,15057644.0,3.032052794775979e-05
