Date,Time,Relative_time,Ambient,Temperature,Peak Magnitude (RAW),Resonance_Frequency,Dissipation
2024-04-24,14:13:37,0.0528,26.75,24.75,3244,14998876.0,2.862400104373998e-05
2024-04-24,14:13:37,0.0807,26.75,24.75,3250,14999200.0,2.835062270712792e-05
2024-04-24,14:13:37,0.1118,26.75,24.75,3306,14999138.0,2.592171472805926e-05
2024-04-24,14:13:37,0.1176,26.75,24.75,3307,14999139.0,2.588028794874243e-05
2024-04-24,14:13:37,0.1235,26.75,24.75,3308,14999139.0,2.583892737561843e-05
2024-04-24,14:13:37,0.1295,26.75,24.75,3309,14999138.0,2.579763290287992e-05
2024-04-24,14:13:37,0.1353,26.75,24.75,3308,14999137.0,2.583892737561843e-05
2024-04-24,14:13:37,0.1411,26.75,24.75,3306,14999138.0,2.592171472805926e-05
2024-04-24,14:13:37,0.147,26.75,24.75,3307,14999139.0,2.588028794874243e-05
2024-04-24,14:13:37,0.153,26.75,24.75,3308,14999138.0,2.583892737561843e-05
2024-04-24,14:13:37,0.159,26.75,24.75,3307,14999138.0,2.588028794874243e-05
2024-04-24,14:13:37,0.1649,26.75,24.75,3306,14999138.0,2.592171472805926e-05
2024-04-24,14:13:37,0.1707,26.75,24.75,3307,14999138.0,2.588028794874243e-05
2024-04-24,14:13:37,0.1765,26.75,24.75,3309,14999138.0,2.579763290287992e-05
2024-04-24,14:13:37,0.1824,26.75,24.75,3308,14999138.0,2.583892737561843e-05
2024-04-24,14:13:37,0.1884,26.75,24.75,3306,14999138.0,2.592171472805926e-05
2024-04-24,14:13:37,0.1942,26.75,24.75,3307,14999138.0,2.588028794874243e-05
2024-04-24,14:13:37,0.2,26.75,24.75,3307,14999138.0,2.588028794874243e-05
2024-04-24,14:13:37,0.2059,26.75,24.75,3307,14999138.0,2.588028794874243e-05
2024-04-24,14:13:37,0.2119,26.75,24.75,3308,14999139.0,2.583892737561843e-05
2024-04-24,14:13:37,0.2177,26.75,24.75,3308,14999138.0,2.583892737561843e-05
2024-04-24,14:13:37,0.2235,26.75,24.75,3308,14999138.0,2.583892737561843e-05
2024-04-24,14:13:37,0.2295,26.75,24.75,3307,14999137.0,2.588028794874243e-05
2024-04-24,14:13:37,0.2354,26.75,24.75,3306,14999138.0,2.592171472805926e-05
2024-04-24,14:13:37,0.2412,26.75,24.75,3307,14999139.0,2.588028794874243e-05
2024-04-24,14:13:37,0.247,26.75,24.75,3308,14999139.0,2.583892737561843e-05
2024-04-24,14:13:37,0.2529,26.75,24.75,3307,14999138.0,2.588028794874243e-05
2024-04-24,14:13:37,0.2587,26.75,24.75,3307,14999139.0,2.588028794874243e-05
2024-04-24,14:13:37,0.2646,26.75,24.75,3309,14999140.0,2.579763290287992e-05
2024-04-24,14:13:37,0.2706,26.75,24.75,3309,14999139.0,2.579763290287992e-05
2024-04-24,14:13:37,0.2764,26.75,24.75,3308,14999138.0,2.583892737561843e-05
2024-04-24,14:13:37,0.2822,26.75,24.75,3309,14999136.0,2.579763290287992e-05
2024-04-24,14:13:37,0.2881,26.75,24.75,3309,14999137.0,2.579763290287992e-05
2024-04-24,14:13:37,0.294,26.75,24.75,3307,14999139.0,2.588028794874243e-05
2024-04-24,14:13:37,0.2999,26.75,24.75,3307,14999139.0,2.588028794874243e-05
2024-04-24,14:13:37,0.3057,26.75,24.75,3308,14999138.0,2.583892737561843e-05
2024-04-24,14:13:37,0.3116,26.75,24.75,3307,14999141.0,2.588028794874243e-05
2024-04-24,14:13:37,0.3174,26.75,24.75,3307,14999142.0,2.588028794874243e-05
2024-04-24,14:13:37,0.3233,26.75,24.75,3309,14999139.0,2.579763290287992e-05
2024-04-24,14:13:37,0.3292,26.75,24.75,3310,14999139.0,2.575640442488854e-05
2024-04-24,14:13:37,0.335,26.75,24.75,3308,14999138.0,2.583892737561843e-05
2024-04-24,14:13:37,0.3409,26.75,24.75,3306,14999139.0,2.592171472805926e-05
2024-04-24,14:13:37,0.3468,26.75,24.75,3307,14999139.0,2.588028794874243e-05
2024-04-24,14:13:37,0.3528,26.75,24.75,3308,14999139.0,2.583892737561843e-05
2024-04-24,14:13:37,0.3586,26.75,24.75,3307,14999138.0,2.588028794874243e-05
