Date,Time,Relative_time,Ambient,Temperature,Peak Magnitude (RAW),Resonance_Frequency,Dissipation
2023-11-15,12:19:10,0.0537,23.44,25.0,3312,15154156.0,2.567414503143785e-05
2023-11-15,12:19:10,0.0821,23.44,25.0,3292,15154440.0,2.650870094566748e-05
2023-11-15,12:19:10,0.1123,23.44,25.0,3297,15154360.0,2.62975525628629e-05
2023-11-15,12:19:10,0.116,23.44,25.0,3290,15154361.0,2.659363423782914e-05
2023-11-15,12:19:10,0.1197,23.44,25.0,3291,15154362.0,2.655113363058303e-05
2023-11-15,12:19:10,0.1234,23.44,25.0,3291,15154362.0,2.655113363058303e-05
2023-11-15,12:19:10,0.127,23.44,25.0,3290,15154362.0,2.659363423782914e-05
2023-11-15,12:19:10,0.1307,23.44,25.0,3290,15154362.0,2.659363423782914e-05
2023-11-15,12:19:10,0.1344,23.44,25.0,3291,15154363.0,2.655113363058303e-05
2023-11-15,12:19:10,0.1381,23.44,25.0,3291,15154363.0,2.655113363058303e-05
2023-11-15,12:19:10,0.1418,23.44,25.0,3290,15154362.0,2.659363423782914e-05
2023-11-15,12:19:10,0.1455,23.44,25.0,3290,15154362.0,2.659363423782914e-05
2023-11-15,12:19:10,0.1492,23.44,25.0,3291,15154362.0,2.655113363058303e-05
2023-11-15,12:19:10,0.1529,23.44,25.0,3291,15154363.0,2.655113363058303e-05
2023-11-15,12:19:10,0.1566,23.44,25.0,3290,15154362.0,2.659363423782914e-05
2023-11-15,12:19:10,0.1603,23.44,25.0,3289,15154362.0,2.663620287612968e-05
2023-11-15,12:19:10,0.164,23.44,25.0,3289,15154362.0,2.663620287612968e-05
2023-11-15,12:19:10,0.1676,23.44,25.0,3290,15154362.0,2.659363423782914e-05
2023-11-15,12:19:10,0.1712,23.44,25.0,3291,15154363.0,2.655113363058303e-05
2023-11-15,12:19:10,0.1749,23.44,25.0,3290,15154363.0,2.659363423782914e-05
2023-11-15,12:19:10,0.1787,23.44,25.0,3288,15154362.0,2.667883965438242e-05
2023-11-15,12:19:10,0.1824,23.44,25.0,3288,15154362.0,2.667883965438242e-05
2023-11-15,12:19:10,0.1861,23.44,25.0,3289,15154362.0,2.663620287612968e-05
2023-11-15,12:19:10,0.1897,23.44,25.0,3290,15154362.0,2.659363423782914e-05
2023-11-15,12:19:10,0.1934,23.44,25.0,3291,15154362.0,2.655113363058303e-05
2023-11-15,12:19:10,0.1971,23.44,25.0,3291,15154362.0,2.655113363058303e-05
2023-11-15,12:19:10,0.2008,23.44,25.0,3292,15154363.0,2.650870094566748e-05
2023-11-15,12:19:10,0.2046,23.44,25.0,3291,15154363.0,2.655113363058303e-05
2023-11-15,12:19:10,0.2083,23.44,25.0,3290,15154362.0,2.659363423782914e-05
2023-11-15,12:19:10,0.2119,23.44,25.0,3291,15154361.0,2.655113363058303e-05
2023-11-15,12:19:10,0.2157,23.44,25.0,3290,15154362.0,2.659363423782914e-05
2023-11-15,12:19:10,0.2193,23.44,25.0,3290,15154362.0,2.659363423782914e-05
2023-11-15,12:19:10,0.223,23.44,25.0,3290,15154362.0,2.659363423782914e-05
2023-11-15,12:19:10,0.2266,23.44,25.0,3289,15154362.0,2.663620287612968e-05
2023-11-15,12:19:10,0.2303,23.44,25.0,3291,15154363.0,2.655113363058303e-05
2023-11-15,12:19:10,0.2341,23.44,25.0,3291,15154363.0,2.655113363058303e-05
2023-11-15,12:19:10,0.2377,23.44,25.0,3290,15154363.0,2.659363423782914e-05
2023-11-15,12:19:10,0.2414,23.44,25.0,3291,15154362.0,2.655113363058303e-05
2023-11-15,12:19:10,0.2451,23.44,25.0,3290,15154362.0,2.659363423782914e-05
2023-11-15,12:19:10,0.2488,23.44,25.0,3289,15154362.0,2.663620287612968e-05
2023-11-15,12:19:10,0.2525,23.44,25.0,3290,15154363.0,2.659363423782914e-05
2023-11-15,12:19:10,0.2561,23.44,25.0,3291,15154363.0,2.655113363058303e-05
2023-11-15,12:19:10,0.2598,23.44,25.0,3290,15154362.0,2.659363423782914e-05
2023-11-15,12:19:10,0.2635,23.44,25.0,3289,15154362.0,2.663620287612968e-05
2023-11-15,12:19:10,0.2672,23.44,25.0,3290,15154362.0,2.659363423782914e-05
2023-11-15,12:19:10,0.2709,23.44,25.0,3291,15154362.0,2.655113363058303e-05
2023-11-15,12:19:10,0.2746,23.44,25.0,3291,15154362.0,2.655113363058303e-05
2023-11-15,12:19:10,0.2783,23.44,25.0,3291,15154361.0,2.655113363058303e-05
2023-11-15,12:19:10,0.2819,23.44,25.0,3291,15154362.0,2.655113363058303e-05
2023-11-15,12:19:10,0.2856,23.44,25.0,3290,15154363.0,2.659363423782914e-05
2023-11-15,12:19:10,0.2894,23.44,25.0,3290,15154362.0,2.659363423782914e-05
2023-11-15,12:19:10,0.293,23.44,25.0,3291,15154362.0,2.655113363058303e-05
2023-11-15,12:19:10,0.2966,23.44,25.0,3292,15154362.0,2.650870094566748e-05
2023-11-15,12:19:10,0.3004,23.44,25.0,3291,15154362.0,2.655113363058303e-05
2023-11-15,12:19:10,0.3041,23.44,25.0,3289,15154362.0,2.663620287612968e-05
2023-11-15,12:19:10,0.3078,23.44,25.0,3290,15154361.0,2.659363423782914e-05
2023-11-15,12:19:10,0.3114,23.44,25.0,3290,15154361.0,2.659363423782914e-05
2023-11-15,12:19:10,0.3151,23.44,25.0,3289,15154362.0,2.663620287612968e-05
2023-11-15,12:19:10,0.3187,23.44,25.0,3290,15154363.0,2.659363423782914e-05
2023-11-15,12:19:10,0.3224,23.44,25.0,3290,15154363.0,2.659363423782914e-05
2023-11-15,12:19:10,0.3261,23.44,25.0,3289,15154362.0,2.663620287612968e-05
2023-11-15,12:19:10,0.3298,23.44,25.0,3289,15154361.0,2.663620287612968e-05
2023-11-15,12:19:10,0.3335,23.44,25.0,3290,15154362.0,2.659363423782914e-05
2023-11-15,12:19:10,0.3372,23.44,25.0,3291,15154362.0,2.655113363058303e-05
2023-11-15,12:19:10,0.3408,23.44,25.0,3291,15154362.0,2.655113363058303e-05
2023-11-15,12:19:10,0.3445,23.44,25.0,3291,15154361.0,2.655113363058303e-05
2023-11-15,12:19:10,0.3483,23.44,25.0,3290,15154361.0,2.659363423782914e-05
2023-11-15,12:19:10,0.352,23.44,25.0,3290,15154362.0,2.659363423782914e-05
2023-11-15,12:19:10,0.3557,23.44,25.0,3291,15154362.0,2.655113363058303e-05
2023-11-15,12:19:10,0.3593,23.44,25.0,3290,15154362.0,2.659363423782914e-05
2023-11-15,12:19:10,0.363,23.44,25.0,3290,15154362.0,2.659363423782914e-05
2023-11-15,12:19:10,0.3667,23.44,25.0,3291,15154362.0,2.655113363058303e-05
2023-11-15,12:19:10,0.3704,23.44,25.0,3290,15154361.0,2.659363423782914e-05
2023-11-15,12:19:10,0.374,23.44,25.0,3290,15154361.0,2.659363423782914e-05
2023-11-15,12:19:10,0.3777,23.44,25.0,3291,15154362.0,2.655113363058303e-05
2023-11-15,12:19:10,0.3814,23.44,25.0,3291,15154362.0,2.655113363058303e-05
2023-11-15,12:19:10,0.3852,23.44,25.0,3290,15154362.0,2.659363423782914e-05
2023-11-15,12:19:10,0.3889,23.44,25.0,3290,15154362.0,2.659363423782914e-05
2023-11-15,12:19:10,0.3925,23.44,25.0,3291,15154363.0,2.655113363058303e-05
2023-11-15,12:19:10,0.3962,23.44,25.0,3293,15154362.0,2.64663360745325e-05
2023-11-15,12:19:10,0.3999,23.44,25.0,3294,15154361.0,2.642403890880146e-05
2023-11-15,12:19:10,0.4035,23.44,25.0,3291,15154362.0,2.655113363058303e-05
2023-11-15,12:19:10,0.4072,23.44,25.0,3290,15154362.0,2.659363423782914e-05
2023-11-15,12:19:10,0.4109,23.44,25.0,3290,15154363.0,2.659363423782914e-05
2023-11-15,12:19:10,0.4146,23.44,25.0,3290,15154363.0,2.659363423782914e-05
2023-11-15,12:19:10,0.4183,23.44,25.0,3291,15154362.0,2.655113363058303e-05
2023-11-15,12:19:10,0.422,23.44,25.0,3292,15154363.0,2.650870094566748e-05
2023-11-15,12:19:10,0.4257,23.44,25.0,3291,15154363.0,2.655113363058303e-05
2023-11-15,12:19:10,0.4294,23.44,25.0,3290,15154363.0,2.659363423782914e-05
2023-11-15,12:19:10,0.433,23.44,25.0,3291,15154362.0,2.655113363058303e-05
2023-11-15,12:19:10,0.4367,23.44,25.0,3291,15154361.0,2.655113363058303e-05
2023-11-15,12:19:10,0.4404,23.44,25.0,3290,15154362.0,2.659363423782914e-05
2023-11-15,12:19:10,0.444,23.44,25.0,3291,15154362.0,2.655113363058303e-05
2023-11-15,12:19:10,0.4477,23.44,25.0,3291,15154363.0,2.655113363058303e-05
2023-11-15,12:19:10,0.4514,23.44,25.0,3290,15154362.0,2.659363423782914e-05
2023-11-15,12:19:10,0.455,23.44,25.0,3290,15154362.0,2.659363423782914e-05
2023-11-15,12:19:10,0.4588,23.44,25.0,3290,15154362.0,2.659363423782914e-05
2023-11-15,12:19:10,0.4624,23.44,25.0,3291,15154362.0,2.655113363058303e-05
2023-11-15,12:19:10,0.4661,23.44,25.0,3291,15154363.0,2.655113363058303e-05
2023-11-15,12:19:10,0.4698,23.44,25.0,3290,15154362.0,2.659363423782914e-05
2023-11-15,12:19:10,0.4735,23.44,25.0,3291,15154362.0,2.655113363058303e-05
2023-11-15,12:19:10,0.4771,23.44,25.0,3291,15154363.0,2.655113363058303e-05
2023-11-15,12:19:10,0.4808,23.44,25.0,3290,15154363.0,2.659363423782914e-05
2023-11-15,12:19:10,0.4846,23.44,25.0,3290,15154363.0,2.659363423782914e-05
2023-11-15,12:19:10,0.4883,23.44,25.0,3290,15154362.0,2.659363423782914e-05
2023-11-15,12:19:10,0.4919,23.44,25.0,3291,15154362.0,2.655113363058303e-05
2023-11-15,12:19:10,0.4957,23.44,25.0,3291,15154362.0,2.655113363058303e-05
2023-11-15,12:19:10,0.4994,23.44,25.0,3291,15154362.0,2.655113363058303e-05
2023-11-15,12:19:10,0.503,23.44,25.0,3291,15154363.0,2.655113363058303e-05
2023-11-15,12:19:10,0.5068,23.44,25.0,3290,15154363.0,2.659363423782914e-05
2023-11-15,12:19:10,0.5104,23.44,25.0,3290,15154363.0,2.659363423782914e-05
2023-11-15,12:19:10,0.5141,23.44,25.0,3291,15154363.0,2.655113363058303e-05
2023-11-15,12:19:10,0.5177,23.44,25.0,3290,15154362.0,2.659363423782914e-05
2023-11-15,12:19:10,0.5214,23.44,25.0,3289,15154361.0,2.663620287612968e-05
2023-11-15,12:19:10,0.5251,23.44,25.0,3290,15154362.0,2.659363423782914e-05
2023-11-15,12:19:10,0.5288,23.44,25.0,3291,15154362.0,2.655113363058303e-05
2023-11-15,12:19:10,0.5326,23.44,25.0,3291,15154362.0,2.655113363058303e-05
2023-11-15,12:19:10,0.5363,23.44,25.0,3291,15154362.0,2.655113363058303e-05
2023-11-15,12:19:10,0.5399,23.44,25.0,3291,15154362.0,2.655113363058303e-05
2023-11-15,12:19:10,0.5435,23.44,25.0,3290,15154363.0,2.659363423782914e-05
2023-11-15,12:19:10,0.5472,23.44,25.0,3291,15154363.0,2.655113363058303e-05
2023-11-15,12:19:10,0.5509,23.44,25.0,3291,15154363.0,2.655113363058303e-05
2023-11-15,12:19:10,0.5546,23.44,25.0,3290,15154362.0,2.659363423782914e-05
2023-11-15,12:19:10,0.5583,23.44,25.0,3291,15154362.0,2.655113363058303e-05
2023-11-15,12:19:10,0.562,23.44,25.0,3289,15154361.0,2.663620287612968e-05
2023-11-15,12:19:10,0.5657,23.44,25.0,3289,15154361.0,2.663620287612968e-05
2023-11-15,12:19:10,0.5694,23.44,25.0,3292,15154362.0,2.650870094566748e-05
2023-11-15,12:19:10,0.5731,23.44,25.0,3292,15154362.0,2.650870094566748e-05
2023-11-15,12:19:10,0.5767,23.44,25.0,3290,15154361.0,2.659363423782914e-05
2023-11-15,12:19:10,0.5804,23.44,25.0,3290,15154362.0,2.659363423782914e-05
2023-11-15,12:19:10,0.5841,23.44,25.0,3291,15154362.0,2.655113363058303e-05
2023-11-15,12:19:10,0.5878,23.44,25.0,3290,15154362.0,2.659363423782914e-05
2023-11-15,12:19:10,0.5915,23.44,25.0,3291,15154363.0,2.655113363058303e-05
2023-11-15,12:19:10,0.5953,23.44,25.0,3292,15154363.0,2.650870094566748e-05
2023-11-15,12:19:10,0.599,23.44,25.0,3291,15154363.0,2.655113363058303e-05
2023-11-15,12:19:10,0.6026,23.44,25.0,3291,15154362.0,2.655113363058303e-05
2023-11-15,12:19:10,0.6063,23.44,25.0,3291,15154362.0,2.655113363058303e-05
2023-11-15,12:19:10,0.61,23.44,24.75,3291,15154362.0,2.655113363058303e-05
2023-11-15,12:19:10,0.6137,23.44,24.75,3291,15154362.0,2.655113363058303e-05
2023-11-15,12:19:10,0.6174,23.44,24.75,3291,15154362.0,2.655113363058303e-05
2023-11-15,12:19:10,0.6211,23.44,24.75,3291,15154362.0,2.655113363058303e-05
2023-11-15,12:19:10,0.6247,23.44,24.75,3291,15154362.0,2.655113363058303e-05
2023-11-15,12:19:10,0.6284,23.44,24.75,3293,15154363.0,2.64663360745325e-05
2023-11-15,12:19:10,0.6321,23.44,24.75,3293,15154363.0,2.64663360745325e-05
2023-11-15,12:19:10,0.6358,23.44,24.75,3290,15154362.0,2.659363423782914e-05
2023-11-15,12:19:10,0.6394,23.44,24.75,3289,15154362.0,2.663620287612968e-05
2023-11-15,12:19:10,0.6431,23.44,24.75,3290,15154362.0,2.659363423782914e-05
2023-11-15,12:19:10,0.6469,23.44,24.75,3291,15154362.0,2.655113363058303e-05
2023-11-15,12:19:10,0.6506,23.44,24.75,3291,15154361.0,2.655113363058303e-05
2023-11-15,12:19:10,0.6542,23.44,24.75,3291,15154362.0,2.655113363058303e-05
2023-11-15,12:19:10,0.6579,23.44,24.75,3290,15154362.0,2.659363423782914e-05
2023-11-15,12:19:10,0.6616,23.44,24.75,3290,15154361.0,2.659363423782914e-05
2023-11-15,12:19:10,0.6653,23.44,24.75,3292,15154363.0,2.650870094566748e-05
2023-11-15,12:19:10,0.669,23.44,24.75,3292,15154363.0,2.650870094566748e-05
2023-11-15,12:19:10,0.6727,23.44,24.75,3291,15154362.0,2.655113363058303e-05
2023-11-15,12:19:10,0.6764,23.44,24.75,3291,15154362.0,2.655113363058303e-05
2023-11-15,12:19:10,0.68,23.44,24.75,3291,15154362.0,2.655113363058303e-05
2023-11-15,12:19:10,0.6837,23.44,24.75,3291,15154362.0,2.655113363058303e-05
2023-11-15,12:19:10,0.6874,23.44,24.75,3291,15154363.0,2.655113363058303e-05
2023-11-15,12:19:10,0.691,23.44,24.75,3291,15154363.0,2.655113363058303e-05
2023-11-15,12:19:10,0.6947,23.44,24.75,3291,15154362.0,2.655113363058303e-05
2023-11-15,12:19:10,0.6984,23.44,24.75,3291,15154362.0,2.655113363058303e-05
2023-11-15,12:19:10,0.7022,23.44,24.75,3292,15154362.0,2.650870094566748e-05
2023-11-15,12:19:10,0.7058,23.44,24.75,3292,15154363.0,2.650870094566748e-05
2023-11-15,12:19:10,0.7094,23.44,24.75,3291,15154363.0,2.655113363058303e-05
2023-11-15,12:19:10,0.7132,23.44,24.75,3291,15154363.0,2.655113363058303e-05
2023-11-15,12:19:10,0.7169,23.44,24.75,3292,15154363.0,2.650870094566748e-05
2023-11-15,12:19:10,0.7205,23.44,24.75,3292,15154364.0,2.650870094566748e-05
2023-11-15,12:19:10,0.7242,23.44,24.75,3291,15154363.0,2.655113363058303e-05
2023-11-15,12:19:10,0.7279,23.44,24.75,3290,15154363.0,2.659363423782914e-05
2023-11-15,12:19:10,0.7315,23.44,24.75,3290,15154363.0,2.659363423782914e-05
2023-11-15,12:19:10,0.7352,23.44,24.75,3290,15154363.0,2.659363423782914e-05
