Date,Time,Relative_time,Ambient,Temperature,Peak Magnitude (RAW),Resonance_Frequency,Dissipation
2024-10-09,11:59:40,0.0541,26.62,26.25,3137,14953434.0,3.396682676446853e-05
2024-10-09,11:59:40,0.0821,26.62,26.25,3107,14953784.0,3.563638642707614e-05
2024-10-09,11:59:40,0.1128,26.62,26.25,3133,14953689.0,3.418483337507897e-05
2024-10-09,11:59:40,0.1173,26.62,26.25,3131,14953690.0,3.429436082595234e-05
2024-10-09,11:59:40,0.1219,26.62,26.25,3133,14953690.0,3.418483337507897e-05
2024-10-09,11:59:40,0.1265,26.62,26.25,3135,14953690.0,3.407565572697801e-05
2024-10-09,11:59:40,0.1309,26.62,26.25,3135,14953690.0,3.407565572697801e-05
2024-10-09,11:59:40,0.1354,26.62,26.25,3135,14953690.0,3.407565572697801e-05
2024-10-09,11:59:40,0.14,26.62,26.25,3135,14953690.0,3.407565572697801e-05
2024-10-09,11:59:40,0.1446,26.62,26.25,3136,14953690.0,3.402119772970862e-05
2024-10-09,11:59:40,0.1491,26.62,26.25,3137,14953689.0,3.396682676446853e-05
2024-10-09,11:59:40,0.1536,26.62,26.25,3137,14953689.0,3.396682676446853e-05
2024-10-09,11:59:40,0.1581,26.62,26.25,3137,14953689.0,3.396682676446853e-05
2024-10-09,11:59:40,0.1626,26.62,26.25,3137,14953689.0,3.396682676446853e-05
2024-10-09,11:59:40,0.1672,26.62,26.25,3138,14953689.0,3.391254269216747e-05
2024-10-09,11:59:40,0.1717,26.62,26.25,3138,14953689.0,3.391254269216747e-05
2024-10-09,11:59:40,0.1761,26.62,26.25,3138,14953689.0,3.391254269216747e-05
2024-10-09,11:59:40,0.1807,26.62,26.25,3138,14953689.0,3.391254269216747e-05
2024-10-09,11:59:40,0.1852,26.62,26.25,3138,14953689.0,3.391254269216747e-05
2024-10-09,11:59:40,0.1897,26.62,26.25,3139,14953689.0,3.385834537393757e-05
2024-10-09,11:59:40,0.1943,26.62,26.25,3139,14953689.0,3.385834537393757e-05
2024-10-09,11:59:40,0.1989,26.62,26.25,3139,14953689.0,3.385834537393757e-05
2024-10-09,11:59:40,0.2034,26.62,26.25,3139,14953689.0,3.385834537393757e-05
2024-10-09,11:59:40,0.2079,26.62,26.25,3139,14953689.0,3.385834537393757e-05
2024-10-09,11:59:40,0.2125,26.62,26.25,3139,14953688.0,3.385834537393757e-05
2024-10-09,11:59:40,0.2171,26.62,26.25,3140,14953688.0,3.38042346711328e-05
2024-10-09,11:59:40,0.2216,26.62,26.25,3140,14953688.0,3.38042346711328e-05
2024-10-09,11:59:40,0.2261,26.62,26.25,3140,14953688.0,3.38042346711328e-05
2024-10-09,11:59:40,0.2305,26.62,26.25,3140,14953688.0,3.38042346711328e-05
2024-10-09,11:59:40,0.235,26.62,26.25,3140,14953688.0,3.38042346711328e-05
2024-10-09,11:59:40,0.2396,26.62,26.25,3141,14953688.0,3.375021044532881e-05
2024-10-09,11:59:40,0.2442,26.62,26.25,3141,14953688.0,3.375021044532881e-05
2024-10-09,11:59:40,0.2487,26.62,26.25,3141,14953688.0,3.375021044532881e-05
2024-10-09,11:59:40,0.2532,26.62,26.25,3141,14953688.0,3.375021044532881e-05
2024-10-09,11:59:40,0.2578,26.62,26.25,3141,14953688.0,3.375021044532881e-05
2024-10-09,11:59:40,0.2623,26.62,26.25,3141,14953688.0,3.375021044532881e-05
2024-10-09,11:59:40,0.2668,26.62,26.25,3141,14953688.0,3.375021044532881e-05
2024-10-09,11:59:40,0.2714,26.62,26.25,3141,14953688.0,3.375021044532881e-05
2024-10-09,11:59:40,0.2758,26.62,26.25,3141,14953688.0,3.375021044532881e-05
2024-10-09,11:59:40,0.2803,26.62,26.25,3141,14953688.0,3.375021044532881e-05
2024-10-09,11:59:40,0.2849,26.62,26.25,3141,14953688.0,3.375021044532881e-05
2024-10-09,11:59:40,0.2894,26.62,26.25,3141,14953688.0,3.375021044532881e-05
2024-10-09,11:59:40,0.2939,26.62,26.25,3141,14953688.0,3.375021044532881e-05
2024-10-09,11:59:40,0.2985,26.62,26.25,3141,14953688.0,3.375021044532881e-05
2024-10-09,11:59:40,0.303,26.62,26.25,3141,14953688.0,3.375021044532881e-05
2024-10-09,11:59:40,0.3075,26.62,26.25,3142,14953688.0,3.369627255832234e-05
2024-10-09,11:59:40,0.3121,26.62,26.25,3143,14953688.0,3.364242087213114e-05
2024-10-09,11:59:40,0.3167,26.62,26.25,3143,14953688.0,3.364242087213114e-05
2024-10-09,11:59:40,0.3212,26.62,26.25,3142,14953688.0,3.369627255832234e-05
2024-10-09,11:59:40,0.3256,26.62,26.25,3141,14953688.0,3.375021044532881e-05
2024-10-09,11:59:40,0.3301,26.62,26.25,3142,14953688.0,3.369627255832234e-05
2024-10-09,11:59:40,0.3346,26.62,26.25,3142,14953688.0,3.369627255832234e-05
2024-10-09,11:59:40,0.3392,26.62,26.25,3141,14953688.0,3.375021044532881e-05
2024-10-09,11:59:40,0.3438,26.62,26.25,3141,14953688.0,3.375021044532881e-05
2024-10-09,11:59:40,0.3484,26.62,26.25,3141,14953688.0,3.375021044532881e-05
2024-10-09,11:59:40,0.3529,26.62,26.25,3141,14953688.0,3.375021044532881e-05
2024-10-09,11:59:40,0.3574,26.62,26.25,3141,14953688.0,3.375021044532881e-05
2024-10-09,11:59:40,0.3619,26.62,26.25,3142,14953688.0,3.369627255832234e-05
2024-10-09,11:59:40,0.3663,26.62,26.25,3142,14953687.0,3.369627255832234e-05
2024-10-09,11:59:40,0.3709,26.62,26.25,3141,14953688.0,3.375021044532881e-05
2024-10-09,11:59:40,0.3754,26.62,26.25,3142,14953688.0,3.369627255832234e-05
2024-10-09,11:59:40,0.3799,26.62,26.25,3142,14953688.0,3.369627255832234e-05
2024-10-09,11:59:40,0.3845,26.62,26.25,3141,14953688.0,3.375021044532881e-05
2024-10-09,11:59:40,0.3891,26.62,26.25,3142,14953688.0,3.369627255832234e-05
2024-10-09,11:59:40,0.3936,26.62,26.25,3143,14953688.0,3.364242087213114e-05
2024-10-09,11:59:40,0.3981,26.62,26.25,3142,14953688.0,3.369627255832234e-05
2024-10-09,11:59:40,0.4026,26.62,26.25,3141,14953688.0,3.375021044532881e-05
2024-10-09,11:59:40,0.407,26.62,26.25,3141,14953688.0,3.375021044532881e-05
2024-10-09,11:59:40,0.4117,26.62,26.25,3142,14953688.0,3.369627255832234e-05
2024-10-09,11:59:40,0.4161,26.62,26.25,3143,14953687.0,3.364242087213114e-05
2024-10-09,11:59:40,0.4206,26.62,26.25,3143,14953688.0,3.364242087213114e-05
2024-10-09,11:59:40,0.4252,26.62,26.25,3143,14953687.0,3.364242087213114e-05
2024-10-09,11:59:40,0.4297,26.62,26.25,3143,14953688.0,3.364242087213114e-05
2024-10-09,11:59:40,0.4342,26.62,26.25,3142,14953688.0,3.369627255832234e-05
2024-10-09,11:59:40,0.4388,26.62,26.25,3142,14953688.0,3.369627255832234e-05
2024-10-09,11:59:40,0.4433,26.62,26.25,3143,14953688.0,3.364242087213114e-05
2024-10-09,11:59:40,0.4522,26.69,26.25,3142,14953688.0,3.369627255832234e-05
2024-10-09,11:59:40,0.4567,26.69,26.25,3142,14953688.0,3.369627255832234e-05
2024-10-09,11:59:40,0.4613,26.69,26.25,3143,14953687.0,3.364242087213114e-05
2024-10-09,11:59:40,0.4658,26.69,26.25,3143,14953687.0,3.364242087213114e-05
2024-10-09,11:59:40,0.4703,26.69,26.25,3143,14953688.0,3.364242087213114e-05
2024-10-09,11:59:40,0.4749,26.69,26.25,3142,14953687.0,3.369627255832234e-05
2024-10-09,11:59:40,0.4795,26.69,26.25,3142,14953687.0,3.369627255832234e-05
2024-10-09,11:59:40,0.484,26.69,26.25,3143,14953688.0,3.364242087213114e-05
2024-10-09,11:59:40,0.4885,26.69,26.25,3143,14953688.0,3.364242087213114e-05
2024-10-09,11:59:40,0.4929,26.69,26.25,3143,14953687.0,3.364242087213114e-05
2024-10-09,11:59:40,0.4974,26.69,26.25,3143,14953688.0,3.364242087213114e-05
2024-10-09,11:59:40,0.502,26.69,26.25,3143,14953687.0,3.364242087213114e-05
2024-10-09,11:59:40,0.5066,26.69,26.25,3143,14953688.0,3.364242087213114e-05
2024-10-09,11:59:40,0.5111,26.69,26.25,3143,14953687.0,3.364242087213114e-05
2024-10-09,11:59:40,0.5156,26.69,26.25,3143,14953688.0,3.364242087213114e-05
2024-10-09,11:59:40,0.5202,26.69,26.25,3143,14953688.0,3.364242087213114e-05
2024-10-09,11:59:40,0.5247,26.69,26.25,3143,14953687.0,3.364242087213114e-05
2024-10-09,11:59:40,0.5292,26.69,26.25,3143,14953688.0,3.364242087213114e-05
2024-10-09,11:59:40,0.5338,26.69,26.25,3143,14953688.0,3.364242087213114e-05
2024-10-09,11:59:40,0.5382,26.69,26.25,3143,14953688.0,3.364242087213114e-05
2024-10-09,11:59:40,0.5427,26.69,26.25,3143,14953687.0,3.364242087213114e-05
2024-10-09,11:59:40,0.5473,26.69,26.25,3143,14953687.0,3.364242087213114e-05
2024-10-09,11:59:40,0.5518,26.69,26.25,3143,14953687.0,3.364242087213114e-05
2024-10-09,11:59:40,0.5563,26.69,26.25,3143,14953687.0,3.364242087213114e-05
2024-10-09,11:59:40,0.5609,26.69,26.25,3144,14953687.0,3.358865524899333e-05
2024-10-09,11:59:40,0.5654,26.69,26.25,3144,14953688.0,3.358865524899333e-05
2024-10-09,11:59:40,0.5699,26.69,26.25,3143,14953688.0,3.364242087213114e-05
2024-10-09,11:59:40,0.5745,26.69,26.25,3143,14953688.0,3.364242087213114e-05
2024-10-09,11:59:40,0.5791,26.69,26.25,3143,14953687.0,3.364242087213114e-05
2024-10-09,11:59:40,0.5836,26.69,26.25,3143,14953688.0,3.364242087213114e-05
2024-10-09,11:59:40,0.588,26.69,26.25,3143,14953688.0,3.364242087213114e-05
2024-10-09,11:59:40,0.5926,26.69,26.25,3143,14953687.0,3.364242087213114e-05
2024-10-09,11:59:40,0.5971,26.69,26.25,3143,14953688.0,3.364242087213114e-05
2024-10-09,11:59:40,0.6016,26.69,26.25,3143,14953688.0,3.364242087213114e-05
2024-10-09,11:59:40,0.6061,26.69,26.25,3142,14953688.0,3.369627255832234e-05
2024-10-09,11:59:40,0.6106,26.69,26.25,3142,14953688.0,3.369627255832234e-05
2024-10-09,11:59:40,0.6152,26.69,26.25,3143,14953688.0,3.364242087213114e-05
2024-10-09,11:59:40,0.6197,26.69,26.25,3143,14953688.0,3.364242087213114e-05
2024-10-09,11:59:40,0.6241,26.69,26.25,3142,14953688.0,3.369627255832234e-05
2024-10-09,11:59:40,0.6287,26.69,26.25,3143,14953688.0,3.364242087213114e-05
2024-10-09,11:59:40,0.6333,26.69,26.25,3144,14953688.0,3.358865524899333e-05
2024-10-09,11:59:40,0.6378,26.69,26.25,3143,14953688.0,3.364242087213114e-05
2024-10-09,11:59:40,0.6423,26.69,26.25,3143,14953687.0,3.364242087213114e-05
2024-10-09,11:59:40,0.6469,26.69,26.25,3144,14953688.0,3.358865524899333e-05
2024-10-09,11:59:40,0.6514,26.69,26.25,3144,14953688.0,3.358865524899333e-05
2024-10-09,11:59:40,0.6559,26.69,26.25,3143,14953688.0,3.364242087213114e-05
2024-10-09,11:59:40,0.6605,26.69,26.25,3143,14953687.0,3.364242087213114e-05
2024-10-09,11:59:40,0.665,26.69,26.25,3144,14953688.0,3.358865524899333e-05
2024-10-09,11:59:40,0.6694,26.69,26.25,3144,14953688.0,3.358865524899333e-05
2024-10-09,11:59:40,0.6741,26.69,26.25,3144,14953688.0,3.358865524899333e-05
2024-10-09,11:59:40,0.6785,26.69,26.25,3144,14953687.0,3.358865524899333e-05
2024-10-09,11:59:40,0.683,26.69,26.25,3143,14953687.0,3.364242087213114e-05
2024-10-09,11:59:40,0.6876,26.69,26.25,3143,14953687.0,3.364242087213114e-05
2024-10-09,11:59:40,0.6921,26.69,26.25,3144,14953687.0,3.358865524899333e-05
2024-10-09,11:59:40,0.6966,26.69,26.25,3144,14953687.0,3.358865524899333e-05
2024-10-09,11:59:40,0.7057,26.69,26.25,3145,14953687.0,3.353497555136735e-05
2024-10-09,11:59:40,0.7101,26.69,26.25,3145,14953688.0,3.353497555136735e-05
2024-10-09,11:59:40,0.7148,26.69,26.25,3144,14953688.0,3.358865524899333e-05
2024-10-09,11:59:40,0.7192,26.69,26.25,3144,14953687.0,3.358865524899333e-05
2024-10-09,11:59:40,0.7237,26.69,26.25,3144,14953687.0,3.358865524899333e-05
2024-10-09,11:59:40,0.7283,26.69,26.25,3143,14953687.0,3.364242087213114e-05
2024-10-09,11:59:40,0.7328,26.69,26.25,3143,14953687.0,3.364242087213114e-05
2024-10-09,11:59:40,0.7373,26.69,26.25,3143,14953687.0,3.364242087213114e-05
2024-10-09,11:59:40,0.7419,26.69,26.25,3143,14953687.0,3.364242087213114e-05
2024-10-09,11:59:40,0.7464,26.69,26.25,3144,14953687.0,3.358865524899333e-05
2024-10-09,11:59:40,0.7509,26.69,26.25,3145,14953687.0,3.353497555136735e-05
2024-10-09,11:59:40,0.7555,26.69,26.25,3145,14953687.0,3.353497555136735e-05
2024-10-09,11:59:40,0.7601,26.69,26.25,3144,14953687.0,3.358865524899333e-05
2024-10-09,11:59:40,0.7645,26.69,26.25,3144,14953687.0,3.358865524899333e-05
2024-10-09,11:59:40,0.769,26.69,26.25,3145,14953687.0,3.353497555136735e-05
2024-10-09,11:59:40,0.7735,26.69,26.25,3145,14953687.0,3.353497555136735e-05
2024-10-09,11:59:40,0.778,26.69,26.25,3144,14953687.0,3.358865524899333e-05
2024-10-09,11:59:40,0.7826,26.69,26.25,3143,14953687.0,3.364242087213114e-05
2024-10-09,11:59:40,0.7871,26.69,26.25,3143,14953687.0,3.364242087213114e-05
2024-10-09,11:59:40,0.7916,26.69,26.25,3143,14953687.0,3.364242087213114e-05
2024-10-09,11:59:40,0.7962,26.69,26.25,3144,14953687.0,3.358865524899333e-05
2024-10-09,11:59:40,0.8008,26.69,26.25,3145,14953687.0,3.353497555136735e-05
2024-10-09,11:59:40,0.8053,26.69,26.25,3144,14953687.0,3.358865524899333e-05
2024-10-09,11:59:40,0.8097,26.69,26.25,3144,14953687.0,3.358865524899333e-05
2024-10-09,11:59:40,0.8143,26.69,26.25,3144,14953687.0,3.358865524899333e-05
2024-10-09,11:59:40,0.8188,26.69,26.25,3144,14953687.0,3.358865524899333e-05
2024-10-09,11:59:40,0.8233,26.69,26.25,3144,14953687.0,3.358865524899333e-05
2024-10-09,11:59:40,0.8279,26.69,26.25,3144,14953687.0,3.358865524899333e-05
2024-10-09,11:59:40,0.8324,26.69,26.25,3145,14953687.0,3.353497555136735e-05
2024-10-09,11:59:40,0.8369,26.69,26.25,3144,14953687.0,3.358865524899333e-05
2024-10-09,11:59:40,0.8415,26.69,26.25,3143,14953687.0,3.364242087213114e-05
2024-10-09,11:59:40,0.8461,26.69,26.25,3144,14953687.0,3.358865524899333e-05
