Date,Time,Relative_time,Ambient,Temperature,Peak Magnitude (RAW),Resonance_Frequency,Dissipation
2023-06-22,11:29:09,0.0538,27.31,24.95,3371,15005344.0,2.336217357405023e-05
2023-06-22,11:29:09,0.0823,27.31,24.95,3351,15005657.0,2.412157725045732e-05
2023-06-22,11:29:09,0.1127,27.31,24.95,3353,15005588.0,2.404453907847634e-05
2023-06-22,11:29:09,0.1165,27.31,24.95,3343,15005591.0,2.443220614540217e-05
2023-06-22,11:29:09,0.1204,27.31,24.95,3344,15005592.0,2.439315982370518e-05
2023-06-22,11:29:09,0.1243,27.31,24.95,3343,15005592.0,2.443220614540217e-05
2023-06-22,11:29:09,0.1281,27.31,24.95,3343,15005592.0,2.443220614540217e-05
2023-06-22,11:29:09,0.132,27.31,24.95,3343,15005592.0,2.443220614540217e-05
2023-06-22,11:29:09,0.1358,27.31,24.85,3343,15005592.0,2.443220614540217e-05
2023-06-22,11:29:09,0.1397,27.31,24.85,3344,15005591.0,2.439315982370518e-05
2023-06-22,11:29:09,0.1435,27.31,24.85,3343,15005591.0,2.443220614540217e-05
2023-06-22,11:29:09,0.1474,27.31,24.85,3342,15005592.0,2.447131496885164e-05
2023-06-22,11:29:09,0.1513,27.31,24.85,3343,15005592.0,2.443220614540217e-05
2023-06-22,11:29:09,0.1551,27.31,24.85,3343,15005592.0,2.443220614540217e-05
2023-06-22,11:29:09,0.159,27.31,24.85,3343,15005592.0,2.443220614540217e-05
2023-06-22,11:29:09,0.1628,27.31,24.85,3343,15005592.0,2.443220614540217e-05
2023-06-22,11:29:09,0.1667,27.31,24.85,3343,15005592.0,2.443220614540217e-05
2023-06-22,11:29:09,0.1706,27.31,24.85,3343,15005592.0,2.443220614540217e-05
2023-06-22,11:29:09,0.1744,27.31,24.85,3342,15005591.0,2.447131496885164e-05
2023-06-22,11:29:09,0.1782,27.31,24.85,3343,15005592.0,2.443220614540217e-05
2023-06-22,11:29:09,0.1821,27.31,24.85,3344,15005592.0,2.439315982370518e-05
2023-06-22,11:29:09,0.186,27.31,24.85,3343,15005592.0,2.443220614540217e-05
2023-06-22,11:29:09,0.1899,27.31,24.85,3343,15005592.0,2.443220614540217e-05
2023-06-22,11:29:09,0.1937,27.31,24.85,3344,15005592.0,2.439315982370518e-05
2023-06-22,11:29:09,0.1976,27.31,24.85,3343,15005592.0,2.443220614540217e-05
2023-06-22,11:29:09,0.2015,27.31,24.85,3342,15005592.0,2.447131496885164e-05
2023-06-22,11:29:09,0.2053,27.31,24.85,3343,15005592.0,2.443220614540217e-05
2023-06-22,11:29:09,0.2091,27.31,24.85,3343,15005593.0,2.443220614540217e-05
2023-06-22,11:29:09,0.213,27.31,24.85,3342,15005592.0,2.447131496885164e-05
2023-06-22,11:29:09,0.2169,27.31,24.85,3342,15005592.0,2.447131496885164e-05
2023-06-22,11:29:09,0.2207,27.31,24.85,3343,15005593.0,2.443220614540217e-05
2023-06-22,11:29:09,0.2246,27.31,24.85,3344,15005592.0,2.439315982370518e-05
2023-06-22,11:29:09,0.2284,27.31,24.85,3344,15005592.0,2.439315982370518e-05
2023-06-22,11:29:09,0.2323,27.31,24.85,3343,15005592.0,2.443220614540217e-05
2023-06-22,11:29:09,0.2361,27.31,24.85,3342,15005592.0,2.447131496885164e-05
2023-06-22,11:29:09,0.24,27.31,24.85,3343,15005592.0,2.443220614540217e-05
2023-06-22,11:29:09,0.2439,27.31,24.85,3343,15005592.0,2.443220614540217e-05
2023-06-22,11:29:09,0.2477,27.31,24.85,3342,15005592.0,2.447131496885164e-05
2023-06-22,11:29:09,0.2516,27.31,24.85,3343,15005593.0,2.443220614540217e-05
2023-06-22,11:29:09,0.2554,27.31,24.85,3343,15005593.0,2.443220614540217e-05
2023-06-22,11:29:09,0.2593,27.31,24.85,3342,15005593.0,2.447131496885164e-05
2023-06-22,11:29:09,0.2632,27.31,24.85,3343,15005589.0,2.443220614540217e-05
2023-06-22,11:29:09,0.2671,27.31,24.85,3343,15005589.0,2.443220614540217e-05
2023-06-22,11:29:09,0.2709,27.31,24.85,3343,15005592.0,2.443220614540217e-05
2023-06-22,11:29:09,0.2747,27.31,24.85,3344,15005592.0,2.439315982370518e-05
2023-06-22,11:29:09,0.2786,27.31,24.85,3343,15005593.0,2.443220614540217e-05
2023-06-22,11:29:09,0.2825,27.31,24.85,3343,15005593.0,2.443220614540217e-05
2023-06-22,11:29:09,0.2863,27.31,24.85,3344,15005593.0,2.439315982370518e-05
2023-06-22,11:29:09,0.2902,27.31,24.85,3343,15005592.0,2.443220614540217e-05
2023-06-22,11:29:09,0.2941,27.31,24.85,3342,15005592.0,2.447131496885164e-05
2023-06-22,11:29:09,0.2979,27.31,24.85,3344,15005592.0,2.439315982370518e-05
2023-06-22,11:29:09,0.3017,27.31,24.85,3344,15005592.0,2.439315982370518e-05
2023-06-22,11:29:09,0.3056,27.31,24.85,3343,15005593.0,2.443220614540217e-05
2023-06-22,11:29:09,0.3095,27.31,24.85,3344,15005592.0,2.439315982370518e-05
2023-06-22,11:29:09,0.3134,27.31,24.85,3344,15005592.0,2.439315982370518e-05
2023-06-22,11:29:09,0.3172,27.31,24.85,3343,15005593.0,2.443220614540217e-05
2023-06-22,11:29:09,0.321,27.31,24.85,3343,15005592.0,2.443220614540217e-05
2023-06-22,11:29:09,0.3249,27.31,24.85,3344,15005592.0,2.439315982370518e-05
2023-06-22,11:29:09,0.3288,27.31,24.85,3344,15005593.0,2.439315982370518e-05
2023-06-22,11:29:09,0.3326,27.31,24.85,3344,15005593.0,2.439315982370518e-05
2023-06-22,11:29:09,0.3365,27.31,24.85,3344,15005592.0,2.439315982370518e-05
2023-06-22,11:29:09,0.3403,27.31,24.85,3344,15005592.0,2.439315982370518e-05
2023-06-22,11:29:09,0.3442,27.31,24.85,3344,15005592.0,2.439315982370518e-05
2023-06-22,11:29:09,0.348,27.31,24.85,3343,15005593.0,2.443220614540217e-05
2023-06-22,11:29:09,0.3519,27.31,24.85,3343,15005593.0,2.443220614540217e-05
2023-06-22,11:29:09,0.3558,27.31,24.85,3343,15005593.0,2.443220614540217e-05
2023-06-22,11:29:09,0.3596,27.31,24.85,3343,15005593.0,2.443220614540217e-05
2023-06-22,11:29:09,0.3635,27.31,24.85,3344,15005593.0,2.439315982370518e-05
2023-06-22,11:29:09,0.3673,27.31,24.85,3343,15005593.0,2.443220614540217e-05
2023-06-22,11:29:09,0.3712,27.31,24.85,3342,15005593.0,2.447131496885164e-05
2023-06-22,11:29:09,0.375,27.31,24.85,3342,15005592.0,2.447131496885164e-05
2023-06-22,11:29:09,0.3789,27.31,24.85,3342,15005592.0,2.447131496885164e-05
2023-06-22,11:29:09,0.3827,27.31,24.85,3343,15005592.0,2.443220614540217e-05
2023-06-22,11:29:09,0.3866,27.31,24.85,3343,15005592.0,2.443220614540217e-05
2023-06-22,11:29:09,0.3904,27.31,24.85,3343,15005593.0,2.443220614540217e-05
2023-06-22,11:29:09,0.3943,27.31,24.85,3343,15005593.0,2.443220614540217e-05
2023-06-22,11:29:09,0.3982,27.31,24.85,3343,15005592.0,2.443220614540217e-05
2023-06-22,11:29:09,0.402,27.31,24.85,3343,15005592.0,2.443220614540217e-05
2023-06-22,11:29:09,0.4059,27.31,24.85,3343,15005592.0,2.443220614540217e-05
2023-06-22,11:29:09,0.4097,27.31,24.85,3344,15005592.0,2.439315982370518e-05
2023-06-22,11:29:09,0.4136,27.31,24.85,3343,15005592.0,2.443220614540217e-05
2023-06-22,11:29:09,0.4174,27.31,24.85,3342,15005592.0,2.447131496885164e-05
2023-06-22,11:29:09,0.4212,27.31,24.85,3343,15005593.0,2.443220614540217e-05
2023-06-22,11:29:09,0.4251,27.31,24.85,3344,15005592.0,2.439315982370518e-05
2023-06-22,11:29:09,0.429,27.31,24.85,3344,15005592.0,2.439315982370518e-05
2023-06-22,11:29:09,0.4329,27.31,24.85,3344,15005592.0,2.439315982370518e-05
2023-06-22,11:29:09,0.4367,27.31,24.85,3344,15005592.0,2.439315982370518e-05
2023-06-22,11:29:09,0.4405,27.31,24.85,3343,15005593.0,2.443220614540217e-05
2023-06-22,11:29:09,0.4444,27.31,24.85,3343,15005593.0,2.443220614540217e-05
2023-06-22,11:29:09,0.4483,27.31,24.85,3343,15005592.0,2.443220614540217e-05
2023-06-22,11:29:09,0.4521,27.31,24.85,3343,15005592.0,2.443220614540217e-05
2023-06-22,11:29:09,0.456,27.31,24.85,3343,15005593.0,2.443220614540217e-05
2023-06-22,11:29:09,0.4598,27.31,24.85,3343,15005593.0,2.443220614540217e-05
2023-06-22,11:29:09,0.4637,27.31,24.85,3344,15005587.0,2.439315982370518e-05
2023-06-22,11:29:09,0.4675,27.31,24.85,3344,15005587.0,2.439315982370518e-05
2023-06-22,11:29:09,0.4714,27.31,24.85,3343,15005592.0,2.443220614540217e-05
2023-06-22,11:29:09,0.4752,27.31,24.85,3343,15005592.0,2.443220614540217e-05
2023-06-22,11:29:09,0.479,27.31,24.85,3344,15005592.0,2.439315982370518e-05
2023-06-22,11:29:10,0.4829,27.31,24.85,3343,15005592.0,2.443220614540217e-05
2023-06-22,11:29:10,0.4867,27.31,24.85,3344,15005592.0,2.439315982370518e-05
2023-06-22,11:29:10,0.4907,27.31,24.85,3344,15005592.0,2.439315982370518e-05
2023-06-22,11:29:10,0.4945,27.31,24.85,3343,15005593.0,2.443220614540217e-05
2023-06-22,11:29:10,0.4983,27.31,24.85,3344,15005593.0,2.439315982370518e-05
2023-06-22,11:29:10,0.5022,27.31,24.85,3344,15005592.0,2.439315982370518e-05
2023-06-22,11:29:10,0.506,27.31,24.85,3344,15005591.0,2.439315982370518e-05
2023-06-22,11:29:10,0.5099,27.31,24.85,3345,15005591.0,2.435417590387356e-05
2023-06-22,11:29:10,0.5137,27.31,24.85,3345,15005591.0,2.435417590387356e-05
2023-06-22,11:29:10,0.5176,27.31,24.85,3344,15005592.0,2.439315982370518e-05
2023-06-22,11:29:10,0.5215,27.31,24.85,3344,15005592.0,2.439315982370518e-05
2023-06-22,11:29:10,0.5253,27.31,24.85,3344,15005592.0,2.439315982370518e-05
2023-06-22,11:29:10,0.5292,27.31,24.85,3345,15005593.0,2.435417590387356e-05
2023-06-22,11:29:10,0.533,27.31,24.85,3344,15005593.0,2.439315982370518e-05
