Date,Time,Relative_time,Ambient,Temperature,Peak Magnitude (RAW),Resonance_Frequency,Dissipation
2024-09-04,10:09:25,0.0542,26.12,24.5,3209,15029081.0,3.027207120663602e-05
2024-09-04,10:09:25,0.0822,26.12,24.5,3178,15029443.0,3.181086234848457e-05
2024-09-04,10:09:25,0.1129,26.12,24.5,3202,15029353.0,3.061290161380538e-05
2024-09-04,10:09:25,0.1175,26.12,24.5,3199,15029354.0,3.076014398757577e-05
2024-09-04,10:09:25,0.122,26.12,24.5,3199,15029354.0,3.076014398757577e-05
2024-09-04,10:09:25,0.1266,26.12,24.5,3199,15029354.0,3.076014398757577e-05
2024-09-04,10:09:25,0.1312,26.12,24.5,3199,15029354.0,3.076014398757577e-05
2024-09-04,10:09:25,0.1358,26.12,24.5,3199,15029354.0,3.076014398757577e-05
2024-09-04,10:09:25,0.1404,26.12,24.5,3199,15029354.0,3.076014398757577e-05
2024-09-04,10:09:25,0.1449,26.12,24.5,3199,15029355.0,3.076014398757577e-05
2024-09-04,10:09:25,0.1495,26.12,24.5,3199,15029355.0,3.076014398757577e-05
2024-09-04,10:09:25,0.1541,26.12,24.5,3199,15029355.0,3.076014398757577e-05
2024-09-04,10:09:25,0.1587,26.12,24.5,3199,15029355.0,3.076014398757577e-05
2024-09-04,10:09:25,0.1633,26.12,24.5,3199,15029355.0,3.076014398757577e-05
2024-09-04,10:09:25,0.1678,26.12,24.5,3199,15029354.0,3.076014398757577e-05
2024-09-04,10:09:25,0.1723,26.12,24.5,3199,15029355.0,3.076014398757577e-05
2024-09-04,10:09:25,0.1769,26.12,24.5,3200,15029355.0,3.071098467423187e-05
2024-09-04,10:09:25,0.1815,26.12,24.5,3200,15029355.0,3.071098467423187e-05
2024-09-04,10:09:25,0.186,26.12,24.5,3199,15029355.0,3.076014398757577e-05
2024-09-04,10:09:25,0.1905,26.12,24.5,3198,15029355.0,3.080938199061697e-05
2024-09-04,10:09:25,0.1951,26.12,24.5,3198,15029355.0,3.080938199061697e-05
2024-09-04,10:09:25,0.1997,26.12,24.5,3199,15029354.0,3.076014398757577e-05
2024-09-04,10:09:25,0.2043,26.12,24.5,3199,15029355.0,3.076014398757577e-05
2024-09-04,10:09:25,0.2089,26.12,24.5,3199,15029355.0,3.076014398757577e-05
2024-09-04,10:09:25,0.2134,26.12,24.5,3199,15029355.0,3.076014398757577e-05
2024-09-04,10:09:25,0.2178,26.12,24.5,3198,15029355.0,3.080938199061697e-05
2024-09-04,10:09:25,0.2225,26.12,24.5,3198,15029355.0,3.080938199061697e-05
2024-09-04,10:09:25,0.2271,26.12,24.5,3198,15029355.0,3.080938199061697e-05
2024-09-04,10:09:25,0.2317,26.12,24.5,3198,15029355.0,3.080938199061697e-05
2024-09-04,10:09:25,0.2363,26.12,24.5,3199,15029355.0,3.076014398757577e-05
2024-09-04,10:09:25,0.2408,26.12,24.5,3199,15029355.0,3.076014398757577e-05
2024-09-04,10:09:25,0.2452,26.12,24.5,3199,15029354.0,3.076014398757577e-05
2024-09-04,10:09:25,0.2498,26.12,24.5,3200,15029355.0,3.071098467423187e-05
2024-09-04,10:09:25,0.2545,26.12,24.5,3200,15029355.0,3.071098467423187e-05
2024-09-04,10:09:25,0.2591,26.12,24.5,3199,15029354.0,3.076014398757577e-05
2024-09-04,10:09:25,0.2637,26.12,24.5,3199,15029354.0,3.076014398757577e-05
2024-09-04,10:09:25,0.2681,26.12,24.5,3199,15029355.0,3.076014398757577e-05
2024-09-04,10:09:25,0.2726,26.12,24.5,3198,15029355.0,3.080938199061697e-05
2024-09-04,10:09:25,0.2772,26.12,24.5,3199,15029355.0,3.076014398757577e-05
2024-09-04,10:09:25,0.2818,26.12,24.5,3200,15029355.0,3.071098467423187e-05
2024-09-04,10:09:25,0.2865,26.12,24.5,3200,15029355.0,3.071098467423187e-05
2024-09-04,10:09:25,0.2911,26.12,24.5,3200,15029355.0,3.071098467423187e-05
2024-09-04,10:09:25,0.2955,26.12,24.5,3200,15029355.0,3.071098467423187e-05
2024-09-04,10:09:25,0.3,26.12,24.5,3199,15029355.0,3.076014398757577e-05
2024-09-04,10:09:25,0.3046,26.12,24.5,3199,15029355.0,3.076014398757577e-05
2024-09-04,10:09:25,0.3092,26.12,24.5,3200,15029355.0,3.071098467423187e-05
2024-09-04,10:09:25,0.3138,26.12,24.5,3200,15029355.0,3.071098467423187e-05
2024-09-04,10:09:25,0.3185,26.12,24.5,3199,15029355.0,3.076014398757577e-05
2024-09-04,10:09:25,0.3229,26.12,24.5,3199,15029355.0,3.076014398757577e-05
2024-09-04,10:09:25,0.3275,26.12,24.5,3200,15029355.0,3.071098467423187e-05
2024-09-04,10:09:25,0.3321,26.12,24.5,3200,15029355.0,3.071098467423187e-05
2024-09-04,10:09:25,0.3366,26.12,24.5,3200,15029355.0,3.071098467423187e-05
2024-09-04,10:09:25,0.3412,26.12,24.5,3200,15029355.0,3.071098467423187e-05
2024-09-04,10:09:25,0.3458,26.12,24.5,3200,15029355.0,3.071098467423187e-05
2024-09-04,10:09:25,0.3505,26.12,24.5,3200,15029355.0,3.071098467423187e-05
2024-09-04,10:09:25,0.3549,26.12,24.5,3200,15029355.0,3.071098467423187e-05
2024-09-04,10:09:25,0.3594,26.12,24.5,3199,15029354.0,3.076014398757577e-05
2024-09-04,10:09:25,0.364,26.12,24.5,3199,15029354.0,3.076014398757577e-05
2024-09-04,10:09:25,0.3686,26.12,24.5,3200,15029355.0,3.071098467423187e-05
2024-09-04,10:09:25,0.3732,26.12,24.5,3200,15029355.0,3.071098467423187e-05
2024-09-04,10:09:25,0.3777,26.12,24.5,3200,15029355.0,3.071098467423187e-05
2024-09-04,10:09:25,0.3822,26.12,24.5,3200,15029355.0,3.071098467423187e-05
2024-09-04,10:09:25,0.3868,26.12,24.5,3200,15029355.0,3.071098467423187e-05
2024-09-04,10:09:25,0.3914,26.12,24.5,3201,15029354.0,3.066190392482741e-05
2024-09-04,10:09:25,0.396,26.12,24.5,3201,15029355.0,3.066190392482741e-05
2024-09-04,10:09:25,0.4006,26.12,24.5,3200,15029355.0,3.071098467423187e-05
2024-09-04,10:09:25,0.4051,26.12,24.5,3200,15029355.0,3.071098467423187e-05
2024-09-04,10:09:25,0.4096,26.12,24.5,3201,15029354.0,3.066190392482741e-05
2024-09-04,10:09:25,0.4142,26.12,24.5,3201,15029355.0,3.066190392482741e-05
2024-09-04,10:09:25,0.4188,26.12,24.5,3200,15029355.0,3.071098467423187e-05
2024-09-04,10:09:25,0.4234,26.12,24.5,3199,15029354.0,3.076014398757577e-05
