Date,Time,Relative_time,Ambient,Temperature,Peak Magnitude (RAW),Resonance_Frequency,Dissipation
2024-09-09,10:45:58,0.0542,26.19,25.5,3247,15051686.0,2.848698393932761e-05
2024-09-09,10:45:58,0.0823,26.19,25.5,3214,15052049.0,3.003094664558989e-05
2024-09-09,10:45:58,0.1129,26.19,25.5,3237,15051964.0,2.894627598369905e-05
2024-09-09,10:45:58,0.1176,26.19,25.5,3234,15051965.0,2.908550219758169e-05
2024-09-09,10:45:58,0.1222,26.19,25.5,3234,15051965.0,2.908550219758169e-05
2024-09-09,10:45:58,0.1266,26.19,25.5,3234,15051965.0,2.908550219758169e-05
2024-09-09,10:45:58,0.1311,26.19,25.5,3234,15051965.0,2.908550219758169e-05
2024-09-09,10:45:58,0.1357,26.19,25.5,3234,15051965.0,2.908550219758169e-05
2024-09-09,10:45:58,0.1403,26.19,25.5,3234,15051965.0,2.908550219758169e-05
2024-09-09,10:45:58,0.1448,26.19,25.5,3234,15051965.0,2.908550219758169e-05
2024-09-09,10:45:58,0.1494,26.19,25.5,3234,15051965.0,2.908550219758169e-05
2024-09-09,10:45:58,0.154,26.19,25.5,3234,15051965.0,2.908550219758169e-05
2024-09-09,10:45:58,0.1585,26.19,25.5,3234,15051965.0,2.908550219758169e-05
2024-09-09,10:45:58,0.163,26.19,25.5,3235,15051965.0,2.903901921242816e-05
2024-09-09,10:45:58,0.1676,26.19,25.5,3235,15051965.0,2.903901921242816e-05
2024-09-09,10:45:58,0.1722,26.19,25.5,3234,15051965.0,2.908550219758169e-05
2024-09-09,10:45:58,0.1767,26.19,25.5,3234,15051965.0,2.908550219758169e-05
2024-09-09,10:45:58,0.1812,26.19,25.5,3234,15051965.0,2.908550219758169e-05
2024-09-09,10:45:58,0.1858,26.19,25.5,3234,15051965.0,2.908550219758169e-05
2024-09-09,10:45:58,0.1904,26.19,25.5,3234,15051965.0,2.908550219758169e-05
2024-09-09,10:45:58,0.1949,26.19,25.5,3234,15051965.0,2.908550219758169e-05
2024-09-09,10:45:58,0.1993,26.19,25.5,3235,15051965.0,2.903901921242816e-05
2024-09-09,10:45:58,0.204,26.19,25.5,3235,15051965.0,2.903901921242816e-05
2024-09-09,10:45:58,0.2086,26.19,25.5,3234,15051965.0,2.908550219758169e-05
2024-09-09,10:45:58,0.213,26.19,25.5,3234,15051965.0,2.908550219758169e-05
2024-09-09,10:45:58,0.2175,26.19,25.5,3235,15051965.0,2.903901921242816e-05
2024-09-09,10:45:58,0.2221,26.19,25.5,3235,15051965.0,2.903901921242816e-05
2024-09-09,10:45:58,0.2267,26.19,25.5,3234,15051965.0,2.908550219758169e-05
2024-09-09,10:45:58,0.2312,26.19,25.5,3234,15051966.0,2.908550219758169e-05
2024-09-09,10:45:58,0.2357,26.19,25.5,3234,15051966.0,2.908550219758169e-05
2024-09-09,10:45:58,0.2403,26.19,25.5,3234,15051965.0,2.908550219758169e-05
2024-09-09,10:45:58,0.2449,26.19,25.5,3235,15051965.0,2.903901921242816e-05
2024-09-09,10:45:58,0.2494,26.19,25.5,3236,15051965.0,2.899261051404105e-05
2024-09-09,10:45:58,0.2539,26.19,25.5,3236,15051965.0,2.899261051404105e-05
