Date,Time,Relative_time,Ambient,Temperature,Peak Magnitude (RAW),Resonance_Frequency,Dissipation
2024-06-03,10:46:40,0.0528,26.38,24.75,3309,15007604.0,2.579763290287992e-05
2024-06-03,10:46:40,0.0807,26.38,24.75,3316,15007929.0,2.551041355212326e-05
2024-06-03,10:46:40,0.1119,26.38,24.75,3372,15007871.0,2.332483732453251e-05
2024-06-03,10:46:40,0.1178,26.38,24.75,3373,15007871.0,2.328756074392889e-05
2024-06-03,10:46:40,0.1235,26.38,24.75,3373,15007871.0,2.328756074392889e-05
2024-06-03,10:46:40,0.1293,26.38,24.75,3372,15007871.0,2.332483732453251e-05
2024-06-03,10:46:40,0.135,26.38,24.75,3372,15007871.0,2.332483732453251e-05
2024-06-03,10:46:40,0.1408,26.38,24.75,3373,15007871.0,2.328756074392889e-05
2024-06-03,10:46:40,0.1466,26.38,24.75,3373,15007871.0,2.328756074392889e-05
2024-06-03,10:46:40,0.1524,26.38,24.75,3373,15007871.0,2.328756074392889e-05
2024-06-03,10:46:40,0.1583,26.38,24.75,3373,15007870.0,2.328756074392889e-05
2024-06-03,10:46:40,0.1641,26.38,24.75,3372,15007871.0,2.332483732453251e-05
2024-06-03,10:46:40,0.1698,26.38,24.75,3373,15007871.0,2.328756074392889e-05
2024-06-03,10:46:40,0.1756,26.38,24.75,3373,15007871.0,2.328756074392889e-05
2024-06-03,10:46:40,0.1815,26.38,24.75,3372,15007871.0,2.332483732453251e-05
2024-06-03,10:46:40,0.1873,26.38,24.75,3373,15007871.0,2.328756074392889e-05
2024-06-03,10:46:40,0.193,26.38,24.75,3373,15007871.0,2.328756074392889e-05
2024-06-03,10:46:40,0.1989,26.38,24.75,3373,15007871.0,2.328756074392889e-05
2024-06-03,10:46:40,0.2047,26.38,24.75,3373,15007871.0,2.328756074392889e-05
2024-06-03,10:46:40,0.2104,26.38,24.75,3373,15007871.0,2.328756074392889e-05
2024-06-03,10:46:40,0.2162,26.38,24.75,3373,15007871.0,2.328756074392889e-05
2024-06-03,10:46:40,0.2221,26.38,24.75,3373,15007871.0,2.328756074392889e-05
2024-06-03,10:46:40,0.228,26.38,24.75,3373,15007871.0,2.328756074392889e-05
2024-06-03,10:46:40,0.2337,26.38,24.75,3373,15007871.0,2.328756074392889e-05
2024-06-03,10:46:40,0.2395,26.38,24.75,3373,15007871.0,2.328756074392889e-05
2024-06-03,10:46:40,0.2452,26.38,24.75,3372,15007871.0,2.332483732453251e-05
2024-06-03,10:46:40,0.2511,26.38,24.75,3372,15007871.0,2.332483732453251e-05
2024-06-03,10:46:40,0.2569,26.38,24.75,3374,15007871.0,2.325034373687949e-05
2024-06-03,10:46:40,0.2626,26.38,24.75,3375,15007871.0,2.321318620817691e-05
2024-06-03,10:46:40,0.2685,26.38,24.75,3374,15007871.0,2.325034373687949e-05
2024-06-03,10:46:40,0.2743,26.38,24.75,3373,15007871.0,2.328756074392889e-05
2024-06-03,10:46:40,0.2801,26.38,24.75,3373,15007871.0,2.328756074392889e-05
2024-06-03,10:46:40,0.2859,26.38,24.75,3374,15007871.0,2.325034373687949e-05
2024-06-03,10:46:40,0.2918,26.38,24.75,3375,15007871.0,2.321318620817691e-05
2024-06-03,10:46:40,0.2976,26.38,24.75,3374,15007871.0,2.325034373687949e-05
2024-06-03,10:46:40,0.3034,26.38,24.75,3374,15007871.0,2.325034373687949e-05
2024-06-03,10:46:40,0.3091,26.38,24.75,3375,15007871.0,2.321318620817691e-05
2024-06-03,10:46:40,0.3149,26.38,24.75,3374,15007871.0,2.325034373687949e-05
2024-06-03,10:46:40,0.3208,26.38,24.75,3373,15007871.0,2.328756074392889e-05
2024-06-03,10:46:40,0.3266,26.38,24.75,3373,15007871.0,2.328756074392889e-05
