Date,Time,Relative_time,Ambient,Temperature,Peak Magnitude (RAW),Resonance_Frequency,Dissipation
2023-10-09,11:24:56,0.054,27.69,25.0,3428,15072805.0,2.13265079025198e-05
2023-10-09,11:24:56,0.0823,27.69,25.0,3408,15073089.0,2.201974085256035e-05
2023-10-09,11:24:56,0.1125,27.69,25.0,3414,15073016.0,2.180943761376074e-05
2023-10-09,11:24:56,0.1162,27.69,25.0,3402,15073019.0,2.223207199565684e-05
2023-10-09,11:24:56,0.1199,27.69,25.0,3402,15073019.0,2.223207199565684e-05
2023-10-09,11:24:56,0.1237,27.69,25.0,3401,15073019.0,2.226765904716665e-05
2023-10-09,11:24:56,0.1274,27.69,25.0,3400,15073019.0,2.230330306314809e-05
2023-10-09,11:24:56,0.1311,27.69,25.0,3400,15073019.0,2.230330306314809e-05
2023-10-09,11:24:56,0.1348,27.69,25.0,3401,15073019.0,2.226765904716665e-05
2023-10-09,11:24:56,0.1385,27.69,25.0,3402,15073019.0,2.223207199565684e-05
2023-10-09,11:24:56,0.1421,27.69,25.0,3402,15073019.0,2.223207199565684e-05
2023-10-09,11:24:56,0.1458,27.69,25.0,3400,15073019.0,2.230330306314809e-05
2023-10-09,11:24:56,0.1495,27.69,25.0,3399,15073019.0,2.23390041347847e-05
2023-10-09,11:24:56,0.1532,27.69,25.0,3400,15073018.0,2.230330306314809e-05
2023-10-09,11:24:56,0.1569,27.69,25.0,3400,15073018.0,2.230330306314809e-05
2023-10-09,11:24:56,0.1605,27.69,25.0,3400,15073018.0,2.230330306314809e-05
2023-10-09,11:24:56,0.1642,27.69,25.0,3401,15073019.0,2.226765904716665e-05
2023-10-09,11:24:56,0.1679,27.69,25.0,3401,15073019.0,2.226765904716665e-05
2023-10-09,11:24:56,0.1717,27.69,25.0,3400,15073019.0,2.230330306314809e-05
2023-10-09,11:24:56,0.1754,27.69,25.0,3401,15073018.0,2.226765904716665e-05
2023-10-09,11:24:56,0.1791,27.69,25.0,3401,15073018.0,2.226765904716665e-05
2023-10-09,11:24:56,0.1828,27.69,25.0,3400,15073018.0,2.230330306314809e-05
2023-10-09,11:24:56,0.1865,27.69,25.0,3401,15073019.0,2.226765904716665e-05
2023-10-09,11:24:56,0.1938,27.69,25.0,3401,15073018.0,2.226765904716665e-05
2023-10-09,11:24:56,0.1975,27.69,25.0,3401,15073019.0,2.226765904716665e-05
2023-10-09,11:24:56,0.2012,27.69,25.0,3401,15073019.0,2.226765904716665e-05
2023-10-09,11:24:56,0.2049,27.69,25.0,3401,15073019.0,2.226765904716665e-05
2023-10-09,11:24:56,0.2122,27.69,25.0,3400,15073020.0,2.230330306314809e-05
2023-10-09,11:24:56,0.2159,27.69,25.0,3399,15073019.0,2.23390041347847e-05
2023-10-09,11:24:56,0.2197,27.69,25.0,3400,15073018.0,2.230330306314809e-05
2023-10-09,11:24:56,0.2234,27.69,25.0,3401,15073019.0,2.226765904716665e-05
2023-10-09,11:24:56,0.2307,27.69,25.0,3405,15073017.0,2.212565171830715e-05
2023-10-09,11:24:56,0.2343,27.69,25.0,3401,15073019.0,2.226765904716665e-05
2023-10-09,11:24:57,0.238,27.69,25.0,3401,15073019.0,2.226765904716665e-05
2023-10-09,11:24:57,0.2417,27.69,25.0,3403,15073018.0,2.219654181758096e-05
2023-10-09,11:24:57,0.2491,27.69,25.0,3401,15073020.0,2.226765904716665e-05
2023-10-09,11:24:57,0.2528,27.69,25.0,3400,15073019.0,2.230330306314809e-05
2023-10-09,11:24:57,0.2565,27.69,25.0,3400,15073019.0,2.230330306314809e-05
2023-10-09,11:24:57,0.2601,27.69,25.0,3401,15073019.0,2.226765904716665e-05
2023-10-09,11:24:57,0.2675,27.69,25.0,3401,15073018.0,2.226765904716665e-05
2023-10-09,11:24:57,0.2711,27.69,25.0,3401,15073018.0,2.226765904716665e-05
2023-10-09,11:24:57,0.2748,27.69,25.0,3401,15073019.0,2.226765904716665e-05
2023-10-09,11:24:57,0.2785,27.69,25.0,3401,15073019.0,2.226765904716665e-05
2023-10-09,11:24:57,0.286,27.69,25.0,3400,15073020.0,2.230330306314809e-05
