Date,Time,Relative_time,Ambient,Temperature,Peak Magnitude (RAW),Resonance_Frequency,Dissipation
2024-08-22,10:15:58,0.0542,26.5,25.75,3240,14990636.0,2.880771621657395e-05
2024-08-22,10:15:58,0.0823,26.5,25.75,3209,14990994.0,3.027207120663602e-05
2024-08-22,10:15:58,0.113,26.5,25.75,3232,14990907.0,2.917869150402409e-05
2024-08-22,10:15:58,0.1175,26.5,25.75,3227,14990908.0,2.941297313569691e-05
2024-08-22,10:15:58,0.122,26.5,25.75,3228,14990908.0,2.936596680297826e-05
2024-08-22,10:15:58,0.1266,26.5,25.75,3228,14990908.0,2.936596680297826e-05
2024-08-22,10:15:58,0.131,26.5,25.75,3227,14990908.0,2.941297313569691e-05
2024-08-22,10:15:58,0.1355,26.5,25.75,3227,14990908.0,2.941297313569691e-05
2024-08-22,10:15:58,0.1401,26.5,25.75,3228,14990908.0,2.936596680297826e-05
2024-08-22,10:15:58,0.1446,26.5,25.75,3228,14990908.0,2.936596680297826e-05
2024-08-22,10:15:58,0.1492,26.5,25.75,3227,14990908.0,2.941297313569691e-05
2024-08-22,10:15:58,0.1537,26.5,25.75,3227,14990908.0,2.941297313569691e-05
2024-08-22,10:15:58,0.1582,26.5,25.75,3228,14990909.0,2.936596680297826e-05
2024-08-22,10:15:58,0.1627,26.5,25.75,3228,14990908.0,2.936596680297826e-05
2024-08-22,10:15:58,0.1673,26.5,25.75,3228,14990908.0,2.936596680297826e-05
2024-08-22,10:15:58,0.1718,26.5,25.75,3227,14990908.0,2.941297313569691e-05
2024-08-22,10:15:58,0.1763,26.5,25.75,3226,14990908.0,2.946005471181993e-05
2024-08-22,10:15:58,0.1808,26.5,25.75,3227,14990908.0,2.941297313569691e-05
2024-08-22,10:15:58,0.1854,26.5,25.75,3228,14990909.0,2.936596680297826e-05
2024-08-22,10:15:58,0.1899,26.5,25.75,3227,14990909.0,2.941297313569691e-05
2024-08-22,10:15:58,0.1945,26.5,25.75,3226,14990908.0,2.946005471181993e-05
