Date,Time,Relative_time,Ambient,Temperature,Peak Magnitude (RAW),Resonance_Frequency,Dissipation
2023-10-04,09:58:55,0.054,26.44,24.75,3390,15086074.0,2.266289640170322e-05
2023-10-04,09:58:55,0.0824,26.44,24.75,3370,15086362.0,2.339956958799453e-05
2023-10-04,09:58:55,0.1125,26.44,24.75,3378,15086297.0,2.310206954235614e-05
2023-10-04,09:58:55,0.1161,26.44,24.75,3370,15086299.0,2.339956958799453e-05
2023-10-04,09:58:55,0.1198,26.44,24.75,3373,15086300.0,2.328756074392889e-05
2023-10-04,09:58:55,0.1236,26.44,24.75,3374,15086300.0,2.325034373687949e-05
2023-10-04,09:58:55,0.1271,26.44,24.75,3373,15086299.0,2.328756074392889e-05
2023-10-04,09:58:55,0.1308,26.44,24.75,3375,15086299.0,2.321318620817691e-05
2023-10-04,09:58:55,0.1346,26.44,24.75,3376,15086299.0,2.317608806276578e-05
2023-10-04,09:58:55,0.1381,26.44,24.75,3375,15086300.0,2.321318620817691e-05
2023-10-04,09:58:55,0.1419,26.44,24.75,3375,15086300.0,2.321318620817691e-05
2023-10-04,09:58:55,0.1456,26.44,24.75,3375,15086300.0,2.321318620817691e-05
2023-10-04,09:58:55,0.1492,26.44,24.75,3376,15086300.0,2.317608806276578e-05
2023-10-04,09:58:55,0.1527,26.44,24.75,3376,15086301.0,2.317608806276578e-05
2023-10-04,09:58:55,0.1564,26.44,24.75,3376,15086300.0,2.317608806276578e-05
2023-10-04,09:58:55,0.1602,26.44,24.75,3377,15086300.0,2.313904920574278e-05
2023-10-04,09:58:55,0.1637,26.44,24.75,3377,15086299.0,2.313904920574278e-05
2023-10-04,09:58:55,0.1673,26.44,24.75,3378,15086300.0,2.310206954235614e-05
2023-10-04,09:58:55,0.171,26.44,24.75,3378,15086300.0,2.310206954235614e-05
2023-10-04,09:58:55,0.1748,26.44,24.75,3377,15086300.0,2.313904920574278e-05
2023-10-04,09:58:55,0.1783,26.44,24.75,3378,15086300.0,2.310206954235614e-05
2023-10-04,09:58:55,0.1819,26.44,24.75,3379,15086299.0,2.306514897800561e-05
2023-10-04,09:58:55,0.1856,26.44,24.75,3379,15086299.0,2.306514897800561e-05
