Date,Time,Relative_time,Ambient,Temperature,Peak Magnitude (RAW),Resonance_Frequency,Dissipation
2024-01-30,11:03:24,0.0541,29.12,24.75,3410,15096439.0,2.194941541052301e-05
2024-01-30,11:03:24,0.0822,29.12,24.75,3374,15096766.0,2.325034373687949e-05
2024-01-30,11:03:24,0.1127,29.12,24.75,3386,15096679.0,2.280835188582631e-05
2024-01-30,11:03:24,0.1169,29.12,24.75,3372,15096683.0,2.332483732453251e-05
2024-01-30,11:03:24,0.1211,29.12,24.75,3372,15096683.0,2.332483732453251e-05
2024-01-30,11:03:24,0.1255,29.12,24.75,3372,15096682.0,2.332483732453251e-05
2024-01-30,11:03:24,0.1298,29.12,24.75,3372,15096683.0,2.332483732453251e-05
2024-01-30,11:03:24,0.134,29.12,24.75,3372,15096683.0,2.332483732453251e-05
2024-01-30,11:03:24,0.1383,29.12,24.75,3371,15096683.0,2.336217357405023e-05
2024-01-30,11:03:24,0.1425,29.12,24.75,3371,15096683.0,2.336217357405023e-05
2024-01-30,11:03:24,0.1467,29.12,24.75,3371,15096682.0,2.336217357405023e-05
2024-01-30,11:03:24,0.1509,29.12,24.75,3370,15096683.0,2.339956958799453e-05
2024-01-30,11:03:24,0.1552,29.12,24.75,3370,15096683.0,2.339956958799453e-05
2024-01-30,11:03:24,0.1595,29.12,24.75,3370,15096683.0,2.339956958799453e-05
2024-01-30,11:03:24,0.1639,29.12,24.75,3371,15096683.0,2.336217357405023e-05
2024-01-30,11:03:24,0.1681,29.12,24.75,3371,15096683.0,2.336217357405023e-05
2024-01-30,11:03:24,0.1723,29.12,24.75,3371,15096683.0,2.336217357405023e-05
2024-01-30,11:03:24,0.1765,29.12,24.75,3371,15096683.0,2.336217357405023e-05
2024-01-30,11:03:24,0.1808,29.12,24.75,3371,15096683.0,2.336217357405023e-05
2024-01-30,11:03:24,0.185,29.12,24.75,3371,15096683.0,2.336217357405023e-05
2024-01-30,11:03:24,0.1892,29.12,24.75,3371,15096683.0,2.336217357405023e-05
2024-01-30,11:03:24,0.1936,29.12,24.75,3372,15096683.0,2.332483732453251e-05
2024-01-30,11:03:24,0.1978,29.12,24.75,3371,15096683.0,2.336217357405023e-05
2024-01-30,11:03:24,0.202,29.12,24.75,3371,15096682.0,2.336217357405023e-05
2024-01-30,11:03:24,0.2064,29.12,24.75,3371,15096683.0,2.336217357405023e-05
2024-01-30,11:03:24,0.2106,29.12,24.75,3371,15096682.0,2.336217357405023e-05
2024-01-30,11:03:24,0.2148,29.12,24.75,3372,15096683.0,2.332483732453251e-05
2024-01-30,11:03:24,0.219,29.12,24.75,3372,15096683.0,2.332483732453251e-05
2024-01-30,11:03:24,0.2233,29.12,24.75,3372,15096683.0,2.332483732453251e-05
2024-01-30,11:03:24,0.2275,29.12,24.75,3371,15096683.0,2.336217357405023e-05
2024-01-30,11:03:24,0.2317,29.12,24.75,3370,15096687.0,2.339956958799453e-05
2024-01-30,11:03:24,0.2361,29.12,24.75,3369,15096687.0,2.343702546203084e-05
2024-01-30,11:03:24,0.2404,29.12,24.75,3369,15096683.0,2.343702546203084e-05
2024-01-30,11:03:24,0.2446,29.12,24.75,3370,15096683.0,2.339956958799453e-05
2024-01-30,11:03:24,0.2489,29.12,24.75,3370,15096683.0,2.339956958799453e-05
2024-01-30,11:03:24,0.2531,29.12,24.75,3370,15096683.0,2.339956958799453e-05
2024-01-30,11:03:24,0.2573,29.12,24.75,3370,15096683.0,2.339956958799453e-05
