Date,Time,Relative_time,Ambient,Temperature,Peak Magnitude (RAW),Resonance_Frequency,Dissipation
2024-04-24,13:52:58,0.0528,26.81,24.75,3272,14976990.0,2.73703846794651e-05
2024-04-24,13:52:58,0.0807,26.81,24.75,3277,14977316.0,2.715237277184076e-05
2024-04-24,13:52:58,0.1119,26.81,24.75,3333,14977258.0,2.482612351948873e-05
2024-04-24,13:52:58,0.1178,26.81,24.75,3334,14977258.0,2.478644765887827e-05
2024-04-24,13:52:58,0.1235,26.81,24.75,3334,14977258.0,2.478644765887827e-05
2024-04-24,13:52:58,0.1293,26.81,24.75,3333,14977258.0,2.482612351948873e-05
2024-04-24,13:52:58,0.1352,26.81,24.75,3333,14977258.0,2.482612351948873e-05
2024-04-24,13:52:58,0.1411,26.81,24.75,3333,14977258.0,2.482612351948873e-05
2024-04-24,13:52:58,0.147,26.81,24.75,3333,14977258.0,2.482612351948873e-05
2024-04-24,13:52:58,0.1528,26.81,24.75,3333,14977258.0,2.482612351948873e-05
2024-04-24,13:52:58,0.1586,26.81,24.75,3333,14977258.0,2.482612351948873e-05
2024-04-24,13:52:58,0.1645,26.81,24.75,3333,14977258.0,2.482612351948873e-05
2024-04-24,13:52:58,0.1704,26.81,24.75,3334,14977258.0,2.478644765887827e-05
2024-04-24,13:52:58,0.1761,26.81,24.75,3334,14977259.0,2.478644765887827e-05
2024-04-24,13:52:58,0.182,26.81,24.75,3333,14977258.0,2.482612351948873e-05
2024-04-24,13:52:58,0.1879,26.81,24.75,3333,14977258.0,2.482612351948873e-05
2024-04-24,13:52:58,0.1938,26.81,24.75,3333,14977258.0,2.482612351948873e-05
2024-04-24,13:52:58,0.1996,26.81,24.75,3333,14977258.0,2.482612351948873e-05
2024-04-24,13:52:58,0.2053,26.81,24.75,3333,14977258.0,2.482612351948873e-05
2024-04-24,13:52:58,0.2112,26.81,24.75,3333,14977258.0,2.482612351948873e-05
2024-04-24,13:52:58,0.2171,26.81,24.75,3334,14977258.0,2.478644765887827e-05
2024-04-24,13:52:58,0.223,26.81,24.75,3334,14977258.0,2.478644765887827e-05
2024-04-24,13:52:58,0.2289,26.81,24.75,3334,14977259.0,2.478644765887827e-05
2024-04-24,13:52:58,0.2346,26.81,24.75,3334,14977259.0,2.478644765887827e-05
2024-04-24,13:52:58,0.2404,26.81,24.75,3333,14977258.0,2.482612351948873e-05
2024-04-24,13:52:58,0.2463,26.81,24.75,3333,14977258.0,2.482612351948873e-05
2024-04-24,13:52:58,0.2522,26.81,24.75,3334,14977258.0,2.478644765887827e-05
2024-04-24,13:52:58,0.2581,26.81,24.75,3334,14977258.0,2.478644765887827e-05
2024-04-24,13:52:58,0.2639,26.81,24.75,3333,14977258.0,2.482612351948873e-05
2024-04-24,13:52:58,0.2698,26.81,24.75,3334,14977258.0,2.478644765887827e-05
2024-04-24,13:52:58,0.2756,26.81,24.75,3334,14977258.0,2.478644765887827e-05
2024-04-24,13:52:58,0.2814,26.81,24.75,3333,14977259.0,2.482612351948873e-05
2024-04-24,13:52:58,0.2872,26.81,24.75,3334,14977259.0,2.478644765887827e-05
2024-04-24,13:52:58,0.2931,26.81,24.75,3334,14977259.0,2.478644765887827e-05
2024-04-24,13:52:58,0.299,26.81,24.75,3334,14977258.0,2.478644765887827e-05
2024-04-24,13:52:58,0.3049,26.81,24.75,3335,14977258.0,2.474683520623056e-05
2024-04-24,13:52:58,0.3107,26.81,24.75,3335,14977259.0,2.474683520623056e-05
2024-04-24,13:52:58,0.3164,26.81,24.75,3334,14977259.0,2.478644765887827e-05
2024-04-24,13:52:58,0.3223,26.81,24.75,3334,14977259.0,2.478644765887827e-05
2024-04-24,13:52:58,0.3282,26.81,24.75,3334,14977259.0,2.478644765887827e-05
2024-04-24,13:52:58,0.334,26.81,24.75,3334,14977259.0,2.478644765887827e-05
2024-04-24,13:52:58,0.3397,26.81,24.75,3334,14977259.0,2.478644765887827e-05
2024-04-24,13:52:58,0.3456,26.81,24.75,3334,14977259.0,2.478644765887827e-05
2024-04-24,13:52:58,0.3515,26.81,24.75,3334,14977259.0,2.478644765887827e-05
2024-04-24,13:52:58,0.3574,26.81,24.75,3334,14977259.0,2.478644765887827e-05
2024-04-24,13:52:58,0.3633,26.81,24.75,3335,14977259.0,2.474683520623056e-05
2024-04-24,13:52:58,0.369,26.81,24.75,3335,14977259.0,2.474683520623056e-05
2024-04-24,13:52:58,0.3748,26.81,24.75,3335,14977259.0,2.474683520623056e-05
2024-04-24,13:52:58,0.3807,26.81,24.75,3335,14977259.0,2.474683520623056e-05
2024-04-24,13:52:58,0.3866,26.81,24.75,3335,14977259.0,2.474683520623056e-05
2024-04-24,13:52:58,0.3923,26.81,24.75,3335,14977259.0,2.474683520623056e-05
2024-04-24,13:52:58,0.3981,26.81,24.75,3334,14977259.0,2.478644765887827e-05
2024-04-24,13:52:58,0.404,26.81,24.75,3334,14977259.0,2.478644765887827e-05
2024-04-24,13:52:58,0.4099,26.81,24.75,3335,14977259.0,2.474683520623056e-05
2024-04-24,13:52:58,0.4156,26.81,24.75,3335,14977259.0,2.474683520623056e-05
2024-04-24,13:52:58,0.4215,26.81,24.75,3335,14977259.0,2.474683520623056e-05
2024-04-24,13:52:58,0.4274,26.81,24.75,3335,14977259.0,2.474683520623056e-05
2024-04-24,13:52:58,0.4332,26.81,24.75,3335,14977259.0,2.474683520623056e-05
2024-04-24,13:52:58,0.4391,26.81,24.75,3335,14977259.0,2.474683520623056e-05
2024-04-24,13:52:58,0.4449,26.81,24.75,3335,14977259.0,2.474683520623056e-05
