Date,Time,Relative_time,Ambient,Temperature,Peak Magnitude (RAW),Resonance_Frequency,Dissipation
2023-10-09,11:57:45,0.054,27.88,24.5,3173,15084406.0,3.206627821368519e-05
2023-10-09,11:57:45,0.0822,27.88,24.5,3151,15084679.0,3.321469412667937e-05
2023-10-09,11:57:45,0.1124,27.88,24.5,3162,15084605.0,3.263543507674679e-05
2023-10-09,11:57:45,0.116,27.88,24.5,3160,15084609.0,3.273999828970383e-05
2023-10-09,11:57:45,0.1195,27.88,24.5,3165,15084611.0,3.247921607687248e-05
2023-10-09,11:57:45,0.1231,27.88,24.5,3166,15084612.0,3.242730942907095e-05
2023-10-09,11:57:45,0.1267,27.88,24.5,3164,15084611.0,3.253120581205106e-05
2023-10-09,11:57:45,0.1304,27.88,24.5,3165,15084611.0,3.247921607687248e-05
2023-10-09,11:57:45,0.1339,27.88,24.5,3166,15084611.0,3.242730942907095e-05
2023-10-09,11:57:45,0.1375,27.88,24.5,3167,15084612.0,3.237548573586047e-05
2023-10-09,11:57:45,0.1411,27.88,24.5,3167,15084612.0,3.237548573586047e-05
2023-10-09,11:57:45,0.1447,27.88,24.5,3167,15084612.0,3.237548573586047e-05
2023-10-09,11:57:45,0.1483,27.88,24.5,3168,15084612.0,3.232374486466711e-05
2023-10-09,11:57:45,0.152,27.88,24.5,3170,15084611.0,3.222051105909553e-05
2023-10-09,11:57:45,0.1556,27.88,24.5,3171,15084612.0,3.216901786062761e-05
2023-10-09,11:57:45,0.1592,27.88,24.5,3171,15084613.0,3.216901786062761e-05
2023-10-09,11:57:45,0.1627,27.88,24.5,3171,15084613.0,3.216901786062761e-05
2023-10-09,11:57:45,0.1663,27.88,24.5,3171,15084613.0,3.216901786062761e-05
2023-10-09,11:57:45,0.17,27.88,24.5,3171,15084612.0,3.216901786062761e-05
2023-10-09,11:57:45,0.1736,27.88,24.5,3170,15084613.0,3.222051105909553e-05
2023-10-09,11:57:45,0.1771,27.88,24.5,3170,15084614.0,3.222051105909553e-05
2023-10-09,11:57:45,0.1807,27.88,24.5,3171,15084613.0,3.216901786062761e-05
2023-10-09,11:57:45,0.1844,27.88,24.5,3171,15084613.0,3.216901786062761e-05
2023-10-09,11:57:45,0.188,27.88,24.5,3171,15084613.0,3.216901786062761e-05
2023-10-09,11:57:45,0.1915,27.88,24.5,3172,15084613.0,3.211760695599677e-05
2023-10-09,11:57:45,0.1951,27.88,24.5,3173,15084613.0,3.206627821368519e-05
2023-10-09,11:57:45,0.1988,27.88,24.5,3173,15084613.0,3.206627821368519e-05
2023-10-09,11:57:45,0.2024,27.88,24.5,3173,15084613.0,3.206627821368519e-05
2023-10-09,11:57:45,0.206,27.88,24.5,3173,15084613.0,3.206627821368519e-05
2023-10-09,11:57:45,0.2096,27.88,24.5,3173,15084613.0,3.206627821368519e-05
2023-10-09,11:57:45,0.2132,27.88,24.5,3174,15084613.0,3.201503150238514e-05
2023-10-09,11:57:45,0.2168,27.88,24.5,3175,15084613.0,3.196386669099883e-05
2023-10-09,11:57:45,0.2203,27.88,24.5,3174,15084613.0,3.201503150238514e-05
2023-10-09,11:57:45,0.224,27.88,24.5,3173,15084615.0,3.206627821368519e-05
2023-10-09,11:57:45,0.2276,27.88,24.5,3173,15084615.0,3.206627821368519e-05
2023-10-09,11:57:45,0.2312,27.88,24.5,3174,15084613.0,3.201503150238514e-05
2023-10-09,11:57:45,0.2348,27.88,24.5,3175,15084613.0,3.196386669099883e-05
2023-10-09,11:57:45,0.2384,27.88,24.5,3175,15084613.0,3.196386669099883e-05
2023-10-09,11:57:45,0.2421,27.88,24.5,3175,15084613.0,3.196386669099883e-05
2023-10-09,11:57:45,0.2457,27.88,24.5,3175,15084613.0,3.196386669099883e-05
2023-10-09,11:57:45,0.2493,27.88,24.5,3175,15084613.0,3.196386669099883e-05
2023-10-09,11:57:45,0.2528,27.88,24.5,3175,15084614.0,3.196386669099883e-05
2023-10-09,11:57:45,0.2565,27.88,24.5,3175,15084614.0,3.196386669099883e-05
2023-10-09,11:57:45,0.2601,27.88,24.5,3175,15084614.0,3.196386669099883e-05
2023-10-09,11:57:45,0.2637,27.88,24.5,3176,15084613.0,3.191278364863791e-05
2023-10-09,11:57:45,0.2673,27.88,24.5,3176,15084614.0,3.191278364863791e-05
2023-10-09,11:57:45,0.2709,27.88,24.5,3175,15084613.0,3.196386669099883e-05
2023-10-09,11:57:45,0.2745,27.88,24.5,3175,15084613.0,3.196386669099883e-05
2023-10-09,11:57:45,0.2781,27.88,24.5,3176,15084613.0,3.191278364863791e-05
2023-10-09,11:57:45,0.2818,27.88,24.5,3177,15084613.0,3.186178224462326e-05
2023-10-09,11:57:45,0.2854,27.88,24.5,3177,15084614.0,3.186178224462326e-05
2023-10-09,11:57:45,0.289,27.88,24.5,3177,15084613.0,3.186178224462326e-05
2023-10-09,11:57:45,0.2926,27.88,24.5,3177,15084613.0,3.186178224462326e-05
2023-10-09,11:57:45,0.2961,27.88,24.5,3177,15084613.0,3.186178224462326e-05
2023-10-09,11:57:45,0.2997,27.88,24.5,3176,15084613.0,3.191278364863791e-05
2023-10-09,11:57:45,0.3033,27.88,24.5,3175,15084613.0,3.196386669099883e-05
2023-10-09,11:57:45,0.3069,27.88,24.5,3175,15084614.0,3.196386669099883e-05
2023-10-09,11:57:45,0.3104,27.88,24.5,3176,15084614.0,3.191278364863791e-05
2023-10-09,11:57:45,0.3141,27.88,24.5,3177,15084613.0,3.186178224462326e-05
2023-10-09,11:57:45,0.3177,27.88,24.5,3177,15084614.0,3.186178224462326e-05
2023-10-09,11:57:45,0.3214,27.88,24.5,3177,15084614.0,3.186178224462326e-05
2023-10-09,11:57:45,0.325,27.88,24.5,3182,15084612.0,3.160799524057453e-05
2023-10-09,11:57:45,0.3286,27.88,24.5,3183,15084612.0,3.155748093404753e-05
2023-10-09,11:57:45,0.3322,27.88,24.5,3178,15084614.0,3.181086234848457e-05
2023-10-09,11:57:45,0.3358,27.88,24.5,3177,15084614.0,3.186178224462326e-05
2023-10-09,11:57:45,0.3394,27.88,24.5,3177,15084614.0,3.186178224462326e-05
2023-10-09,11:57:45,0.343,27.88,24.5,3177,15084614.0,3.186178224462326e-05
2023-10-09,11:57:45,0.3465,27.88,24.5,3177,15084613.0,3.186178224462326e-05
2023-10-09,11:57:45,0.3502,27.88,24.5,3178,15084613.0,3.181086234848457e-05
2023-10-09,11:57:45,0.3538,27.88,24.5,3178,15084614.0,3.181086234848457e-05
2023-10-09,11:57:45,0.3575,27.88,24.5,3177,15084614.0,3.186178224462326e-05
2023-10-09,11:57:45,0.3611,27.88,24.5,3177,15084613.0,3.186178224462326e-05
2023-10-09,11:57:45,0.3647,27.88,24.5,3178,15084614.0,3.181086234848457e-05
2023-10-09,11:57:45,0.3684,27.88,24.5,3178,15084614.0,3.181086234848457e-05
2023-10-09,11:57:45,0.372,27.88,24.5,3178,15084614.0,3.181086234848457e-05
2023-10-09,11:57:45,0.3755,27.88,24.5,3179,15084614.0,3.176002382996009e-05
2023-10-09,11:57:45,0.3791,27.88,24.5,3179,15084614.0,3.176002382996009e-05
2023-10-09,11:57:45,0.3828,27.88,24.5,3179,15084613.0,3.176002382996009e-05
2023-10-09,11:57:45,0.3864,27.88,24.5,3179,15084614.0,3.176002382996009e-05
2023-10-09,11:57:45,0.3899,27.88,24.5,3179,15084614.0,3.176002382996009e-05
2023-10-09,11:57:45,0.3935,27.88,24.5,3179,15084614.0,3.176002382996009e-05
2023-10-09,11:57:45,0.3972,27.88,24.5,3179,15084614.0,3.176002382996009e-05
2023-10-09,11:57:45,0.4008,27.88,24.5,3178,15084614.0,3.181086234848457e-05
2023-10-09,11:57:46,0.4043,27.88,24.5,3178,15084614.0,3.181086234848457e-05
2023-10-09,11:57:46,0.408,27.88,24.5,3178,15084614.0,3.181086234848457e-05
2023-10-09,11:57:46,0.4116,27.88,24.5,3178,15084613.0,3.181086234848457e-05
2023-10-09,11:57:46,0.4152,27.88,24.5,3178,15084614.0,3.181086234848457e-05
2023-10-09,11:57:46,0.4188,27.88,24.5,3178,15084614.0,3.181086234848457e-05
2023-10-09,11:57:46,0.4224,27.88,24.5,3179,15084614.0,3.176002382996009e-05
2023-10-09,11:57:46,0.4261,27.88,24.5,3179,15084613.0,3.176002382996009e-05
2023-10-09,11:57:46,0.4297,27.88,24.5,3181,15084613.0,3.165859040574708e-05
2023-10-09,11:57:46,0.4332,27.88,24.5,3181,15084614.0,3.165859040574708e-05
2023-10-09,11:57:46,0.4368,27.88,24.5,3179,15084614.0,3.176002382996009e-05
2023-10-09,11:57:46,0.4405,27.88,24.5,3179,15084613.0,3.176002382996009e-05
2023-10-09,11:57:46,0.4441,27.88,24.5,3180,15084613.0,3.170926655899616e-05
2023-10-09,11:57:46,0.4477,27.88,24.5,3181,15084614.0,3.165859040574708e-05
2023-10-09,11:57:46,0.4513,27.88,24.5,3181,15084615.0,3.165859040574708e-05
2023-10-09,11:57:46,0.455,27.88,24.5,3180,15084615.0,3.170926655899616e-05
2023-10-09,11:57:46,0.4585,27.88,24.5,3180,15084614.0,3.170926655899616e-05
2023-10-09,11:57:46,0.4621,27.88,24.5,3180,15084613.0,3.170926655899616e-05
2023-10-09,11:57:46,0.4658,27.88,24.5,3179,15084614.0,3.176002382996009e-05
2023-10-09,11:57:46,0.4694,27.88,24.5,3179,15084614.0,3.176002382996009e-05
2023-10-09,11:57:46,0.473,27.88,24.5,3180,15084614.0,3.170926655899616e-05
2023-10-09,11:57:46,0.4765,27.88,24.5,3180,15084614.0,3.170926655899616e-05
2023-10-09,11:57:46,0.4801,27.88,24.5,3180,15084614.0,3.170926655899616e-05
2023-10-09,11:57:46,0.4838,27.88,24.5,3180,15084615.0,3.170926655899616e-05
2023-10-09,11:57:46,0.4873,27.88,24.5,3179,15084614.0,3.176002382996009e-05
2023-10-09,11:57:46,0.4909,27.88,24.5,3179,15084614.0,3.176002382996009e-05
2023-10-09,11:57:46,0.4946,27.88,24.5,3179,15084614.0,3.176002382996009e-05
2023-10-09,11:57:46,0.4982,27.94,24.75,3179,15084614.0,3.176002382996009e-05
2023-10-09,11:57:46,0.5018,27.94,24.75,3179,15084614.0,3.176002382996009e-05
2023-10-09,11:57:46,0.5054,27.94,24.75,3180,15084614.0,3.170926655899616e-05
2023-10-09,11:57:46,0.509,27.94,24.75,3180,15084613.0,3.170926655899616e-05
2023-10-09,11:57:46,0.5127,27.94,24.75,3180,15084613.0,3.170926655899616e-05
2023-10-09,11:57:46,0.5163,27.94,24.75,3181,15084614.0,3.165859040574708e-05
2023-10-09,11:57:46,0.5199,27.94,24.75,3181,15084614.0,3.165859040574708e-05
2023-10-09,11:57:46,0.5235,27.94,24.75,3181,15084613.0,3.165859040574708e-05
2023-10-09,11:57:46,0.5271,27.94,24.75,3181,15084614.0,3.165859040574708e-05
2023-10-09,11:57:46,0.5307,27.94,24.75,3181,15084615.0,3.165859040574708e-05
2023-10-09,11:57:46,0.5343,27.94,24.75,3181,15084614.0,3.165859040574708e-05
2023-10-09,11:57:46,0.5378,27.94,24.75,3181,15084614.0,3.165859040574708e-05
2023-10-09,11:57:46,0.5415,27.94,24.75,3181,15084614.0,3.165859040574708e-05
2023-10-09,11:57:46,0.5451,27.94,24.75,3182,15084614.0,3.160799524057453e-05
2023-10-09,11:57:46,0.5488,27.94,24.75,3182,15084613.0,3.160799524057453e-05
2023-10-09,11:57:46,0.5524,27.94,24.75,3181,15084618.0,3.165859040574708e-05
2023-10-09,11:57:46,0.5559,27.94,24.75,3180,15084619.0,3.170926655899616e-05
2023-10-09,11:57:46,0.5594,27.94,24.75,3180,15084614.0,3.170926655899616e-05
2023-10-09,11:57:46,0.5631,27.94,24.75,3181,15084614.0,3.165859040574708e-05
2023-10-09,11:57:46,0.5667,27.94,24.75,3180,15084614.0,3.170926655899616e-05
