Date,Time,Relative_time,Ambient,Temperature,Peak Magnitude (RAW),Resonance_Frequency,Dissipation
2023-10-11,13:13:43,0.054,27.31,25.25,3326,15113410.0,2.510563851302276e-05
2023-10-11,13:13:43,0.0823,27.31,25.25,3298,15113694.0,2.625552513844194e-05
2023-10-11,13:13:43,0.1125,27.31,25.25,3305,15113624.0,2.596320781954575e-05
2023-10-11,13:13:43,0.1161,27.31,25.25,3296,15113626.0,2.633964726091078e-05
2023-10-11,13:13:43,0.1198,27.31,25.25,3296,15113626.0,2.633964726091078e-05
2023-10-11,13:13:43,0.1234,27.31,25.25,3297,15113625.0,2.62975525628629e-05
2023-10-11,13:13:43,0.1271,27.31,25.25,3296,15113625.0,2.633964726091078e-05
2023-10-11,13:13:43,0.1307,27.31,25.25,3296,15113625.0,2.633964726091078e-05
2023-10-11,13:13:43,0.1344,27.31,25.25,3297,15113626.0,2.62975525628629e-05
2023-10-11,13:13:43,0.1381,27.31,25.25,3297,15113625.0,2.62975525628629e-05
2023-10-11,13:13:43,0.1417,27.31,25.25,3297,15113625.0,2.62975525628629e-05
2023-10-11,13:13:43,0.1453,27.31,25.25,3296,15113626.0,2.633964726091078e-05
2023-10-11,13:13:43,0.149,27.31,25.25,3296,15113627.0,2.633964726091078e-05
2023-10-11,13:13:43,0.1526,27.31,25.25,3297,15113626.0,2.62975525628629e-05
2023-10-11,13:13:43,0.1563,27.31,25.25,3296,15113625.0,2.633964726091078e-05
2023-10-11,13:13:43,0.16,27.31,25.25,3296,15113626.0,2.633964726091078e-05
2023-10-11,13:13:43,0.1636,27.31,25.25,3297,15113626.0,2.62975525628629e-05
2023-10-11,13:13:43,0.1673,27.31,25.25,3296,15113626.0,2.633964726091078e-05
2023-10-11,13:13:43,0.1709,27.31,25.25,3296,15113626.0,2.633964726091078e-05
2023-10-11,13:13:43,0.1745,27.31,25.25,3297,15113626.0,2.62975525628629e-05
2023-10-11,13:13:43,0.1781,27.31,25.25,3296,15113626.0,2.633964726091078e-05
2023-10-11,13:13:43,0.1819,27.31,25.25,3296,15113626.0,2.633964726091078e-05
2023-10-11,13:13:43,0.1854,27.31,25.25,3297,15113625.0,2.62975525628629e-05
2023-10-11,13:13:43,0.1927,27.31,25.25,3296,15113625.0,2.633964726091078e-05
2023-10-11,13:13:43,0.1963,27.31,25.25,3295,15113625.0,2.638180934027105e-05
2023-10-11,13:13:43,0.2,27.31,25.25,3296,15113626.0,2.633964726091078e-05
2023-10-11,13:13:43,0.2036,27.31,25.25,3297,15113626.0,2.62975525628629e-05
2023-10-11,13:13:43,0.2109,27.31,25.25,3296,15113626.0,2.633964726091078e-05
2023-10-11,13:13:43,0.2146,27.31,25.25,3297,15113625.0,2.62975525628629e-05
2023-10-11,13:13:43,0.2181,27.31,25.25,3297,15113625.0,2.62975525628629e-05
2023-10-11,13:13:43,0.2218,27.31,25.25,3297,15113625.0,2.62975525628629e-05
2023-10-11,13:13:43,0.229,27.31,25.25,3297,15113625.0,2.62975525628629e-05
