Date,Time,Relative_time,Ambient,Temperature,Peak Magnitude (RAW),Resonance_Frequency,Dissipation
2024-02-01,13:44:00,0.0541,28.69,24.0,3394,15247447.0,2.251836852944649e-05
2024-02-01,13:44:00,0.0822,28.69,24.0,3361,15247771.0,2.37388389481256e-05
2024-02-01,13:44:00,0.1127,28.69,24.0,3373,15247681.0,2.328756074392889e-05
2024-02-01,13:44:00,0.1169,28.69,24.0,3361,15247684.0,2.37388389481256e-05
2024-02-01,13:44:00,0.1211,28.69,24.0,3361,15247684.0,2.37388389481256e-05
2024-02-01,13:44:00,0.1254,28.69,24.0,3361,15247685.0,2.37388389481256e-05
2024-02-01,13:44:00,0.1297,28.69,24.0,3362,15247684.0,2.370090073097218e-05
2024-02-01,13:44:00,0.1339,28.69,24.0,3362,15247684.0,2.370090073097218e-05
2024-02-01,13:44:00,0.1382,28.69,24.0,3362,15247684.0,2.370090073097218e-05
2024-02-01,13:44:00,0.1424,28.69,24.0,3363,15247684.0,2.366302314476723e-05
2024-02-01,13:44:00,0.1466,28.69,24.0,3363,15247684.0,2.366302314476723e-05
2024-02-01,13:44:00,0.1509,28.69,24.0,3362,15247684.0,2.370090073097218e-05
2024-02-01,13:44:00,0.1552,28.69,24.0,3362,15247684.0,2.370090073097218e-05
2024-02-01,13:44:00,0.1595,28.69,24.0,3362,15247684.0,2.370090073097218e-05
2024-02-01,13:44:00,0.1638,28.69,24.0,3362,15247685.0,2.370090073097218e-05
2024-02-01,13:44:00,0.168,28.69,24.0,3362,15247685.0,2.370090073097218e-05
2024-02-01,13:44:00,0.1722,28.69,24.0,3362,15247685.0,2.370090073097218e-05
2024-02-01,13:44:00,0.1765,28.69,24.0,3362,15247684.0,2.370090073097218e-05
2024-02-01,13:44:00,0.1807,28.69,24.0,3361,15247684.0,2.37388389481256e-05
2024-02-01,13:44:00,0.185,28.69,24.0,3361,15247684.0,2.37388389481256e-05
2024-02-01,13:44:00,0.1893,28.69,24.0,3361,15247684.0,2.37388389481256e-05
2024-02-01,13:44:00,0.1935,28.69,24.0,3361,15247685.0,2.37388389481256e-05
2024-02-01,13:44:00,0.1978,28.69,24.0,3362,15247685.0,2.370090073097218e-05
2024-02-01,13:44:00,0.202,28.69,24.0,3362,15247685.0,2.370090073097218e-05
2024-02-01,13:44:00,0.2062,28.69,24.0,3362,15247684.0,2.370090073097218e-05
2024-02-01,13:44:00,0.2105,28.69,24.0,3363,15247684.0,2.366302314476723e-05
2024-02-01,13:44:00,0.2148,28.69,24.0,3362,15247684.0,2.370090073097218e-05
2024-02-01,13:44:00,0.219,28.69,24.0,3361,15247685.0,2.37388389481256e-05
2024-02-01,13:44:00,0.2232,28.69,24.0,3362,15247685.0,2.370090073097218e-05
2024-02-01,13:44:00,0.2275,28.69,24.0,3363,15247684.0,2.366302314476723e-05
2024-02-01,13:44:00,0.2318,28.69,24.0,3362,15247683.0,2.370090073097218e-05
2024-02-01,13:44:00,0.2359,28.69,24.0,3361,15247684.0,2.37388389481256e-05
2024-02-01,13:44:00,0.2402,28.69,24.0,3361,15247684.0,2.37388389481256e-05
2024-02-01,13:44:00,0.2445,28.69,24.0,3361,15247684.0,2.37388389481256e-05
