Date,Time,Relative_time,Ambient,Temperature,Peak Magnitude (RAW),Resonance_Frequency,Dissipation
2023-09-20,12:44:31,0.0539,23.56,20.25,2923,15151250.0,4.783042619758796e-05
2023-09-20,12:44:31,0.0819,23.56,20.25,2900,15151503.0,4.962272100164065e-05
2023-09-20,12:44:31,0.1116,23.56,20.25,2908,15151407.0,4.8991822142276e-05
2023-09-20,12:44:31,0.1152,23.56,20.25,2908,15151407.0,4.8991822142276e-05
2023-09-20,12:44:31,0.1187,23.56,20.25,2907,15151406.0,4.907024373512066e-05
2023-09-20,12:44:31,0.1223,23.56,20.25,2907,15151407.0,4.907024373512066e-05
2023-09-20,12:44:31,0.1258,23.56,20.25,2908,15151407.0,4.8991822142276e-05
2023-09-20,12:44:31,0.1293,23.56,20.25,2908,15151407.0,4.8991822142276e-05
2023-09-20,12:44:31,0.1328,23.56,20.25,2908,15151408.0,4.8991822142276e-05
2023-09-20,12:44:31,0.1365,23.56,20.25,2907,15151409.0,4.907024373512066e-05
2023-09-20,12:44:31,0.1399,23.56,20.25,2906,15151407.0,4.914879085802224e-05
2023-09-20,12:44:31,0.1434,23.56,20.25,2906,15151407.0,4.914879085802224e-05
2023-09-20,12:44:31,0.147,23.56,20.25,2906,15151408.0,4.914879085802224e-05
2023-09-20,12:44:31,0.1505,23.56,20.25,2907,15151407.0,4.907024373512066e-05
2023-09-20,12:44:31,0.154,23.56,20.25,2908,15151408.0,4.8991822142276e-05
2023-09-20,12:44:31,0.1573,23.56,20.25,2907,15151409.0,4.907024373512066e-05
2023-09-20,12:44:31,0.1609,23.56,20.25,2907,15151409.0,4.907024373512066e-05
2023-09-20,12:44:31,0.1646,23.56,20.25,2907,15151409.0,4.907024373512066e-05
2023-09-20,12:44:31,0.1681,23.56,20.25,2907,15151409.0,4.907024373512066e-05
2023-09-20,12:44:31,0.1715,23.56,20.25,2907,15151408.0,4.907024373512066e-05
2023-09-20,12:44:31,0.175,23.56,20.25,2907,15151408.0,4.907024373512066e-05
2023-09-20,12:44:31,0.1785,23.56,20.25,2908,15151408.0,4.8991822142276e-05
2023-09-20,12:44:31,0.1821,23.56,20.25,2908,15151407.0,4.8991822142276e-05
2023-09-20,12:44:31,0.1891,23.56,20.25,2908,15151407.0,4.8991822142276e-05
2023-09-20,12:44:31,0.1926,23.56,20.25,2908,15151408.0,4.8991822142276e-05
2023-09-20,12:44:31,0.1961,23.56,20.25,2908,15151409.0,4.8991822142276e-05
2023-09-20,12:44:31,0.2033,23.56,20.25,2907,15151410.0,4.907024373512066e-05
2023-09-20,12:44:31,0.2067,23.56,20.25,2908,15151410.0,4.8991822142276e-05
2023-09-20,12:44:31,0.2102,23.56,20.25,2907,15151409.0,4.907024373512066e-05
2023-09-20,12:44:31,0.2173,23.56,20.25,2907,15151409.0,4.907024373512066e-05
2023-09-20,12:44:31,0.2207,23.56,20.25,2908,15151408.0,4.8991822142276e-05
2023-09-20,12:44:31,0.2243,23.56,20.25,2907,15151407.0,4.907024373512066e-05
2023-09-20,12:44:31,0.2313,23.56,20.25,2908,15151407.0,4.8991822142276e-05
2023-09-20,12:44:31,0.2348,23.56,20.25,2908,15151408.0,4.8991822142276e-05
2023-09-20,12:44:31,0.2383,23.56,20.25,2907,15151410.0,4.907024373512066e-05
