Date,Time,Relative_time,Ambient,Temperature,Peak Magnitude (RAW),Resonance_Frequency,Dissipation
2024-04-30,14:30:34,0.0529,26.25,19.5,3336,15084320.0,2.470728606021017e-05
2024-04-30,14:30:34,0.0808,26.25,19.5,3345,15084648.0,2.435417590387356e-05
2024-04-30,14:30:34,0.112,26.25,19.5,3403,15084595.0,2.219654181758096e-05
2024-04-30,14:30:34,0.1177,26.25,19.5,3405,15084595.0,2.212565171830715e-05
2024-04-30,14:30:34,0.1234,26.25,19.5,3405,15084595.0,2.212565171830715e-05
2024-04-30,14:30:34,0.1292,26.25,19.5,3405,15084595.0,2.212565171830715e-05
2024-04-30,14:30:34,0.135,26.25,19.5,3406,15084595.0,2.209029161576024e-05
2024-04-30,14:30:34,0.1408,26.25,19.5,3406,15084595.0,2.209029161576024e-05
2024-04-30,14:30:34,0.1465,26.25,19.5,3406,15084595.0,2.209029161576024e-05
2024-04-30,14:30:34,0.1523,26.25,19.5,3406,15084595.0,2.209029161576024e-05
2024-04-30,14:30:34,0.158,26.25,19.5,3405,15084595.0,2.212565171830715e-05
2024-04-30,14:30:34,0.1638,26.25,19.5,3405,15084595.0,2.212565171830715e-05
2024-04-30,14:30:34,0.1696,26.25,19.5,3406,15084596.0,2.209029161576024e-05
2024-04-30,14:30:34,0.1754,26.25,19.5,3406,15084596.0,2.209029161576024e-05
2024-04-30,14:30:34,0.1812,26.25,19.5,3406,15084596.0,2.209029161576024e-05
2024-04-30,14:30:34,0.1869,26.25,19.5,3406,15084596.0,2.209029161576024e-05
2024-04-30,14:30:34,0.1927,26.25,19.5,3405,15084595.0,2.212565171830715e-05
2024-04-30,14:30:34,0.1985,26.25,19.5,3405,15084594.0,2.212565171830715e-05
2024-04-30,14:30:34,0.2043,26.25,19.5,3406,15084594.0,2.209029161576024e-05
2024-04-30,14:30:34,0.2101,26.25,19.5,3406,15084595.0,2.209029161576024e-05
2024-04-30,14:30:34,0.2158,26.25,19.5,3406,15084595.0,2.209029161576024e-05
2024-04-30,14:30:34,0.2215,26.25,19.5,3406,15084595.0,2.209029161576024e-05
2024-04-30,14:30:34,0.2273,26.25,19.5,3406,15084595.0,2.209029161576024e-05
2024-04-30,14:30:34,0.2331,26.25,19.5,3406,15084596.0,2.209029161576024e-05
2024-04-30,14:30:34,0.2389,26.25,19.5,3405,15084595.0,2.212565171830715e-05
2024-04-30,14:30:34,0.2447,26.25,19.5,3405,15084595.0,2.212565171830715e-05
2024-04-30,14:30:34,0.2504,26.25,19.5,3406,15084596.0,2.209029161576024e-05
2024-04-30,14:30:34,0.2562,26.25,19.5,3406,15084595.0,2.209029161576024e-05
2024-04-30,14:30:34,0.2619,26.25,19.5,3406,15084595.0,2.209029161576024e-05
2024-04-30,14:30:34,0.2677,26.25,19.5,3406,15084595.0,2.209029161576024e-05
2024-04-30,14:30:34,0.2735,26.25,19.5,3406,15084595.0,2.209029161576024e-05
2024-04-30,14:30:34,0.2792,26.25,19.5,3406,15084595.0,2.209029161576024e-05
2024-04-30,14:30:34,0.285,26.25,19.5,3405,15084595.0,2.212565171830715e-05
2024-04-30,14:30:34,0.2908,26.25,19.5,3406,15084595.0,2.209029161576024e-05
2024-04-30,14:30:34,0.2965,26.25,19.5,3407,15084595.0,2.205498802394887e-05
2024-04-30,14:30:34,0.3023,26.25,19.5,3406,15084596.0,2.209029161576024e-05
2024-04-30,14:30:34,0.3081,26.25,19.5,3406,15084596.0,2.209029161576024e-05
2024-04-30,14:30:34,0.3138,26.25,19.5,3406,15084596.0,2.209029161576024e-05
2024-04-30,14:30:34,0.3196,26.25,19.5,3405,15084595.0,2.212565171830715e-05
2024-04-30,14:30:34,0.3253,26.25,19.5,3405,15084595.0,2.212565171830715e-05
2024-04-30,14:30:34,0.3311,26.25,19.5,3406,15084595.0,2.209029161576024e-05
2024-04-30,14:30:34,0.3369,26.25,19.5,3407,15084595.0,2.205498802394887e-05
2024-04-30,14:30:34,0.3426,26.25,19.5,3406,15084595.0,2.209029161576024e-05
2024-04-30,14:30:34,0.3484,26.25,19.5,3405,15084595.0,2.212565171830715e-05
2024-04-30,14:30:34,0.3599,26.25,19.5,3406,15084596.0,2.209029161576024e-05
2024-04-30,14:30:34,0.3656,26.25,19.5,3406,15084596.0,2.209029161576024e-05
2024-04-30,14:30:34,0.3714,26.25,19.5,3406,15084596.0,2.209029161576024e-05
2024-04-30,14:30:34,0.3772,26.25,19.5,3406,15084596.0,2.209029161576024e-05
2024-04-30,14:30:34,0.3829,26.25,19.5,3406,15084595.0,2.209029161576024e-05
2024-04-30,14:30:34,0.3887,26.25,19.5,3406,15084595.0,2.209029161576024e-05
2024-04-30,14:30:34,0.3945,26.25,19.5,3406,15084595.0,2.209029161576024e-05
2024-04-30,14:30:34,0.4002,26.25,19.5,3406,15084596.0,2.209029161576024e-05
2024-04-30,14:30:34,0.406,26.25,19.5,3406,15084596.0,2.209029161576024e-05
2024-04-30,14:30:34,0.4118,26.25,19.5,3405,15084595.0,2.212565171830715e-05
2024-04-30,14:30:34,0.4176,26.25,19.5,3406,15084595.0,2.209029161576024e-05
2024-04-30,14:30:34,0.4234,26.25,19.5,3407,15084595.0,2.205498802394887e-05
2024-04-30,14:30:34,0.4292,26.25,19.5,3406,15084596.0,2.209029161576024e-05
2024-04-30,14:30:34,0.4349,26.25,19.5,3406,15084596.0,2.209029161576024e-05
2024-04-30,14:30:34,0.4407,26.25,19.5,3406,15084596.0,2.209029161576024e-05
2024-04-30,14:30:34,0.4465,26.25,19.5,3406,15084596.0,2.209029161576024e-05
2024-04-30,14:30:34,0.4522,26.19,19.5,3406,15084596.0,2.209029161576024e-05
2024-04-30,14:30:34,0.458,26.19,19.5,3406,15084596.0,2.209029161576024e-05
2024-04-30,14:30:34,0.4638,26.19,19.5,3406,15084595.0,2.209029161576024e-05
2024-04-30,14:30:34,0.4695,26.19,19.5,3406,15084595.0,2.209029161576024e-05
2024-04-30,14:30:34,0.4753,26.19,19.5,3406,15084595.0,2.209029161576024e-05
2024-04-30,14:30:34,0.481,26.19,19.5,3406,15084595.0,2.209029161576024e-05
2024-04-30,14:30:34,0.4868,26.19,19.5,3406,15084595.0,2.209029161576024e-05
2024-04-30,14:30:34,0.4925,26.19,19.5,3406,15084596.0,2.209029161576024e-05
2024-04-30,14:30:34,0.504,26.19,19.5,3406,15084596.0,2.209029161576024e-05
2024-04-30,14:30:34,0.5098,26.19,19.5,3406,15084596.0,2.209029161576024e-05
2024-04-30,14:30:34,0.5156,26.19,19.5,3406,15084596.0,2.209029161576024e-05
2024-04-30,14:30:34,0.5213,26.19,19.5,3406,15084596.0,2.209029161576024e-05
2024-04-30,14:30:34,0.5271,26.19,19.5,3406,15084595.0,2.209029161576024e-05
2024-04-30,14:30:34,0.5329,26.19,19.5,3406,15084595.0,2.209029161576024e-05
2024-04-30,14:30:34,0.5386,26.19,19.5,3406,15084595.0,2.209029161576024e-05
2024-04-30,14:30:34,0.5444,26.19,19.5,3406,15084595.0,2.209029161576024e-05
2024-04-30,14:30:34,0.5502,26.19,19.5,3406,15084595.0,2.209029161576024e-05
2024-04-30,14:30:34,0.5559,26.19,19.5,3406,15084596.0,2.209029161576024e-05
2024-04-30,14:30:34,0.5617,26.19,19.5,3406,15084596.0,2.209029161576024e-05
2024-04-30,14:30:34,0.5675,26.19,19.5,3406,15084596.0,2.209029161576024e-05
2024-04-30,14:30:34,0.5733,26.19,19.5,3406,15084596.0,2.209029161576024e-05
2024-04-30,14:30:34,0.579,26.19,19.5,3406,15084596.0,2.209029161576024e-05
2024-04-30,14:30:34,0.5848,26.19,19.5,3406,15084596.0,2.209029161576024e-05
