Date,Time,Relative_time,Ambient,Temperature,Peak Magnitude (RAW),Resonance_Frequency,Dissipation
2024-10-16,11:41:21,0.0542,26.31,24.0,3218,14965304.0,2.983943057705171e-05
2024-10-16,11:41:21,0.0822,26.31,24.0,3187,14965665.0,3.135622971300601e-05
2024-10-16,11:41:21,0.113,26.31,24.0,3210,14965579.0,3.022369190663609e-05
2024-10-16,11:41:21,0.1176,26.31,24.0,3207,14965579.0,3.036906225396806e-05
2024-10-16,11:41:21,0.1222,26.31,24.0,3208,14965579.0,3.032052794775979e-05
2024-10-16,11:41:21,0.1268,26.31,24.0,3208,14965579.0,3.032052794775979e-05
2024-10-16,11:41:21,0.1313,26.31,24.0,3208,14965579.0,3.032052794775979e-05
2024-10-16,11:41:21,0.1358,26.31,24.0,3207,14965580.0,3.036906225396806e-05
2024-10-16,11:41:21,0.1404,26.31,24.0,3207,14965580.0,3.036906225396806e-05
2024-10-16,11:41:21,0.145,26.31,24.0,3208,14965579.0,3.032052794775979e-05
2024-10-16,11:41:21,0.1495,26.31,24.0,3208,14965579.0,3.032052794775979e-05
2024-10-16,11:41:21,0.1539,26.31,24.0,3207,14965579.0,3.036906225396806e-05
2024-10-16,11:41:21,0.1585,26.31,24.0,3207,14965579.0,3.036906225396806e-05
2024-10-16,11:41:21,0.1632,26.31,24.0,3207,14965579.0,3.036906225396806e-05
2024-10-16,11:41:21,0.1678,26.31,24.0,3207,14965580.0,3.036906225396806e-05
2024-10-16,11:41:21,0.1724,26.31,24.0,3208,14965580.0,3.032052794775979e-05
2024-10-16,11:41:21,0.1768,26.31,24.0,3208,14965579.0,3.032052794775979e-05
2024-10-16,11:41:21,0.1813,26.31,24.0,3208,14965579.0,3.032052794775979e-05
2024-10-16,11:41:21,0.1859,26.31,24.0,3208,14965580.0,3.032052794775979e-05
2024-10-16,11:41:21,0.1905,26.31,24.0,3208,14965580.0,3.032052794775979e-05
2024-10-16,11:41:21,0.195,26.31,24.0,3208,14965579.0,3.032052794775979e-05
2024-10-16,11:41:21,0.1996,26.31,24.0,3208,14965579.0,3.032052794775979e-05
2024-10-16,11:41:21,0.2042,26.31,24.0,3207,14965579.0,3.036906225396806e-05
2024-10-16,11:41:21,0.2087,26.31,24.0,3207,14965579.0,3.036906225396806e-05
2024-10-16,11:41:21,0.2133,26.31,24.0,3208,14965579.0,3.032052794775979e-05
2024-10-16,11:41:21,0.2179,26.31,24.0,3208,14965579.0,3.032052794775979e-05
2024-10-16,11:41:21,0.2224,26.31,24.0,3208,14965579.0,3.032052794775979e-05
2024-10-16,11:41:21,0.2269,26.31,24.0,3208,14965579.0,3.032052794775979e-05
2024-10-16,11:41:21,0.2315,26.31,24.0,3208,14965579.0,3.032052794775979e-05
2024-10-16,11:41:21,0.2361,26.31,24.0,3208,14965579.0,3.032052794775979e-05
2024-10-16,11:41:21,0.2407,26.31,24.0,3208,14965579.0,3.032052794775979e-05
2024-10-16,11:41:21,0.2453,26.31,24.0,3208,14965579.0,3.032052794775979e-05
2024-10-16,11:41:21,0.2498,26.31,24.0,3208,14965579.0,3.032052794775979e-05
2024-10-16,11:41:21,0.2543,26.31,24.0,3208,14965579.0,3.032052794775979e-05
2024-10-16,11:41:21,0.2589,26.31,24.0,3208,14965579.0,3.032052794775979e-05
2024-10-16,11:41:21,0.2635,26.31,24.0,3208,14965579.0,3.032052794775979e-05
2024-10-16,11:41:21,0.2681,26.31,24.0,3208,14965579.0,3.032052794775979e-05
2024-10-16,11:41:21,0.2726,26.31,24.0,3208,14965579.0,3.032052794775979e-05
2024-10-16,11:41:21,0.2771,26.31,24.0,3208,14965579.0,3.032052794775979e-05
2024-10-16,11:41:21,0.2817,26.31,24.0,3208,14965579.0,3.032052794775979e-05
2024-10-16,11:41:21,0.2863,26.31,24.0,3207,14965579.0,3.036906225396806e-05
2024-10-16,11:41:21,0.2909,26.31,24.0,3207,14965579.0,3.036906225396806e-05
2024-10-16,11:41:21,0.2954,26.31,24.0,3208,14965580.0,3.032052794775979e-05
2024-10-16,11:41:21,0.2999,26.31,24.0,3207,14965580.0,3.036906225396806e-05
2024-10-16,11:41:21,0.3045,26.31,24.0,3207,14965580.0,3.036906225396806e-05
2024-10-16,11:41:21,0.3091,26.31,24.0,3207,14965579.0,3.036906225396806e-05
2024-10-16,11:41:21,0.3136,26.31,24.0,3207,14965580.0,3.036906225396806e-05
2024-10-16,11:41:21,0.318,26.31,24.0,3208,14965579.0,3.032052794775979e-05
2024-10-16,11:41:21,0.3226,26.31,24.0,3208,14965580.0,3.032052794775979e-05
2024-10-16,11:41:21,0.3272,26.31,24.0,3207,14965579.0,3.036906225396806e-05
2024-10-16,11:41:21,0.3362,26.31,24.0,3208,14965580.0,3.032052794775979e-05
2024-10-16,11:41:21,0.3408,26.31,24.0,3208,14965580.0,3.032052794775979e-05
