Date,Time,Relative_time,Ambient,Temperature,Peak Magnitude (RAW),Resonance_Frequency,Dissipation
2023-09-22,11:43:04,0.0539,26.25,24.75,3375,15078630.0,2.321318620817691e-05
2023-09-22,11:43:04,0.0822,26.25,24.75,3353,15078918.0,2.404453907847634e-05
2023-09-22,11:43:04,0.1124,26.25,24.75,3359,15078850.0,2.381489766364291e-05
2023-09-22,11:43:04,0.116,26.25,24.75,3345,15078854.0,2.435417590387356e-05
2023-09-22,11:43:04,0.1196,26.25,24.75,3344,15078854.0,2.439315982370518e-05
2023-09-22,11:43:04,0.1232,26.25,24.75,3344,15078854.0,2.439315982370518e-05
2023-09-22,11:43:04,0.1268,26.25,24.75,3344,15078854.0,2.439315982370518e-05
2023-09-22,11:43:04,0.1305,26.25,24.75,3344,15078854.0,2.439315982370518e-05
2023-09-22,11:43:04,0.1341,26.25,24.75,3344,15078854.0,2.439315982370518e-05
2023-09-22,11:43:04,0.1378,26.25,24.75,3344,15078854.0,2.439315982370518e-05
2023-09-22,11:43:04,0.1414,26.25,24.75,3345,15078854.0,2.435417590387356e-05
2023-09-22,11:43:04,0.1451,26.25,24.75,3346,15078854.0,2.431525428617974e-05
2023-09-22,11:43:04,0.1487,26.25,24.75,3345,15078854.0,2.435417590387356e-05
2023-09-22,11:43:04,0.1524,26.25,24.75,3344,15078854.0,2.439315982370518e-05
2023-09-22,11:43:04,0.156,26.25,24.75,3344,15078854.0,2.439315982370518e-05
2023-09-22,11:43:04,0.1597,26.25,24.75,3344,15078854.0,2.439315982370518e-05
2023-09-22,11:43:04,0.1633,26.25,24.75,3344,15078854.0,2.439315982370518e-05
2023-09-22,11:43:04,0.1669,26.25,24.75,3344,15078854.0,2.439315982370518e-05
2023-09-22,11:43:04,0.1706,26.25,24.75,3344,15078854.0,2.439315982370518e-05
2023-09-22,11:43:04,0.1743,26.25,24.75,3344,15078854.0,2.439315982370518e-05
2023-09-22,11:43:04,0.1778,26.25,24.75,3344,15078854.0,2.439315982370518e-05
2023-09-22,11:43:04,0.1814,26.25,24.75,3344,15078854.0,2.439315982370518e-05
2023-09-22,11:43:04,0.1851,26.25,24.75,3344,15078854.0,2.439315982370518e-05
2023-09-22,11:43:04,0.1887,26.25,24.75,3345,15078853.0,2.435417590387356e-05
2023-09-22,11:43:04,0.1924,26.25,24.75,3346,15078854.0,2.431525428617974e-05
2023-09-22,11:43:04,0.1962,26.25,24.75,3345,15078854.0,2.435417590387356e-05
2023-09-22,11:43:04,0.1997,26.25,24.75,3344,15078854.0,2.439315982370518e-05
2023-09-22,11:43:04,0.2033,26.25,24.75,3345,15078854.0,2.435417590387356e-05
2023-09-22,11:43:04,0.207,26.25,24.75,3345,15078853.0,2.435417590387356e-05
2023-09-22,11:43:04,0.2106,26.25,24.75,3344,15078854.0,2.439315982370518e-05
2023-09-22,11:43:04,0.2143,26.25,24.75,3345,15078854.0,2.435417590387356e-05
