Date,Time,Relative_time,Ambient,Temperature,Peak Magnitude (RAW),Resonance_Frequency,Dissipation
2024-08-09,10:11:34,0.0542,25.81,25.75,3260,15329692.0,2.79007819238198e-05
2024-08-09,10:11:34,0.0822,25.81,25.75,3228,15330047.0,2.936596680297826e-05
2024-08-09,10:11:34,0.1129,25.81,25.75,3251,15329950.0,2.830531416937475e-05
2024-08-09,10:11:34,0.1175,25.81,25.75,3245,15329952.0,2.857825560649389e-05
2024-08-09,10:11:34,0.1221,25.81,25.75,3245,15329952.0,2.857825560649389e-05
2024-08-09,10:11:34,0.1266,25.81,25.75,3245,15329952.0,2.857825560649389e-05
2024-08-09,10:11:34,0.1312,25.81,25.75,3245,15329952.0,2.857825560649389e-05
2024-08-09,10:11:34,0.1359,25.81,25.75,3245,15329952.0,2.857825560649389e-05
2024-08-09,10:11:34,0.1405,25.81,25.75,3245,15329952.0,2.857825560649389e-05
2024-08-09,10:11:34,0.145,25.81,25.75,3245,15329952.0,2.857825560649389e-05
2024-08-09,10:11:34,0.1495,25.81,25.75,3246,15329952.0,2.853258327730228e-05
2024-08-09,10:11:34,0.1542,25.81,25.75,3246,15329952.0,2.853258327730228e-05
2024-08-09,10:11:34,0.1588,25.81,25.75,3245,15329952.0,2.857825560649389e-05
2024-08-09,10:11:34,0.1634,25.81,25.75,3245,15329952.0,2.857825560649389e-05
2024-08-09,10:11:34,0.168,25.81,25.75,3245,15329952.0,2.857825560649389e-05
2024-08-09,10:11:34,0.1726,25.81,25.75,3244,15329952.0,2.862400104373998e-05
2024-08-09,10:11:34,0.1772,25.81,25.75,3244,15329952.0,2.862400104373998e-05
2024-08-09,10:11:34,0.1819,25.81,25.75,3244,15329952.0,2.862400104373998e-05
2024-08-09,10:11:34,0.1865,25.81,25.75,3244,15329952.0,2.862400104373998e-05
2024-08-09,10:11:34,0.191,25.81,25.75,3245,15329952.0,2.857825560649389e-05
2024-08-09,10:11:34,0.1956,25.81,25.75,3245,15329952.0,2.857825560649389e-05
2024-08-09,10:11:34,0.2002,25.81,25.75,3245,15329952.0,2.857825560649389e-05
2024-08-09,10:11:34,0.2048,25.81,25.75,3245,15329952.0,2.857825560649389e-05
2024-08-09,10:11:34,0.2095,25.81,25.75,3245,15329952.0,2.857825560649389e-05
2024-08-09,10:11:34,0.2141,25.81,25.75,3245,15329952.0,2.857825560649389e-05
2024-08-09,10:11:34,0.2186,25.81,25.75,3246,15329952.0,2.853258327730228e-05
2024-08-09,10:11:34,0.2231,25.81,25.75,3246,15329952.0,2.853258327730228e-05
2024-08-09,10:11:34,0.2278,25.81,25.75,3246,15329951.0,2.853258327730228e-05
2024-08-09,10:11:34,0.2324,25.81,25.75,3246,15329951.0,2.853258327730228e-05
2024-08-09,10:11:34,0.237,25.81,25.75,3245,15329952.0,2.857825560649389e-05
2024-08-09,10:11:34,0.2416,25.81,25.75,3245,15329952.0,2.857825560649389e-05
2024-08-09,10:11:34,0.2462,25.81,25.75,3245,15329951.0,2.857825560649389e-05
2024-08-09,10:11:34,0.2508,25.81,25.75,3245,15329952.0,2.857825560649389e-05
2024-08-09,10:11:34,0.2553,25.81,25.75,3245,15329951.0,2.857825560649389e-05
2024-08-09,10:11:34,0.2599,25.81,25.75,3246,15329952.0,2.853258327730228e-05
2024-08-09,10:11:34,0.2691,25.81,25.75,3245,15329950.0,2.857825560649389e-05
2024-08-09,10:11:34,0.2737,25.81,25.75,3245,15329951.0,2.857825560649389e-05
2024-08-09,10:11:34,0.2783,25.81,25.75,3245,15329952.0,2.857825560649389e-05
2024-08-09,10:11:34,0.2829,25.81,25.75,3245,15329952.0,2.857825560649389e-05
2024-08-09,10:11:34,0.2875,25.81,25.75,3245,15329952.0,2.857825560649389e-05
2024-08-09,10:11:34,0.2921,25.81,25.75,3245,15329952.0,2.857825560649389e-05
2024-08-09,10:11:34,0.2967,25.81,25.75,3245,15329952.0,2.857825560649389e-05
2024-08-09,10:11:34,0.3012,25.81,25.75,3245,15329952.0,2.857825560649389e-05
2024-08-09,10:11:34,0.3058,25.81,25.75,3246,15329952.0,2.853258327730228e-05
2024-08-09,10:11:34,0.3104,25.81,25.75,3246,15329952.0,2.853258327730228e-05
2024-08-09,10:11:34,0.3151,25.81,25.75,3245,15329952.0,2.857825560649389e-05
2024-08-09,10:11:34,0.3197,25.81,25.75,3244,15329953.0,2.862400104373998e-05
2024-08-09,10:11:34,0.3243,25.81,25.75,3244,15329953.0,2.862400104373998e-05
2024-08-09,10:11:34,0.3289,25.81,25.75,3245,15329952.0,2.857825560649389e-05
2024-08-09,10:11:34,0.3334,25.81,25.75,3246,15329952.0,2.853258327730228e-05
2024-08-09,10:11:34,0.3426,25.81,25.75,3244,15329952.0,2.862400104373998e-05
2024-08-09,10:11:34,0.3472,25.81,25.75,3244,15329952.0,2.862400104373998e-05
2024-08-09,10:11:34,0.3519,25.81,25.75,3244,15329952.0,2.862400104373998e-05
2024-08-09,10:11:34,0.3564,25.81,25.75,3245,15329952.0,2.857825560649389e-05
2024-08-09,10:11:34,0.3611,25.81,25.75,3245,15329952.0,2.857825560649389e-05
2024-08-09,10:11:34,0.3657,25.81,25.75,3245,15329952.0,2.857825560649389e-05
2024-08-09,10:11:34,0.3703,25.81,25.75,3245,15329952.0,2.857825560649389e-05
2024-08-09,10:11:34,0.3749,25.81,25.75,3245,15329952.0,2.857825560649389e-05
2024-08-09,10:11:34,0.3795,25.81,25.75,3246,15329952.0,2.853258327730228e-05
2024-08-09,10:11:34,0.384,25.81,25.75,3245,15329952.0,2.857825560649389e-05
2024-08-09,10:11:34,0.3887,25.81,25.75,3245,15329953.0,2.857825560649389e-05
2024-08-09,10:11:34,0.3933,25.81,25.75,3246,15329952.0,2.853258327730228e-05
2024-08-09,10:11:34,0.3979,25.81,25.75,3246,15329952.0,2.853258327730228e-05
2024-08-09,10:11:34,0.4025,25.81,25.75,3246,15329952.0,2.853258327730228e-05
2024-08-09,10:11:34,0.407,25.81,25.75,3245,15329952.0,2.857825560649389e-05
2024-08-09,10:11:34,0.4162,25.81,25.75,3245,15329952.0,2.857825560649389e-05
2024-08-09,10:11:34,0.4208,25.81,25.75,3245,15329952.0,2.857825560649389e-05
2024-08-09,10:11:34,0.4255,25.81,25.75,3245,15329952.0,2.857825560649389e-05
2024-08-09,10:11:34,0.43,25.81,25.75,3245,15329952.0,2.857825560649389e-05
2024-08-09,10:11:34,0.4346,25.81,25.75,3246,15329952.0,2.853258327730228e-05
