Date,Time,Relative_time,Ambient,Temperature,Peak Magnitude (RAW),Resonance_Frequency,Dissipation
2024-08-20,09:55:59,0.0542,26.56,25.0,3210,14987900.0,3.022369190663609e-05
2024-08-20,09:55:59,0.0823,26.56,25.0,3178,14988261.0,3.181086234848457e-05
2024-08-20,09:55:59,0.1129,26.56,25.0,3201,14988177.0,3.066190392482741e-05
2024-08-20,09:55:59,0.1174,26.56,25.0,3197,14988178.0,3.085869880931473e-05
2024-08-20,09:55:59,0.122,26.56,25.0,3197,14988178.0,3.085869880931473e-05
2024-08-20,09:55:59,0.1266,26.56,25.0,3198,14988178.0,3.080938199061697e-05
2024-08-20,09:55:59,0.1311,26.56,25.0,3199,14988178.0,3.076014398757577e-05
2024-08-20,09:55:59,0.1356,26.56,25.0,3198,14988178.0,3.080938199061697e-05
2024-08-20,09:55:59,0.1401,26.56,25.0,3198,14988178.0,3.080938199061697e-05
2024-08-20,09:55:59,0.1446,26.56,25.0,3199,14988178.0,3.076014398757577e-05
2024-08-20,09:55:59,0.1492,26.56,25.0,3198,14988178.0,3.080938199061697e-05
2024-08-20,09:55:59,0.1536,26.56,25.0,3197,14988179.0,3.085869880931473e-05
2024-08-20,09:55:59,0.1581,26.56,25.0,3198,14988179.0,3.080938199061697e-05
2024-08-20,09:55:59,0.1627,26.56,25.0,3199,14988178.0,3.076014398757577e-05
2024-08-20,09:55:59,0.1672,26.56,25.0,3198,14988178.0,3.080938199061697e-05
2024-08-20,09:55:59,0.1717,26.56,25.0,3197,14988178.0,3.085869880931473e-05
2024-08-20,09:55:59,0.1763,26.56,25.0,3198,14988179.0,3.080938199061697e-05
2024-08-20,09:55:59,0.1808,26.56,25.0,3198,14988179.0,3.080938199061697e-05
2024-08-20,09:55:59,0.1853,26.56,25.0,3198,14988179.0,3.080938199061697e-05
2024-08-20,09:55:59,0.1899,26.56,25.0,3198,14988178.0,3.080938199061697e-05
2024-08-20,09:55:59,0.1944,26.56,25.0,3198,14988178.0,3.080938199061697e-05
2024-08-20,09:55:59,0.1988,26.56,25.0,3198,14988179.0,3.080938199061697e-05
2024-08-20,09:55:59,0.2033,26.56,25.0,3198,14988178.0,3.080938199061697e-05
2024-08-20,09:55:59,0.2078,26.56,25.0,3199,14988178.0,3.076014398757577e-05
2024-08-20,09:55:59,0.2124,26.56,25.0,3199,14988178.0,3.076014398757577e-05
2024-08-20,09:55:59,0.2169,26.56,25.0,3199,14988178.0,3.076014398757577e-05
2024-08-20,09:55:59,0.2214,26.56,25.0,3199,14988178.0,3.076014398757577e-05
2024-08-20,09:55:59,0.2258,26.56,25.0,3198,14988178.0,3.080938199061697e-05
2024-08-20,09:55:59,0.2303,26.56,25.0,3197,14988178.0,3.085869880931473e-05
2024-08-20,09:55:59,0.2349,26.56,25.0,3198,14988178.0,3.080938199061697e-05
2024-08-20,09:55:59,0.2394,26.56,25.0,3199,14988178.0,3.076014398757577e-05
