Date,Time,Relative_time,Ambient,Temperature,Peak Magnitude (RAW),Resonance_Frequency,Dissipation
2024-09-09,11:00:46,0.0542,26.19,25.25,3178,15063395.0,3.181086234848457e-05
2024-09-09,11:00:46,0.0822,26.19,25.25,3149,15063752.0,3.332111327283457e-05
2024-09-09,11:00:46,0.1129,26.19,25.25,3171,15063662.0,3.216901786062761e-05
2024-09-09,11:00:46,0.1174,26.19,25.25,3167,15063663.0,3.237548573586047e-05
2024-09-09,11:00:46,0.122,26.19,25.25,3167,15063663.0,3.237548573586047e-05
2024-09-09,11:00:46,0.1265,26.19,25.25,3167,15063663.0,3.237548573586047e-05
2024-09-09,11:00:46,0.1311,26.19,25.25,3167,15063663.0,3.237548573586047e-05
2024-09-09,11:00:46,0.1356,26.19,25.25,3167,15063663.0,3.237548573586047e-05
2024-09-09,11:00:46,0.1402,26.19,25.25,3167,15063663.0,3.237548573586047e-05
2024-09-09,11:00:46,0.1448,26.19,25.25,3167,15063663.0,3.237548573586047e-05
2024-09-09,11:00:46,0.1494,26.19,25.25,3167,15063663.0,3.237548573586047e-05
2024-09-09,11:00:46,0.1538,26.19,25.25,3168,15063663.0,3.232374486466711e-05
2024-09-09,11:00:46,0.1584,26.19,25.25,3168,15063663.0,3.232374486466711e-05
2024-09-09,11:00:46,0.163,26.19,25.25,3167,15063663.0,3.237548573586047e-05
2024-09-09,11:00:46,0.1675,26.19,25.25,3167,15063663.0,3.237548573586047e-05
2024-09-09,11:00:46,0.1721,26.19,25.25,3167,15063663.0,3.237548573586047e-05
2024-09-09,11:00:46,0.1767,26.19,25.25,3168,15063663.0,3.232374486466711e-05
2024-09-09,11:00:46,0.1812,26.19,25.25,3168,15063663.0,3.232374486466711e-05
2024-09-09,11:00:46,0.1857,26.19,25.25,3167,15063663.0,3.237548573586047e-05
2024-09-09,11:00:46,0.1903,26.19,25.25,3167,15063663.0,3.237548573586047e-05
2024-09-09,11:00:46,0.1949,26.19,25.25,3167,15063663.0,3.237548573586047e-05
2024-09-09,11:00:46,0.1994,26.19,25.25,3168,15063663.0,3.232374486466711e-05
2024-09-09,11:00:46,0.204,26.19,25.25,3169,15063663.0,3.227208668312896e-05
2024-09-09,11:00:46,0.2085,26.19,25.25,3168,15063663.0,3.232374486466711e-05
2024-09-09,11:00:46,0.2131,26.19,25.25,3168,15063663.0,3.232374486466711e-05
2024-09-09,11:00:46,0.2176,26.19,25.25,3168,15063663.0,3.232374486466711e-05
2024-09-09,11:00:46,0.2222,26.19,25.25,3167,15063663.0,3.237548573586047e-05
2024-09-09,11:00:46,0.2267,26.19,25.25,3167,15063663.0,3.237548573586047e-05
2024-09-09,11:00:46,0.2312,26.19,25.25,3168,15063663.0,3.232374486466711e-05
2024-09-09,11:00:46,0.2358,26.19,25.25,3168,15063663.0,3.232374486466711e-05
2024-09-09,11:00:46,0.2404,26.19,25.25,3168,15063663.0,3.232374486466711e-05
2024-09-09,11:00:46,0.2449,26.19,25.25,3168,15063663.0,3.232374486466711e-05
2024-09-09,11:00:46,0.2494,26.19,25.25,3167,15063663.0,3.237548573586047e-05
2024-09-09,11:00:46,0.254,26.19,25.25,3167,15063663.0,3.237548573586047e-05
2024-09-09,11:00:46,0.2585,26.19,25.25,3167,15063663.0,3.237548573586047e-05
2024-09-09,11:00:46,0.2631,26.19,25.25,3167,15063663.0,3.237548573586047e-05
2024-09-09,11:00:46,0.2676,26.19,25.25,3167,15063663.0,3.237548573586047e-05
2024-09-09,11:00:46,0.2722,26.19,25.25,3167,15063662.0,3.237548573586047e-05
2024-09-09,11:00:46,0.2767,26.19,25.25,3168,15063663.0,3.232374486466711e-05
2024-09-09,11:00:46,0.2813,26.19,25.25,3168,15063663.0,3.232374486466711e-05
2024-09-09,11:00:46,0.2858,26.19,25.25,3168,15063663.0,3.232374486466711e-05
2024-09-09,11:00:46,0.2904,26.19,25.25,3168,15063663.0,3.232374486466711e-05
2024-09-09,11:00:46,0.295,26.19,25.25,3167,15063663.0,3.237548573586047e-05
2024-09-09,11:00:46,0.2995,26.19,25.25,3167,15063663.0,3.237548573586047e-05
2024-09-09,11:00:46,0.3041,26.19,25.25,3168,15063663.0,3.232374486466711e-05
2024-09-09,11:00:46,0.3086,26.19,25.25,3169,15063663.0,3.227208668312896e-05
2024-09-09,11:00:46,0.3131,26.19,25.25,3169,15063663.0,3.227208668312896e-05
2024-09-09,11:00:46,0.3177,26.19,25.25,3168,15063663.0,3.232374486466711e-05
2024-09-09,11:00:46,0.3222,26.19,25.25,3168,15063663.0,3.232374486466711e-05
2024-09-09,11:00:46,0.3268,26.19,25.25,3169,15063662.0,3.227208668312896e-05
2024-09-09,11:00:46,0.3313,26.19,25.25,3169,15063663.0,3.227208668312896e-05
2024-09-09,11:00:46,0.3359,26.19,25.25,3168,15063663.0,3.232374486466711e-05
2024-09-09,11:00:46,0.3404,26.19,25.25,3168,15063663.0,3.232374486466711e-05
2024-09-09,11:00:46,0.345,26.19,25.25,3169,15063662.0,3.227208668312896e-05
2024-09-09,11:00:46,0.3495,26.19,25.25,3169,15063663.0,3.227208668312896e-05
2024-09-09,11:00:46,0.3541,26.19,25.25,3169,15063663.0,3.227208668312896e-05
2024-09-09,11:00:46,0.3586,26.19,25.25,3168,15063662.0,3.232374486466711e-05
2024-09-09,11:00:46,0.3632,26.19,25.25,3168,15063663.0,3.232374486466711e-05
2024-09-09,11:00:46,0.3678,26.19,25.25,3169,15063663.0,3.227208668312896e-05
2024-09-09,11:00:46,0.3723,26.19,25.25,3169,15063663.0,3.227208668312896e-05
2024-09-09,11:00:46,0.3768,26.19,25.25,3169,15063663.0,3.227208668312896e-05
2024-09-09,11:00:46,0.3814,26.19,25.25,3168,15063663.0,3.232374486466711e-05
2024-09-09,11:00:46,0.386,26.19,25.25,3168,15063663.0,3.232374486466711e-05
2024-09-09,11:00:46,0.3905,26.19,25.25,3168,15063663.0,3.232374486466711e-05
2024-09-09,11:00:46,0.395,26.19,25.25,3168,15063663.0,3.232374486466711e-05
2024-09-09,11:00:46,0.3996,26.19,25.25,3169,15063663.0,3.227208668312896e-05
2024-09-09,11:00:46,0.4041,26.19,25.25,3169,15063663.0,3.227208668312896e-05
2024-09-09,11:00:46,0.4087,26.19,25.25,3168,15063663.0,3.232374486466711e-05
2024-09-09,11:00:46,0.4132,26.19,25.25,3168,15063663.0,3.232374486466711e-05
2024-09-09,11:00:46,0.4178,26.19,25.25,3168,15063663.0,3.232374486466711e-05
2024-09-09,11:00:46,0.4223,26.19,25.25,3168,15063663.0,3.232374486466711e-05
2024-09-09,11:00:46,0.4269,26.19,25.25,3169,15063663.0,3.227208668312896e-05
2024-09-09,11:00:46,0.4315,26.19,25.25,3169,15063663.0,3.227208668312896e-05
2024-09-09,11:00:46,0.436,26.19,25.25,3168,15063663.0,3.232374486466711e-05
2024-09-09,11:00:46,0.4405,26.19,25.25,3168,15063663.0,3.232374486466711e-05
2024-09-09,11:00:46,0.4451,26.19,25.25,3168,15063663.0,3.232374486466711e-05
2024-09-09,11:00:46,0.4497,26.19,25.25,3168,15063663.0,3.232374486466711e-05
2024-09-09,11:00:46,0.4542,26.19,25.25,3168,15063663.0,3.232374486466711e-05
2024-09-09,11:00:46,0.4587,26.19,25.25,3168,15063663.0,3.232374486466711e-05
2024-09-09,11:00:46,0.4633,26.19,25.25,3168,15063663.0,3.232374486466711e-05
2024-09-09,11:00:46,0.4678,26.19,25.25,3167,15063662.0,3.237548573586047e-05
2024-09-09,11:00:46,0.4724,26.19,25.25,3167,15063662.0,3.237548573586047e-05
2024-09-09,11:00:46,0.4769,26.19,25.25,3168,15063663.0,3.232374486466711e-05
2024-09-09,11:00:46,0.4814,26.19,25.25,3168,15063663.0,3.232374486466711e-05
2024-09-09,11:00:46,0.486,26.19,25.25,3167,15063662.0,3.237548573586047e-05
2024-09-09,11:00:46,0.4906,26.19,25.25,3167,15063662.0,3.237548573586047e-05
2024-09-09,11:00:46,0.4951,26.19,25.25,3168,15063662.0,3.232374486466711e-05
2024-09-09,11:00:46,0.4996,26.19,25.25,3168,15063662.0,3.232374486466711e-05
2024-09-09,11:00:46,0.5042,26.19,25.25,3168,15063663.0,3.232374486466711e-05
2024-09-09,11:00:46,0.5088,26.19,25.25,3168,15063663.0,3.232374486466711e-05
2024-09-09,11:00:46,0.5133,26.19,25.25,3168,15063662.0,3.232374486466711e-05
2024-09-09,11:00:46,0.5179,26.19,25.25,3168,15063662.0,3.232374486466711e-05
2024-09-09,11:00:46,0.5224,26.19,25.25,3168,15063662.0,3.232374486466711e-05
2024-09-09,11:00:46,0.527,26.19,25.25,3168,15063662.0,3.232374486466711e-05
2024-09-09,11:00:46,0.5315,26.19,25.25,3168,15063662.0,3.232374486466711e-05
2024-09-09,11:00:46,0.536,26.19,25.25,3169,15063662.0,3.227208668312896e-05
2024-09-09,11:00:46,0.5451,26.19,25.25,3169,15063663.0,3.227208668312896e-05
2024-09-09,11:00:46,0.5497,26.19,25.25,3169,15063662.0,3.227208668312896e-05
2024-09-09,11:00:46,0.5542,26.19,25.25,3168,15063663.0,3.232374486466711e-05
2024-09-09,11:00:46,0.5588,26.19,25.25,3167,15063662.0,3.237548573586047e-05
2024-09-09,11:00:46,0.5633,26.19,25.25,3167,15063662.0,3.237548573586047e-05
2024-09-09,11:00:46,0.5679,26.19,25.25,3168,15063662.0,3.232374486466711e-05
2024-09-09,11:00:46,0.5725,26.19,25.25,3168,15063662.0,3.232374486466711e-05
2024-09-09,11:00:46,0.577,26.19,25.25,3168,15063662.0,3.232374486466711e-05
2024-09-09,11:00:46,0.5816,26.19,25.25,3168,15063662.0,3.232374486466711e-05
2024-09-09,11:00:46,0.5861,26.19,25.25,3168,15063662.0,3.232374486466711e-05
2024-09-09,11:00:46,0.5907,26.19,25.25,3168,15063662.0,3.232374486466711e-05
2024-09-09,11:00:46,0.5952,26.19,25.25,3168,15063662.0,3.232374486466711e-05
2024-09-09,11:00:46,0.5998,26.19,25.25,3168,15063662.0,3.232374486466711e-05
2024-09-09,11:00:46,0.6043,26.19,25.25,3168,15063662.0,3.232374486466711e-05
2024-09-09,11:00:46,0.6088,26.19,25.25,3168,15063662.0,3.232374486466711e-05
2024-09-09,11:00:46,0.6134,26.19,25.25,3168,15063662.0,3.232374486466711e-05
2024-09-09,11:00:46,0.6179,26.19,25.25,3168,15063662.0,3.232374486466711e-05
