Date,Time,Relative_time,Ambient,Temperature,Peak Magnitude (RAW),Resonance_Frequency,Dissipation
2024-03-01,14:26:27,0.0528,27.62,25.5,3349,15021202.0,2.419886225103929e-05
2024-03-01,14:26:27,0.0808,27.62,25.5,3360,15021533.0,2.377683789327991e-05
2024-03-01,14:26:27,0.1119,27.62,25.5,3421,15021482.0,2.156662105243612e-05
2024-03-01,14:26:27,0.1177,27.62,25.5,3422,15021481.0,2.153215436455215e-05
2024-03-01,14:26:27,0.1236,27.62,25.5,3422,15021481.0,2.153215436455215e-05
2024-03-01,14:26:27,0.1295,27.62,25.5,3423,15021481.0,2.149774275959337e-05
2024-03-01,14:26:27,0.1352,27.62,25.5,3423,15021481.0,2.149774275959337e-05
2024-03-01,14:26:27,0.141,27.62,25.5,3423,15021481.0,2.149774275959337e-05
2024-03-01,14:26:27,0.1467,27.62,25.5,3423,15021481.0,2.149774275959337e-05
2024-03-01,14:26:27,0.1526,27.62,25.5,3423,15021481.0,2.149774275959337e-05
2024-03-01,14:26:27,0.1585,27.62,25.5,3423,15021481.0,2.149774275959337e-05
2024-03-01,14:26:27,0.1643,27.62,25.5,3422,15021481.0,2.153215436455215e-05
2024-03-01,14:26:27,0.1702,27.62,25.5,3421,15021481.0,2.156662105243612e-05
2024-03-01,14:26:27,0.1761,27.62,25.5,3421,15021481.0,2.156662105243612e-05
2024-03-01,14:26:27,0.1818,27.62,25.5,3422,15021481.0,2.153215436455215e-05
2024-03-01,14:26:27,0.1876,27.62,25.5,3424,15021481.0,2.146338614952898e-05
2024-03-01,14:26:27,0.1933,27.62,25.5,3424,15021480.0,2.146338614952898e-05
2024-03-01,14:26:27,0.1992,27.62,25.5,3423,15021481.0,2.149774275959337e-05
2024-03-01,14:26:27,0.2051,27.62,25.5,3423,15021481.0,2.149774275959337e-05
2024-03-01,14:26:27,0.2109,27.62,25.5,3422,15021481.0,2.153215436455215e-05
2024-03-01,14:26:27,0.2166,27.62,25.5,3422,15021481.0,2.153215436455215e-05
2024-03-01,14:26:27,0.2225,27.62,25.5,3423,15021481.0,2.149774275959337e-05
2024-03-01,14:26:27,0.2284,27.62,25.5,3423,15021481.0,2.149774275959337e-05
2024-03-01,14:26:27,0.2342,27.62,25.5,3422,15021481.0,2.153215436455215e-05
2024-03-01,14:26:27,0.2399,27.62,25.5,3422,15021481.0,2.153215436455215e-05
2024-03-01,14:26:27,0.2457,27.62,25.5,3422,15021481.0,2.153215436455215e-05
2024-03-01,14:26:27,0.2515,27.62,25.5,3421,15021481.0,2.156662105243612e-05
2024-03-01,14:26:27,0.2573,27.62,25.5,3421,15021481.0,2.156662105243612e-05
2024-03-01,14:26:27,0.2632,27.62,25.5,3422,15021481.0,2.153215436455215e-05
2024-03-01,14:26:27,0.269,27.62,25.5,3423,15021481.0,2.149774275959337e-05
