Date,Time,Relative_time,Ambient,Temperature,Peak Magnitude (RAW),Resonance_Frequency,Dissipation
2024-07-17,15:08:08,0.0542,26.06,25.5,3236,15018986.0,2.899261051404105e-05
2024-07-17,15:08:08,0.0823,26.06,25.5,3205,15019348.0,3.046636405847287e-05
2024-07-17,15:08:08,0.113,26.06,25.5,3229,15019262.0,2.931903559341381e-05
2024-07-17,15:08:08,0.1175,26.06,25.5,3225,15019263.0,2.950721165179008e-05
2024-07-17,15:08:08,0.1221,26.06,25.5,3225,15019263.0,2.950721165179008e-05
2024-07-17,15:08:08,0.1267,26.06,25.5,3226,15019263.0,2.946005471181993e-05
2024-07-17,15:08:08,0.1312,26.06,25.5,3226,15019263.0,2.946005471181993e-05
2024-07-17,15:08:08,0.1357,26.06,25.5,3226,15019263.0,2.946005471181993e-05
2024-07-17,15:08:08,0.1403,26.06,25.5,3226,15019263.0,2.946005471181993e-05
2024-07-17,15:08:08,0.1449,26.06,25.5,3226,15019263.0,2.946005471181993e-05
2024-07-17,15:08:08,0.1494,26.06,25.5,3227,15019263.0,2.941297313569691e-05
2024-07-17,15:08:08,0.154,26.06,25.5,3226,15019263.0,2.946005471181993e-05
2024-07-17,15:08:08,0.1586,26.06,25.5,3225,15019263.0,2.950721165179008e-05
2024-07-17,15:08:08,0.1631,26.06,25.5,3226,15019263.0,2.946005471181993e-05
2024-07-17,15:08:08,0.1677,26.06,25.5,3227,15019263.0,2.941297313569691e-05
2024-07-17,15:08:08,0.1721,26.06,25.5,3227,15019263.0,2.941297313569691e-05
2024-07-17,15:08:08,0.1766,26.06,25.5,3227,15019263.0,2.941297313569691e-05
2024-07-17,15:08:08,0.1812,26.06,25.5,3226,15019264.0,2.946005471181993e-05
2024-07-17,15:08:08,0.1858,26.06,25.5,3226,15019264.0,2.946005471181993e-05
2024-07-17,15:08:08,0.1903,26.06,25.5,3226,15019264.0,2.946005471181993e-05
2024-07-17,15:08:08,0.1948,26.06,25.5,3226,15019263.0,2.946005471181993e-05
2024-07-17,15:08:08,0.1994,26.06,25.5,3227,15019263.0,2.941297313569691e-05
2024-07-17,15:08:08,0.204,26.06,25.5,3227,15019263.0,2.941297313569691e-05
2024-07-17,15:08:08,0.2086,26.06,25.5,3226,15019263.0,2.946005471181993e-05
2024-07-17,15:08:08,0.2131,26.06,25.5,3226,15019264.0,2.946005471181993e-05
2024-07-17,15:08:08,0.2176,26.06,25.5,3227,15019263.0,2.941297313569691e-05
2024-07-17,15:08:08,0.2222,26.06,25.5,3227,15019263.0,2.941297313569691e-05
2024-07-17,15:08:08,0.2268,26.06,25.5,3226,15019263.0,2.946005471181993e-05
2024-07-17,15:08:08,0.2313,26.06,25.5,3226,15019264.0,2.946005471181993e-05
2024-07-17,15:08:08,0.2358,26.06,25.5,3227,15019264.0,2.941297313569691e-05
2024-07-17,15:08:08,0.2404,26.06,25.5,3226,15019263.0,2.946005471181993e-05
2024-07-17,15:08:08,0.245,26.06,25.5,3225,15019263.0,2.950721165179008e-05
2024-07-17,15:08:08,0.2495,26.06,25.5,3225,15019263.0,2.950721165179008e-05
2024-07-17,15:08:08,0.2539,26.06,25.5,3226,15019263.0,2.946005471181993e-05
2024-07-17,15:08:08,0.2585,26.06,25.5,3226,15019263.0,2.946005471181993e-05
2024-07-17,15:08:08,0.2632,26.06,25.5,3226,15019263.0,2.946005471181993e-05
2024-07-17,15:08:08,0.2676,26.06,25.5,3227,15019263.0,2.941297313569691e-05
2024-07-17,15:08:08,0.2721,26.06,25.5,3227,15019263.0,2.941297313569691e-05
2024-07-17,15:08:08,0.2767,26.06,25.5,3227,15019264.0,2.941297313569691e-05
