Date,Time,Relative_time,Ambient,Temperature,Peak Magnitude (RAW),Resonance_Frequency,Dissipation
2024-02-12,13:53:43,0.0516,28.56,25.0,3239,15062164.0,2.885382895321314e-05
2024-02-12,13:53:43,0.08,28.56,25.0,3302,15062398.0,2.608808602933685e-05
2024-02-12,13:53:43,0.1123,28.56,25.0,3398,15062407.0,2.237476235340585e-05
2024-02-12,13:53:43,0.1193,28.56,25.0,3398,15062407.0,2.237476235340585e-05
2024-02-12,13:53:43,0.1263,28.56,25.0,3399,15062407.0,2.23390041347847e-05
2024-02-12,13:53:43,0.1332,28.56,25.0,3399,15062407.0,2.23390041347847e-05
2024-02-12,13:53:43,0.14,28.56,25.0,3399,15062407.0,2.23390041347847e-05
2024-02-12,13:53:43,0.1468,28.56,25.0,3399,15062407.0,2.23390041347847e-05
2024-02-12,13:53:43,0.1537,28.56,25.0,3399,15062407.0,2.23390041347847e-05
2024-02-12,13:53:43,0.1605,28.56,25.0,3399,15062407.0,2.23390041347847e-05
2024-02-12,13:53:43,0.1674,28.56,25.0,3399,15062407.0,2.23390041347847e-05
2024-02-12,13:53:43,0.1742,28.56,25.0,3399,15062407.0,2.23390041347847e-05
2024-02-12,13:53:43,0.181,28.56,25.0,3399,15062407.0,2.23390041347847e-05
2024-02-12,13:53:43,0.1878,28.56,25.0,3399,15062407.0,2.23390041347847e-05
2024-02-12,13:53:43,0.1948,28.56,25.0,3399,15062407.0,2.23390041347847e-05
2024-02-12,13:53:43,0.2016,28.56,25.0,3399,15062407.0,2.23390041347847e-05
2024-02-12,13:53:43,0.2084,28.56,25.0,3399,15062408.0,2.23390041347847e-05
2024-02-12,13:53:43,0.2152,28.56,25.0,3399,15062408.0,2.23390041347847e-05
2024-02-12,13:53:43,0.2221,28.56,25.0,3399,15062407.0,2.23390041347847e-05
2024-02-12,13:53:43,0.2289,28.56,25.0,3398,15062408.0,2.237476235340585e-05
2024-02-12,13:53:43,0.2358,28.56,25.0,3398,15062408.0,2.237476235340585e-05
2024-02-12,13:53:43,0.2426,28.56,25.0,3399,15062408.0,2.23390041347847e-05
2024-02-12,13:53:43,0.2493,28.56,25.0,3399,15062407.0,2.23390041347847e-05
2024-02-12,13:53:43,0.2562,28.56,25.0,3399,15062407.0,2.23390041347847e-05
2024-02-12,13:53:43,0.2631,28.56,25.0,3399,15062408.0,2.23390041347847e-05
2024-02-12,13:53:43,0.27,28.56,25.0,3398,15062408.0,2.237476235340585e-05
2024-02-12,13:53:43,0.2768,28.56,25.0,3398,15062408.0,2.237476235340585e-05
2024-02-12,13:53:43,0.2837,28.56,25.0,3399,15062408.0,2.23390041347847e-05
2024-02-12,13:53:43,0.2906,28.56,25.0,3399,15062408.0,2.23390041347847e-05
2024-02-12,13:53:43,0.2973,28.56,25.0,3398,15062408.0,2.237476235340585e-05
2024-02-12,13:53:43,0.3042,28.56,25.0,3398,15062408.0,2.237476235340585e-05
2024-02-12,13:53:43,0.3111,28.56,25.0,3399,15062408.0,2.23390041347847e-05
2024-02-12,13:53:43,0.3179,28.56,25.0,3399,15062408.0,2.23390041347847e-05
2024-02-12,13:53:43,0.3246,28.56,25.0,3399,15062408.0,2.23390041347847e-05
2024-02-12,13:53:43,0.3315,28.56,25.0,3399,15062408.0,2.23390041347847e-05
2024-02-12,13:53:43,0.3383,28.56,25.0,3399,15062408.0,2.23390041347847e-05
2024-02-12,13:53:43,0.3452,28.56,25.0,3399,15062408.0,2.23390041347847e-05
2024-02-12,13:53:43,0.352,28.56,25.0,3398,15062408.0,2.237476235340585e-05
2024-02-12,13:53:43,0.3589,28.56,25.0,3398,15062408.0,2.237476235340585e-05
2024-02-12,13:53:43,0.3658,28.56,25.0,3399,15062407.0,2.23390041347847e-05
2024-02-12,13:53:43,0.3725,28.56,25.0,3399,15062406.0,2.23390041347847e-05
2024-02-12,13:53:43,0.3793,28.56,25.0,3399,15062408.0,2.23390041347847e-05
2024-02-12,13:53:43,0.3861,28.56,25.0,3399,15062408.0,2.23390041347847e-05
2024-02-12,13:53:43,0.393,28.56,25.0,3399,15062408.0,2.23390041347847e-05
2024-02-12,13:53:43,0.3999,28.56,25.0,3399,15062408.0,2.23390041347847e-05
2024-02-12,13:53:43,0.4067,28.56,25.0,3399,15062408.0,2.23390041347847e-05
2024-02-12,13:53:43,0.4134,28.56,25.0,3399,15062408.0,2.23390041347847e-05
2024-02-12,13:53:43,0.4203,28.56,25.0,3399,15062408.0,2.23390041347847e-05
2024-02-12,13:53:43,0.4271,28.56,25.0,3399,15062408.0,2.23390041347847e-05
2024-02-12,13:53:43,0.434,28.56,25.0,3398,15062408.0,2.237476235340585e-05
2024-02-12,13:53:43,0.4408,28.56,25.0,3398,15062409.0,2.237476235340585e-05
2024-02-12,13:53:43,0.4477,28.56,25.0,3399,15062408.0,2.23390041347847e-05
2024-02-12,13:53:43,0.4545,28.56,25.0,3399,15062408.0,2.23390041347847e-05
2024-02-12,13:53:43,0.4613,28.56,25.0,3399,15062408.0,2.23390041347847e-05
2024-02-12,13:53:43,0.4682,28.56,25.0,3399,15062408.0,2.23390041347847e-05
2024-02-12,13:53:43,0.4751,28.56,25.0,3398,15062408.0,2.237476235340585e-05
2024-02-12,13:53:43,0.4819,28.56,25.0,3398,15062408.0,2.237476235340585e-05
2024-02-12,13:53:43,0.4887,28.56,25.0,3399,15062408.0,2.23390041347847e-05
2024-02-12,13:53:43,0.4955,28.56,25.0,3399,15062408.0,2.23390041347847e-05
2024-02-12,13:53:43,0.5024,28.56,25.0,3398,15062409.0,2.237476235340585e-05
2024-02-12,13:53:43,0.5093,28.56,25.0,3398,15062408.0,2.237476235340585e-05
2024-02-12,13:53:43,0.516,28.56,25.0,3398,15062408.0,2.237476235340585e-05
2024-02-12,13:53:43,0.5229,28.56,25.0,3398,15062408.0,2.237476235340585e-05
2024-02-12,13:53:43,0.5297,28.56,25.0,3399,15062408.0,2.23390041347847e-05
2024-02-12,13:53:43,0.5365,28.56,25.0,3399,15062408.0,2.23390041347847e-05
2024-02-12,13:53:43,0.5434,28.56,25.0,3399,15062408.0,2.23390041347847e-05
2024-02-12,13:53:43,0.5501,28.56,25.0,3399,15062408.0,2.23390041347847e-05
2024-02-12,13:53:43,0.557,28.56,25.0,3399,15062408.0,2.23390041347847e-05
2024-02-12,13:53:43,0.5639,28.56,25.0,3399,15062408.0,2.23390041347847e-05
2024-02-12,13:53:43,0.5708,28.56,25.0,3399,15062408.0,2.23390041347847e-05
2024-02-12,13:53:43,0.5777,28.56,25.0,3399,15062408.0,2.23390041347847e-05
2024-02-12,13:53:43,0.5845,28.56,25.0,3399,15062408.0,2.23390041347847e-05
2024-02-12,13:53:43,0.5912,28.56,25.0,3399,15062408.0,2.23390041347847e-05
2024-02-12,13:53:43,0.5981,28.56,25.0,3399,15062408.0,2.23390041347847e-05
2024-02-12,13:53:43,0.605,28.56,25.0,3399,15062408.0,2.23390041347847e-05
2024-02-12,13:53:43,0.6118,28.56,25.0,3399,15062408.0,2.23390041347847e-05
2024-02-12,13:53:43,0.6187,28.56,25.0,3399,15062408.0,2.23390041347847e-05
2024-02-12,13:53:43,0.6255,28.56,25.0,3399,15062408.0,2.23390041347847e-05
2024-02-12,13:53:43,0.6323,28.56,25.0,3399,15062408.0,2.23390041347847e-05
2024-02-12,13:53:43,0.6391,28.56,25.0,3399,15062408.0,2.23390041347847e-05
2024-02-12,13:53:43,0.646,28.56,25.0,3399,15062408.0,2.23390041347847e-05
2024-02-12,13:53:43,0.6528,28.56,25.0,3399,15062408.0,2.23390041347847e-05
2024-02-12,13:53:43,0.6597,28.56,25.0,3399,15062408.0,2.23390041347847e-05
2024-02-12,13:53:43,0.6666,28.56,25.0,3399,15062408.0,2.23390041347847e-05
2024-02-12,13:53:43,0.6734,28.56,25.0,3399,15062408.0,2.23390041347847e-05
2024-02-12,13:53:43,0.6802,28.56,25.0,3399,15062408.0,2.23390041347847e-05
2024-02-12,13:53:43,0.687,28.56,25.0,3399,15062408.0,2.23390041347847e-05
2024-02-12,13:53:43,0.6938,28.56,25.0,3399,15062408.0,2.23390041347847e-05
2024-02-12,13:53:43,0.7007,28.56,25.0,3399,15062408.0,2.23390041347847e-05
2024-02-12,13:53:43,0.7075,28.56,25.0,3399,15062408.0,2.23390041347847e-05
2024-02-12,13:53:43,0.7142,28.56,25.0,3399,15062408.0,2.23390041347847e-05
2024-02-12,13:53:43,0.7212,28.56,25.0,3399,15062409.0,2.23390041347847e-05
2024-02-12,13:53:43,0.728,28.56,25.0,3399,15062408.0,2.23390041347847e-05
2024-02-12,13:53:43,0.7348,28.56,25.0,3399,15062408.0,2.23390041347847e-05
2024-02-12,13:53:43,0.7417,28.56,25.0,3399,15062408.0,2.23390041347847e-05
2024-02-12,13:53:43,0.7485,28.56,25.0,3398,15062408.0,2.237476235340585e-05
2024-02-12,13:53:43,0.7553,28.56,25.0,3398,15062408.0,2.237476235340585e-05
2024-02-12,13:53:43,0.7621,28.56,25.0,3399,15062408.0,2.23390041347847e-05
2024-02-12,13:53:43,0.769,28.56,25.0,3399,15062409.0,2.23390041347847e-05
2024-02-12,13:53:43,0.7759,28.56,25.0,3399,15062409.0,2.23390041347847e-05
2024-02-12,13:53:43,0.7827,28.56,25.0,3399,15062408.0,2.23390041347847e-05
2024-02-12,13:53:43,0.7896,28.56,25.0,3399,15062408.0,2.23390041347847e-05
2024-02-12,13:53:43,0.7964,28.56,25.0,3399,15062408.0,2.23390041347847e-05
2024-02-12,13:53:43,0.8031,28.56,25.0,3399,15062409.0,2.23390041347847e-05
2024-02-12,13:53:43,0.81,28.56,25.0,3399,15062409.0,2.23390041347847e-05
2024-02-12,13:53:43,0.8169,28.56,25.0,3399,15062409.0,2.23390041347847e-05
2024-02-12,13:53:43,0.8237,28.56,25.0,3399,15062409.0,2.23390041347847e-05
2024-02-12,13:53:43,0.8305,28.56,25.0,3399,15062408.0,2.23390041347847e-05
2024-02-12,13:53:43,0.8374,28.56,25.0,3399,15062408.0,2.23390041347847e-05
2024-02-12,13:53:43,0.8442,28.56,25.0,3399,15062408.0,2.23390041347847e-05
2024-02-12,13:53:43,0.8511,28.56,25.0,3399,15062408.0,2.23390041347847e-05
2024-02-12,13:53:43,0.858,28.56,25.0,3399,15062408.0,2.23390041347847e-05
2024-02-12,13:53:44,0.8648,28.56,25.0,3399,15062408.0,2.23390041347847e-05
2024-02-12,13:53:44,0.8716,28.56,25.0,3399,15062408.0,2.23390041347847e-05
2024-02-12,13:53:44,0.8783,28.56,25.0,3399,15062408.0,2.23390041347847e-05
2024-02-12,13:53:44,0.8851,28.56,25.0,3399,15062408.0,2.23390041347847e-05
2024-02-12,13:53:44,0.892,28.56,25.0,3399,15062408.0,2.23390041347847e-05
2024-02-12,13:53:44,0.8988,28.56,25.0,3399,15062409.0,2.23390041347847e-05
2024-02-12,13:53:44,0.9055,28.56,25.0,3399,15062408.0,2.23390041347847e-05
