Date,Time,Relative_time,Ambient,Temperature,Peak Magnitude (RAW),Resonance_Frequency,Dissipation
2023-06-08,09:31:48,0.0538,23.19,24.51,3098,15043346.0,3.615307687195937e-05
2023-06-08,09:31:48,0.0821,23.19,24.51,3071,15043643.0,3.774853309179975e-05
2023-06-08,09:31:48,0.1123,23.19,24.51,3078,15043566.0,3.732825774299313e-05
2023-06-08,09:31:48,0.1162,23.19,24.51,3075,15043567.0,3.750779973310336e-05
2023-06-08,09:31:48,0.1199,23.19,24.51,3074,15043566.0,3.756783876146659e-05
2023-06-08,09:31:48,0.1236,23.19,24.51,3074,15043566.0,3.756783876146659e-05
2023-06-08,09:31:48,0.1274,23.19,24.51,3074,15043566.0,3.756783876146659e-05
2023-06-08,09:31:48,0.1312,23.19,24.51,3075,15043566.0,3.750779973310336e-05
2023-06-08,09:31:48,0.135,23.19,24.51,3075,15043570.0,3.750779973310336e-05
2023-06-08,09:31:48,0.1387,23.19,24.51,3074,15043571.0,3.756783876146659e-05
2023-06-08,09:31:48,0.1425,23.19,24.51,3075,15043567.0,3.750779973310336e-05
2023-06-08,09:31:48,0.1463,23.19,24.51,3075,15043566.0,3.750779973310336e-05
2023-06-08,09:31:48,0.1501,23.19,24.51,3074,15043565.0,3.756783876146659e-05
2023-06-08,09:31:48,0.1537,23.19,24.51,3075,15043565.0,3.750779973310336e-05
2023-06-08,09:31:48,0.1574,23.19,24.51,3076,15043565.0,3.744785665609224e-05
2023-06-08,09:31:48,0.1612,23.19,24.51,3076,15043566.0,3.744785665609224e-05
2023-06-08,09:31:48,0.165,23.19,24.51,3075,15043566.0,3.750779973310336e-05
2023-06-08,09:31:48,0.1687,23.19,24.51,3074,15043566.0,3.756783876146659e-05
2023-06-08,09:31:48,0.1724,23.19,24.51,3074,15043566.0,3.756783876146659e-05
2023-06-08,09:31:48,0.1762,23.19,24.51,3074,15043566.0,3.756783876146659e-05
2023-06-08,09:31:48,0.18,23.19,24.51,3075,15043567.0,3.750779973310336e-05
2023-06-08,09:31:48,0.1838,23.19,24.51,3076,15043566.0,3.744785665609224e-05
2023-06-08,09:31:48,0.1875,23.19,24.51,3075,15043566.0,3.750779973310336e-05
2023-06-08,09:31:48,0.1913,23.19,24.51,3074,15043567.0,3.756783876146659e-05
2023-06-08,09:31:48,0.195,23.19,24.51,3074,15043566.0,3.756783876146659e-05
2023-06-08,09:31:48,0.1987,23.19,24.51,3074,15043566.0,3.756783876146659e-05
2023-06-08,09:31:48,0.2025,23.19,24.51,3074,15043566.0,3.756783876146659e-05
2023-06-08,09:31:48,0.2064,23.19,24.51,3074,15043565.0,3.756783876146659e-05
2023-06-08,09:31:48,0.2101,23.19,24.51,3073,15043566.0,3.76279738947721e-05
2023-06-08,09:31:48,0.2139,23.19,24.51,3072,15043566.0,3.768820528685573e-05
2023-06-08,09:31:48,0.2177,23.19,24.51,3076,15043568.0,3.744785665609224e-05
2023-06-08,09:31:48,0.2214,23.19,24.51,3077,15043567.0,3.73880093770887e-05
2023-06-08,09:31:48,0.2252,23.19,24.51,3074,15043566.0,3.756783876146659e-05
2023-06-08,09:31:48,0.2289,23.19,24.51,3074,15043566.0,3.756783876146659e-05
2023-06-08,09:31:48,0.2326,23.19,24.51,3073,15043566.0,3.76279738947721e-05
2023-06-08,09:31:48,0.2364,23.19,24.38,3073,15043566.0,3.76279738947721e-05
2023-06-08,09:31:48,0.2402,23.19,24.38,3074,15043566.0,3.756783876146659e-05
2023-06-08,09:31:48,0.2439,23.19,24.38,3074,15043566.0,3.756783876146659e-05
2023-06-08,09:31:48,0.2477,23.19,24.38,3074,15043567.0,3.756783876146659e-05
2023-06-08,09:31:48,0.2515,23.19,24.38,3074,15043567.0,3.756783876146659e-05
2023-06-08,09:31:48,0.2553,23.19,24.38,3074,15043567.0,3.756783876146659e-05
2023-06-08,09:31:48,0.259,23.19,24.38,3073,15043566.0,3.76279738947721e-05
2023-06-08,09:31:48,0.2628,23.19,24.38,3073,15043566.0,3.76279738947721e-05
2023-06-08,09:31:48,0.2666,23.19,24.38,3074,15043566.0,3.756783876146659e-05
2023-06-08,09:31:48,0.2703,23.19,24.38,3074,15043566.0,3.756783876146659e-05
2023-06-08,09:31:48,0.2741,23.19,24.38,3074,15043567.0,3.756783876146659e-05
2023-06-08,09:31:48,0.2779,23.19,24.38,3074,15043566.0,3.756783876146659e-05
2023-06-08,09:31:48,0.2817,23.19,24.38,3073,15043566.0,3.76279738947721e-05
2023-06-08,09:31:48,0.2854,23.19,24.38,3072,15043566.0,3.768820528685573e-05
2023-06-08,09:31:48,0.2891,23.19,24.38,3072,15043566.0,3.768820528685573e-05
2023-06-08,09:31:48,0.2929,23.19,24.38,3072,15043567.0,3.768820528685573e-05
2023-06-08,09:31:48,0.2968,23.19,24.38,3072,15043566.0,3.768820528685573e-05
2023-06-08,09:31:48,0.3005,23.19,24.38,3073,15043567.0,3.76279738947721e-05
2023-06-08,09:31:48,0.3043,23.19,24.38,3074,15043567.0,3.756783876146659e-05
2023-06-08,09:31:48,0.308,23.19,24.38,3074,15043567.0,3.756783876146659e-05
2023-06-08,09:31:48,0.3118,23.19,24.38,3074,15043566.0,3.756783876146659e-05
2023-06-08,09:31:48,0.3156,23.19,24.38,3074,15043567.0,3.756783876146659e-05
2023-06-08,09:31:48,0.3193,23.19,24.38,3073,15043567.0,3.76279738947721e-05
2023-06-08,09:31:48,0.323,23.19,24.38,3073,15043567.0,3.76279738947721e-05
2023-06-08,09:31:48,0.3267,23.19,24.38,3075,15043566.0,3.750779973310336e-05
2023-06-08,09:31:48,0.3306,23.19,24.38,3074,15043565.0,3.756783876146659e-05
2023-06-08,09:31:48,0.3343,23.19,24.38,3072,15043566.0,3.768820528685573e-05
2023-06-08,09:31:48,0.3381,23.19,24.38,3074,15043567.0,3.756783876146659e-05
2023-06-08,09:31:48,0.3418,23.19,24.38,3075,15043566.0,3.750779973310336e-05
2023-06-08,09:31:48,0.3455,23.19,24.38,3074,15043565.0,3.756783876146659e-05
2023-06-08,09:31:48,0.3494,23.19,24.38,3073,15043566.0,3.76279738947721e-05
2023-06-08,09:31:48,0.3531,23.19,24.38,3072,15043566.0,3.768820528685573e-05
2023-06-08,09:31:48,0.3569,23.19,24.38,3073,15043566.0,3.76279738947721e-05
2023-06-08,09:31:48,0.3606,23.19,24.38,3074,15043567.0,3.756783876146659e-05
2023-06-08,09:31:48,0.3644,23.19,24.38,3074,15043567.0,3.756783876146659e-05
2023-06-08,09:31:48,0.3682,23.19,24.38,3074,15043567.0,3.756783876146659e-05
2023-06-08,09:31:48,0.372,23.19,24.38,3074,15043566.0,3.756783876146659e-05
2023-06-08,09:31:48,0.3756,23.19,24.38,3074,15043566.0,3.756783876146659e-05
2023-06-08,09:31:48,0.3794,23.19,24.38,3073,15043567.0,3.76279738947721e-05
2023-06-08,09:31:48,0.3833,23.19,24.38,3073,15043567.0,3.76279738947721e-05
2023-06-08,09:31:48,0.387,23.19,24.38,3073,15043567.0,3.76279738947721e-05
2023-06-08,09:31:48,0.3908,23.19,24.38,3073,15043566.0,3.76279738947721e-05
2023-06-08,09:31:48,0.3945,23.19,24.38,3073,15043566.0,3.76279738947721e-05
2023-06-08,09:31:48,0.3982,23.19,24.38,3073,15043566.0,3.76279738947721e-05
2023-06-08,09:31:48,0.402,23.19,24.38,3073,15043567.0,3.76279738947721e-05
2023-06-08,09:31:48,0.4058,23.19,24.38,3075,15043568.0,3.750779973310336e-05
2023-06-08,09:31:48,0.4096,23.19,24.38,3077,15043567.0,3.73880093770887e-05
2023-06-08,09:31:48,0.4133,23.19,24.38,3075,15043566.0,3.750779973310336e-05
2023-06-08,09:31:48,0.417,23.19,24.38,3073,15043567.0,3.76279738947721e-05
2023-06-08,09:31:48,0.4208,23.19,24.38,3073,15043567.0,3.76279738947721e-05
2023-06-08,09:31:48,0.4245,23.19,24.38,3074,15043567.0,3.756783876146659e-05
2023-06-08,09:31:48,0.4283,23.19,24.38,3074,15043567.0,3.756783876146659e-05
2023-06-08,09:31:48,0.4321,23.19,24.38,3074,15043566.0,3.756783876146659e-05
2023-06-08,09:31:48,0.4358,23.19,24.38,3074,15043566.0,3.756783876146659e-05
2023-06-08,09:31:48,0.4395,23.19,24.38,3074,15043566.0,3.756783876146659e-05
2023-06-08,09:31:48,0.4434,23.19,24.38,3075,15043567.0,3.750779973310336e-05
2023-06-08,09:31:48,0.4472,23.19,24.38,3075,15043567.0,3.750779973310336e-05
2023-06-08,09:31:48,0.4508,23.19,24.38,3073,15043566.0,3.76279738947721e-05
2023-06-08,09:31:48,0.4546,23.19,24.38,3072,15043566.0,3.768820528685573e-05
2023-06-08,09:31:48,0.4584,23.19,24.38,3073,15043567.0,3.76279738947721e-05
2023-06-08,09:31:48,0.4622,23.19,24.38,3073,15043567.0,3.76279738947721e-05
2023-06-08,09:31:48,0.4659,23.19,24.38,3073,15043567.0,3.76279738947721e-05
2023-06-08,09:31:48,0.4698,23.19,24.38,3074,15043567.0,3.756783876146659e-05
2023-06-08,09:31:48,0.4735,23.19,24.38,3074,15043567.0,3.756783876146659e-05
2023-06-08,09:31:48,0.4772,23.19,24.38,3074,15043567.0,3.756783876146659e-05
2023-06-08,09:31:48,0.4809,23.19,24.38,3073,15043566.0,3.76279738947721e-05
2023-06-08,09:31:48,0.4847,23.19,24.38,3073,15043566.0,3.76279738947721e-05
2023-06-08,09:31:48,0.4884,23.19,24.38,3074,15043566.0,3.756783876146659e-05
2023-06-08,09:31:48,0.4922,23.19,24.38,3074,15043566.0,3.756783876146659e-05
2023-06-08,09:31:48,0.496,23.19,24.38,3074,15043567.0,3.756783876146659e-05
2023-06-08,09:31:48,0.4998,23.19,24.38,3074,15043567.0,3.756783876146659e-05
2023-06-08,09:31:48,0.5035,23.19,24.38,3074,15043567.0,3.756783876146659e-05
2023-06-08,09:31:48,0.5073,23.19,24.38,3073,15043567.0,3.76279738947721e-05
2023-06-08,09:31:48,0.5111,23.19,24.38,3073,15043567.0,3.76279738947721e-05
2023-06-08,09:31:48,0.5148,23.19,24.38,3074,15043566.0,3.756783876146659e-05
2023-06-08,09:31:48,0.5186,23.19,24.38,3074,15043566.0,3.756783876146659e-05
2023-06-08,09:31:48,0.5224,23.19,24.38,3073,15043567.0,3.76279738947721e-05
2023-06-08,09:31:48,0.5261,23.19,24.38,3073,15043567.0,3.76279738947721e-05
2023-06-08,09:31:48,0.5299,23.19,24.38,3074,15043566.0,3.756783876146659e-05
2023-06-08,09:31:48,0.5336,23.19,24.38,3074,15043566.0,3.756783876146659e-05
2023-06-08,09:31:48,0.5373,23.19,24.38,3074,15043565.0,3.756783876146659e-05
2023-06-08,09:31:48,0.5411,23.19,24.38,3073,15043564.0,3.76279738947721e-05
2023-06-08,09:31:48,0.5449,23.19,24.38,3073,15043566.0,3.76279738947721e-05
2023-06-08,09:31:48,0.5487,23.19,24.38,3074,15043566.0,3.756783876146659e-05
2023-06-08,09:31:48,0.5524,23.19,24.38,3074,15043566.0,3.756783876146659e-05
2023-06-08,09:31:48,0.5562,23.19,24.38,3074,15043566.0,3.756783876146659e-05
2023-06-08,09:31:48,0.5599,23.19,24.38,3073,15043567.0,3.76279738947721e-05
2023-06-08,09:31:48,0.5638,23.19,24.38,3073,15043568.0,3.76279738947721e-05
2023-06-08,09:31:48,0.5675,23.19,24.38,3074,15043567.0,3.756783876146659e-05
2023-06-08,09:31:48,0.5713,23.19,24.38,3074,15043567.0,3.756783876146659e-05
2023-06-08,09:31:48,0.575,23.19,24.38,3074,15043567.0,3.756783876146659e-05
2023-06-08,09:31:48,0.5788,23.19,24.38,3074,15043566.0,3.756783876146659e-05
2023-06-08,09:31:48,0.5825,23.19,24.38,3073,15043566.0,3.76279738947721e-05
2023-06-08,09:31:48,0.5862,23.19,24.38,3072,15043566.0,3.768820528685573e-05
2023-06-08,09:31:48,0.5901,23.19,24.38,3073,15043567.0,3.76279738947721e-05
2023-06-08,09:31:48,0.5939,23.19,24.38,3074,15043567.0,3.756783876146659e-05
2023-06-08,09:31:48,0.5976,23.19,24.38,3074,15043567.0,3.756783876146659e-05
2023-06-08,09:31:48,0.6013,23.19,24.38,3073,15043566.0,3.76279738947721e-05
2023-06-08,09:31:48,0.6052,23.19,24.38,3072,15043566.0,3.768820528685573e-05
2023-06-08,09:31:48,0.609,23.19,24.38,3072,15043567.0,3.768820528685573e-05
2023-06-08,09:31:48,0.6128,23.19,24.38,3072,15043567.0,3.768820528685573e-05
2023-06-08,09:31:48,0.6165,23.19,24.38,3073,15043567.0,3.76279738947721e-05
2023-06-08,09:31:48,0.6202,23.19,24.38,3073,15043567.0,3.76279738947721e-05
2023-06-08,09:31:48,0.624,23.19,24.38,3073,15043567.0,3.76279738947721e-05
2023-06-08,09:31:48,0.6278,23.19,24.38,3073,15043566.0,3.76279738947721e-05
2023-06-08,09:31:48,0.6315,23.19,24.38,3073,15043566.0,3.76279738947721e-05
2023-06-08,09:31:48,0.6353,23.19,24.38,3074,15043566.0,3.756783876146659e-05
2023-06-08,09:31:48,0.6391,23.19,24.38,3074,15043566.0,3.756783876146659e-05
2023-06-08,09:31:48,0.6428,23.19,24.38,3073,15043567.0,3.76279738947721e-05
2023-06-08,09:31:48,0.6466,23.19,24.38,3073,15043567.0,3.76279738947721e-05
2023-06-08,09:31:48,0.6503,23.19,24.38,3073,15043567.0,3.76279738947721e-05
2023-06-08,09:31:48,0.6541,23.19,24.38,3073,15043567.0,3.76279738947721e-05
2023-06-08,09:31:48,0.6578,23.19,24.38,3073,15043566.0,3.76279738947721e-05
2023-06-08,09:31:48,0.6616,23.19,24.38,3072,15043566.0,3.768820528685573e-05
2023-06-08,09:31:48,0.6654,23.19,24.38,3073,15043567.0,3.76279738947721e-05
2023-06-08,09:31:48,0.6691,23.19,24.38,3074,15043567.0,3.756783876146659e-05
2023-06-08,09:31:48,0.6729,23.19,24.38,3073,15043567.0,3.76279738947721e-05
2023-06-08,09:31:48,0.6766,23.19,24.38,3072,15043567.0,3.768820528685573e-05
2023-06-08,09:31:48,0.6804,23.19,24.38,3073,15043566.0,3.76279738947721e-05
2023-06-08,09:31:48,0.6842,23.19,24.38,3073,15043566.0,3.76279738947721e-05
2023-06-08,09:31:48,0.6879,23.19,24.38,3073,15043566.0,3.76279738947721e-05
2023-06-08,09:31:48,0.6917,23.19,24.38,3073,15043567.0,3.76279738947721e-05
2023-06-08,09:31:48,0.6954,23.19,24.38,3072,15043567.0,3.768820528685573e-05
2023-06-08,09:31:48,0.6992,23.19,24.38,3073,15043566.0,3.76279738947721e-05
2023-06-08,09:31:48,0.703,23.19,24.38,3074,15043566.0,3.756783876146659e-05
2023-06-08,09:31:48,0.7067,23.19,24.38,3073,15043567.0,3.76279738947721e-05
2023-06-08,09:31:48,0.7105,23.19,24.38,3072,15043567.0,3.768820528685573e-05
2023-06-08,09:31:48,0.7142,23.19,24.38,3072,15043566.0,3.768820528685573e-05
2023-06-08,09:31:48,0.718,23.19,24.38,3073,15043565.0,3.76279738947721e-05
2023-06-08,09:31:48,0.7218,23.19,24.38,3074,15043566.0,3.756783876146659e-05
2023-06-08,09:31:48,0.7255,23.19,24.38,3074,15043566.0,3.756783876146659e-05
2023-06-08,09:31:48,0.7293,23.19,24.38,3073,15043566.0,3.76279738947721e-05
2023-06-08,09:31:48,0.7331,23.19,24.38,3073,15043566.0,3.76279738947721e-05
2023-06-08,09:31:48,0.7368,23.19,24.31,3074,15043567.0,3.756783876146659e-05
2023-06-08,09:31:48,0.7406,23.19,24.31,3074,15043567.0,3.756783876146659e-05
2023-06-08,09:31:48,0.7444,23.19,24.31,3074,15043566.0,3.756783876146659e-05
2023-06-08,09:31:48,0.7482,23.19,24.31,3074,15043566.0,3.756783876146659e-05
2023-06-08,09:31:48,0.752,23.19,24.31,3073,15043566.0,3.76279738947721e-05
2023-06-08,09:31:48,0.7557,23.19,24.31,3072,15043567.0,3.768820528685573e-05
2023-06-08,09:31:48,0.7594,23.19,24.31,3073,15043567.0,3.76279738947721e-05
2023-06-08,09:31:48,0.7632,23.19,24.31,3075,15043567.0,3.750779973310336e-05
2023-06-08,09:31:48,0.7669,23.19,24.31,3074,15043566.0,3.756783876146659e-05
2023-06-08,09:31:48,0.7707,23.19,24.31,3073,15043566.0,3.76279738947721e-05
2023-06-08,09:31:48,0.7745,23.19,24.31,3073,15043566.0,3.76279738947721e-05
2023-06-08,09:31:48,0.7782,23.19,24.31,3073,15043566.0,3.76279738947721e-05
2023-06-08,09:31:48,0.7819,23.19,24.31,3073,15043566.0,3.76279738947721e-05
2023-06-08,09:31:48,0.7857,23.19,24.31,3073,15043566.0,3.76279738947721e-05
2023-06-08,09:31:48,0.7894,23.19,24.31,3073,15043566.0,3.76279738947721e-05
2023-06-08,09:31:48,0.7932,23.19,24.31,3072,15043567.0,3.768820528685573e-05
2023-06-08,09:31:48,0.797,23.19,24.31,3072,15043567.0,3.768820528685573e-05
2023-06-08,09:31:48,0.8007,23.19,24.31,3072,15043566.0,3.768820528685573e-05
2023-06-08,09:31:48,0.8044,23.19,24.31,3072,15043567.0,3.768820528685573e-05
2023-06-08,09:31:48,0.8082,23.19,24.31,3073,15043567.0,3.76279738947721e-05
2023-06-08,09:31:48,0.8119,23.19,24.31,3074,15043567.0,3.756783876146659e-05
2023-06-08,09:31:48,0.8157,23.19,24.31,3073,15043567.0,3.76279738947721e-05
2023-06-08,09:31:48,0.8194,23.19,24.31,3072,15043567.0,3.768820528685573e-05
2023-06-08,09:31:48,0.8232,23.19,24.31,3072,15043567.0,3.768820528685573e-05
2023-06-08,09:31:48,0.8269,23.19,24.31,3072,15043567.0,3.768820528685573e-05
2023-06-08,09:31:48,0.8307,23.19,24.31,3073,15043566.0,3.76279738947721e-05
2023-06-08,09:31:48,0.8344,23.19,24.31,3073,15043566.0,3.76279738947721e-05
2023-06-08,09:31:48,0.8382,23.19,24.31,3072,15043567.0,3.768820528685573e-05
2023-06-08,09:31:48,0.8419,23.19,24.31,3073,15043567.0,3.76279738947721e-05
2023-06-08,09:31:48,0.8494,23.19,24.31,3072,15043566.0,3.768820528685573e-05
2023-06-08,09:31:48,0.8531,23.19,24.31,3072,15043566.0,3.768820528685573e-05
2023-06-08,09:31:48,0.8569,23.19,24.31,3072,15043566.0,3.768820528685573e-05
2023-06-08,09:31:48,0.8606,23.19,24.31,3072,15043567.0,3.768820528685573e-05
2023-06-08,09:31:48,0.8644,23.19,24.31,3072,15043567.0,3.768820528685573e-05
2023-06-08,09:31:48,0.8682,23.19,24.31,3073,15043567.0,3.76279738947721e-05
2023-06-08,09:31:48,0.872,23.19,24.31,3074,15043567.0,3.756783876146659e-05
2023-06-08,09:31:48,0.8757,23.19,24.31,3074,15043567.0,3.756783876146659e-05
2023-06-08,09:31:48,0.8795,23.19,24.31,3073,15043565.0,3.76279738947721e-05
2023-06-08,09:31:48,0.8832,23.19,24.31,3072,15043566.0,3.768820528685573e-05
2023-06-08,09:31:48,0.887,23.19,24.31,3072,15043566.0,3.768820528685573e-05
2023-06-08,09:31:48,0.8908,23.19,24.31,3072,15043566.0,3.768820528685573e-05
2023-06-08,09:31:48,0.8946,23.19,24.31,3073,15043567.0,3.76279738947721e-05
2023-06-08,09:31:48,0.8983,23.19,24.31,3073,15043567.0,3.76279738947721e-05
2023-06-08,09:31:48,0.902,23.19,24.31,3074,15043568.0,3.756783876146659e-05
2023-06-08,09:31:48,0.9058,23.19,24.31,3074,15043568.0,3.756783876146659e-05
2023-06-08,09:31:48,0.9096,23.19,24.31,3072,15043567.0,3.768820528685573e-05
2023-06-08,09:31:48,0.9133,23.19,24.31,3072,15043567.0,3.768820528685573e-05
2023-06-08,09:31:48,0.9171,23.19,24.31,3072,15043566.0,3.768820528685573e-05
2023-06-08,09:31:48,0.9209,23.19,24.31,3072,15043567.0,3.768820528685573e-05
2023-06-08,09:31:48,0.9247,23.19,24.31,3072,15043567.0,3.768820528685573e-05
2023-06-08,09:31:48,0.9284,23.19,24.31,3072,15043566.0,3.768820528685573e-05
2023-06-08,09:31:48,0.9322,23.19,24.31,3072,15043566.0,3.768820528685573e-05
2023-06-08,09:31:48,0.936,23.19,24.31,3073,15043566.0,3.76279738947721e-05
2023-06-08,09:31:48,0.9398,23.19,24.31,3073,15043567.0,3.76279738947721e-05
2023-06-08,09:31:48,0.9435,23.19,24.31,3073,15043567.0,3.76279738947721e-05
2023-06-08,09:31:48,0.9473,23.19,24.31,3074,15043566.0,3.756783876146659e-05
2023-06-08,09:31:48,0.9511,23.19,24.31,3073,15043566.0,3.76279738947721e-05
2023-06-08,09:31:48,0.9549,23.19,24.31,3072,15043566.0,3.768820528685573e-05
2023-06-08,09:31:48,0.9587,23.19,24.31,3072,15043566.0,3.768820528685573e-05
2023-06-08,09:31:48,0.9625,23.19,24.31,3072,15043567.0,3.768820528685573e-05
2023-06-08,09:31:48,0.9662,23.19,24.31,3072,15043567.0,3.768820528685573e-05
2023-06-08,09:31:48,0.9699,23.19,24.31,3072,15043566.0,3.768820528685573e-05
2023-06-08,09:31:48,0.9737,23.19,24.31,3072,15043567.0,3.768820528685573e-05
2023-06-08,09:31:48,0.9774,23.19,24.31,3073,15043568.0,3.76279738947721e-05
2023-06-08,09:31:48,0.9812,23.19,24.31,3073,15043567.0,3.76279738947721e-05
2023-06-08,09:31:48,0.985,23.19,24.31,3072,15043567.0,3.768820528685573e-05
2023-06-08,09:31:48,0.9887,23.19,24.31,3072,15043567.0,3.768820528685573e-05
2023-06-08,09:31:48,0.9924,23.19,24.31,3072,15043566.0,3.768820528685573e-05
2023-06-08,09:31:48,0.9962,23.19,24.31,3072,15043566.0,3.768820528685573e-05
2023-06-08,09:31:48,1.0,23.19,24.31,3073,15043567.0,3.76279738947721e-05
2023-06-08,09:31:48,1.0037,23.19,24.31,3073,15043567.0,3.76279738947721e-05
2023-06-08,09:31:48,1.0074,23.19,24.31,3073,15043567.0,3.76279738947721e-05
2023-06-08,09:31:48,1.0112,23.19,24.31,3074,15043567.0,3.756783876146659e-05
2023-06-08,09:31:48,1.015,23.19,24.31,3073,15043567.0,3.76279738947721e-05
2023-06-08,09:31:48,1.0188,23.19,24.31,3073,15043566.0,3.76279738947721e-05
2023-06-08,09:31:48,1.0226,23.19,24.31,3074,15043566.0,3.756783876146659e-05
2023-06-08,09:31:48,1.0264,23.19,24.31,3074,15043566.0,3.756783876146659e-05
2023-06-08,09:31:48,1.0301,23.19,24.31,3073,15043566.0,3.76279738947721e-05
2023-06-08,09:31:48,1.0339,23.19,24.31,3073,15043566.0,3.76279738947721e-05
2023-06-08,09:31:48,1.0376,23.19,24.31,3073,15043567.0,3.76279738947721e-05
2023-06-08,09:31:48,1.0413,23.19,24.31,3072,15043568.0,3.768820528685573e-05
2023-06-08,09:31:48,1.0451,23.19,24.31,3072,15043567.0,3.768820528685573e-05
2023-06-08,09:31:48,1.0488,23.19,24.31,3072,15043566.0,3.768820528685573e-05
2023-06-08,09:31:48,1.0526,23.19,24.31,3072,15043566.0,3.768820528685573e-05
2023-06-08,09:31:48,1.0564,23.19,24.31,3073,15043566.0,3.76279738947721e-05
2023-06-08,09:31:48,1.0602,23.19,24.31,3073,15043567.0,3.76279738947721e-05
2023-06-08,09:31:48,1.064,23.19,24.31,3073,15043566.0,3.76279738947721e-05
2023-06-08,09:31:48,1.0677,23.19,24.31,3073,15043566.0,3.76279738947721e-05
2023-06-08,09:31:48,1.0714,23.19,24.31,3072,15043567.0,3.768820528685573e-05
2023-06-08,09:31:48,1.0751,23.19,24.31,3072,15043566.0,3.768820528685573e-05
2023-06-08,09:31:48,1.079,23.19,24.31,3072,15043566.0,3.768820528685573e-05
2023-06-08,09:31:48,1.0828,23.19,24.31,3072,15043567.0,3.768820528685573e-05
2023-06-08,09:31:48,1.0865,23.19,24.31,3072,15043566.0,3.768820528685573e-05
2023-06-08,09:31:49,1.0902,23.19,24.31,3073,15043567.0,3.76279738947721e-05
2023-06-08,09:31:49,1.094,23.19,24.31,3073,15043567.0,3.76279738947721e-05
2023-06-08,09:31:49,1.0978,23.19,24.31,3072,15043567.0,3.768820528685573e-05
2023-06-08,09:31:49,1.1015,23.19,24.31,3073,15043566.0,3.76279738947721e-05
2023-06-08,09:31:49,1.1052,23.19,24.31,3073,15043566.0,3.76279738947721e-05
2023-06-08,09:31:49,1.109,23.19,24.31,3072,15043566.0,3.768820528685573e-05
2023-06-08,09:31:49,1.1127,23.19,24.31,3072,15043566.0,3.768820528685573e-05
2023-06-08,09:31:49,1.1165,23.19,24.31,3072,15043567.0,3.768820528685573e-05
