Date,Time,Relative_time,Ambient,Temperature,Peak Magnitude (RAW),Resonance_Frequency,Dissipation
2024-02-22,11:29:24,0.052,27.38,24.25,3159,15038026.0,3.279240546100996e-05
2024-02-22,11:29:24,0.0811,27.38,24.25,3269,15038366.0,2.750203114872354e-05
2024-02-22,11:29:24,0.1156,27.38,24.25,3412,15038338.0,2.187931457002984e-05
2024-02-22,11:29:24,0.1266,27.38,24.25,3412,15038338.0,2.187931457002984e-05
2024-02-22,11:29:24,0.1378,27.38,24.25,3412,15038338.0,2.187931457002984e-05
2024-02-22,11:29:24,0.1489,27.38,24.25,3411,15038338.0,2.19143369599697e-05
2024-02-22,11:29:24,0.16,27.38,24.25,3411,15038338.0,2.19143369599697e-05
2024-02-22,11:29:24,0.1713,27.38,24.25,3411,15038337.0,2.19143369599697e-05
2024-02-22,11:29:24,0.1824,27.38,24.25,3411,15038338.0,2.19143369599697e-05
2024-02-22,11:29:24,0.1934,27.38,24.25,3411,15038339.0,2.19143369599697e-05
2024-02-22,11:29:24,0.2046,27.38,24.25,3411,15038338.0,2.19143369599697e-05
2024-02-22,11:29:24,0.2157,27.38,24.25,3411,15038338.0,2.19143369599697e-05
2024-02-22,11:29:24,0.2268,27.38,24.25,3411,15038338.0,2.19143369599697e-05
2024-02-22,11:29:24,0.238,27.38,24.25,3411,15038338.0,2.19143369599697e-05
2024-02-22,11:29:24,0.2491,27.38,24.25,3411,15038338.0,2.19143369599697e-05
2024-02-22,11:29:24,0.2602,27.38,24.25,3412,15038338.0,2.187931457002984e-05
2024-02-22,11:29:24,0.2713,27.38,24.25,3412,15038338.0,2.187931457002984e-05
2024-02-22,11:29:24,0.2824,27.38,24.25,3411,15038339.0,2.19143369599697e-05
2024-02-22,11:29:24,0.2935,27.38,24.25,3411,15038338.0,2.19143369599697e-05
2024-02-22,11:29:24,0.3047,27.38,24.25,3412,15038338.0,2.187931457002984e-05
2024-02-22,11:29:24,0.3159,27.38,24.25,3411,15038337.0,2.19143369599697e-05
2024-02-22,11:29:24,0.3271,27.38,24.25,3410,15038337.0,2.194941541052301e-05
2024-02-22,11:29:24,0.3382,27.38,24.25,3411,15038338.0,2.19143369599697e-05
2024-02-22,11:29:24,0.3495,27.38,24.25,3411,15038338.0,2.19143369599697e-05
2024-02-22,11:29:24,0.3606,27.38,24.25,3411,15038338.0,2.19143369599697e-05
2024-02-22,11:29:24,0.3717,27.38,24.25,3411,15038338.0,2.19143369599697e-05
2024-02-22,11:29:24,0.3829,27.38,24.25,3411,15038338.0,2.19143369599697e-05
2024-02-22,11:29:24,0.394,27.38,24.25,3411,15038338.0,2.19143369599697e-05
2024-02-22,11:29:24,0.4051,27.38,24.25,3411,15038338.0,2.19143369599697e-05
2024-02-22,11:29:24,0.4162,27.38,24.25,3412,15038338.0,2.187931457002984e-05
2024-02-22,11:29:24,0.4273,27.38,24.25,3412,15038338.0,2.187931457002984e-05
