Date,Time,Relative_time,Ambient,Temperature,Peak Magnitude (RAW),Resonance_Frequency,Dissipation
2024-09-04,13:29:12,0.0541,26.19,25.0,3086,15064154.0,3.685366959553251e-05
2024-09-04,13:29:12,0.082,26.19,25.0,3062,15064496.0,3.829584746097138e-05
2024-09-04,13:29:12,0.1126,26.19,25.0,3085,15064391.0,3.691266155266892e-05
2024-09-04,13:29:12,0.1172,26.19,25.0,3079,15064394.0,3.726860160095068e-05
2024-09-04,13:29:12,0.1218,26.19,25.0,3079,15064394.0,3.726860160095068e-05
2024-09-04,13:29:12,0.1264,26.19,25.0,3079,15064394.0,3.726860160095068e-05
2024-09-04,13:29:12,0.131,26.19,25.0,3079,15064394.0,3.726860160095068e-05
2024-09-04,13:29:12,0.1355,26.19,25.0,3079,15064394.0,3.726860160095068e-05
2024-09-04,13:29:12,0.1401,26.19,25.0,3079,15064394.0,3.726860160095068e-05
2024-09-04,13:29:12,0.1447,26.19,25.0,3079,15064395.0,3.726860160095068e-05
2024-09-04,13:29:12,0.1493,26.19,25.0,3080,15064395.0,3.720904079835072e-05
2024-09-04,13:29:12,0.1538,26.19,25.0,3080,15064395.0,3.720904079835072e-05
2024-09-04,13:29:12,0.1584,26.19,25.0,3080,15064395.0,3.720904079835072e-05
2024-09-04,13:29:12,0.1631,26.19,25.0,3080,15064395.0,3.720904079835072e-05
2024-09-04,13:29:12,0.1676,26.19,25.0,3079,15064395.0,3.726860160095068e-05
2024-09-04,13:29:12,0.1721,26.19,25.0,3079,15064395.0,3.726860160095068e-05
2024-09-04,13:29:12,0.1768,26.19,25.0,3080,15064395.0,3.720904079835072e-05
2024-09-04,13:29:12,0.1814,26.19,25.0,3080,15064395.0,3.720904079835072e-05
2024-09-04,13:29:12,0.1859,26.19,25.0,3080,15064395.0,3.720904079835072e-05
2024-09-04,13:29:12,0.1904,26.19,25.0,3080,15064395.0,3.720904079835072e-05
2024-09-04,13:29:12,0.1951,26.19,25.0,3080,15064395.0,3.720904079835072e-05
2024-09-04,13:29:12,0.1997,26.19,25.0,3080,15064395.0,3.720904079835072e-05
2024-09-04,13:29:12,0.2042,26.19,25.0,3080,15064395.0,3.720904079835072e-05
2024-09-04,13:29:12,0.2088,26.19,25.0,3080,15064396.0,3.720904079835072e-05
2024-09-04,13:29:12,0.2133,26.19,25.0,3080,15064396.0,3.720904079835072e-05
2024-09-04,13:29:12,0.2178,26.19,25.0,3080,15064396.0,3.720904079835072e-05
2024-09-04,13:29:12,0.2224,26.19,25.0,3080,15064396.0,3.720904079835072e-05
2024-09-04,13:29:12,0.2271,26.19,25.0,3080,15064395.0,3.720904079835072e-05
2024-09-04,13:29:12,0.2316,26.19,25.0,3080,15064395.0,3.720904079835072e-05
2024-09-04,13:29:12,0.2361,26.19,25.0,3080,15064395.0,3.720904079835072e-05
2024-09-04,13:29:12,0.2407,26.19,25.0,3080,15064396.0,3.720904079835072e-05
2024-09-04,13:29:12,0.2453,26.19,25.0,3081,15064396.0,3.714957518282662e-05
2024-09-04,13:29:12,0.2499,26.19,25.0,3081,15064396.0,3.714957518282662e-05
2024-09-04,13:29:12,0.2544,26.19,25.0,3080,15064396.0,3.720904079835072e-05
2024-09-04,13:29:12,0.259,26.19,25.0,3080,15064396.0,3.720904079835072e-05
2024-09-04,13:29:12,0.2635,26.19,25.0,3080,15064396.0,3.720904079835072e-05
