Date,Time,Relative_time,Ambient,Temperature,Peak Magnitude (RAW),Resonance_Frequency,Dissipation
2024-02-22,11:44:24,0.052,27.5,24.75,3155,14971455.0,3.300287437581e-05
2024-02-22,11:44:24,0.081,27.5,24.75,3265,14971795.0,2.767854527049332e-05
2024-02-22,11:44:24,0.1154,27.5,24.75,3410,14971772.0,2.194941541052301e-05
2024-02-22,11:44:24,0.1264,27.5,24.75,3410,14971772.0,2.194941541052301e-05
2024-02-22,11:44:24,0.1373,27.5,24.75,3410,14971772.0,2.194941541052301e-05
2024-02-22,11:44:24,0.148,27.5,24.75,3410,14971772.0,2.194941541052301e-05
2024-02-22,11:44:24,0.159,27.5,24.75,3410,14971772.0,2.194941541052301e-05
2024-02-22,11:44:24,0.1701,27.5,24.75,3410,14971772.0,2.194941541052301e-05
2024-02-22,11:44:24,0.1809,27.5,24.75,3410,14971772.0,2.194941541052301e-05
2024-02-22,11:44:24,0.1918,27.5,24.75,3410,14971773.0,2.194941541052301e-05
2024-02-22,11:44:24,0.2028,27.5,24.75,3409,14971773.0,2.198455001142646e-05
2024-02-22,11:44:24,0.2138,27.5,24.75,3409,14971773.0,2.198455001142646e-05
2024-02-22,11:44:24,0.2247,27.5,24.75,3410,14971773.0,2.194941541052301e-05
2024-02-22,11:44:24,0.2356,27.5,24.75,3410,14971773.0,2.194941541052301e-05
2024-02-22,11:44:24,0.2466,27.5,24.75,3410,14971773.0,2.194941541052301e-05
2024-02-22,11:44:24,0.2577,27.5,24.75,3411,14971773.0,2.19143369599697e-05
2024-02-22,11:44:24,0.2686,27.5,24.75,3411,14971773.0,2.19143369599697e-05
2024-02-22,11:44:24,0.2794,27.5,24.75,3410,14971773.0,2.194941541052301e-05
2024-02-22,11:44:24,0.2904,27.5,24.75,3410,14971773.0,2.194941541052301e-05
2024-02-22,11:44:24,0.3015,27.5,24.75,3410,14971773.0,2.194941541052301e-05
2024-02-22,11:44:24,0.3124,27.5,24.75,3410,14971773.0,2.194941541052301e-05
2024-02-22,11:44:24,0.3233,27.5,24.75,3410,14971773.0,2.194941541052301e-05
2024-02-22,11:44:24,0.3343,27.5,24.75,3410,14971773.0,2.194941541052301e-05
2024-02-22,11:44:24,0.3453,27.5,24.75,3410,14971773.0,2.194941541052301e-05
2024-02-22,11:44:24,0.3562,27.5,24.75,3410,14971773.0,2.194941541052301e-05
2024-02-22,11:44:24,0.367,27.5,24.75,3411,14971773.0,2.19143369599697e-05
2024-02-22,11:44:24,0.3779,27.5,24.75,3411,14971773.0,2.19143369599697e-05
2024-02-22,11:44:24,0.3888,27.5,24.75,3411,14971773.0,2.19143369599697e-05
2024-02-22,11:44:24,0.3998,27.5,24.75,3411,14971773.0,2.19143369599697e-05
2024-02-22,11:44:24,0.4107,27.5,24.75,3411,14971774.0,2.19143369599697e-05
2024-02-22,11:44:24,0.4216,27.5,24.75,3411,14971773.0,2.19143369599697e-05
2024-02-22,11:44:24,0.4325,27.5,24.75,3411,14971773.0,2.19143369599697e-05
2024-02-22,11:44:24,0.4433,27.5,24.75,3411,14971774.0,2.19143369599697e-05
2024-02-22,11:44:24,0.4543,27.5,24.75,3411,14971774.0,2.19143369599697e-05
2024-02-22,11:44:24,0.4653,27.5,24.75,3411,14971773.0,2.19143369599697e-05
2024-02-22,11:44:24,0.4762,27.5,24.75,3411,14971773.0,2.19143369599697e-05
2024-02-22,11:44:24,0.4871,27.5,24.75,3411,14971773.0,2.19143369599697e-05
2024-02-22,11:44:24,0.498,27.5,24.75,3411,14971773.0,2.19143369599697e-05
2024-02-22,11:44:24,0.509,27.5,24.75,3411,14971773.0,2.19143369599697e-05
2024-02-22,11:44:24,0.52,27.5,24.75,3410,14971773.0,2.194941541052301e-05
2024-02-22,11:44:24,0.5309,27.5,24.75,3410,14971774.0,2.194941541052301e-05
2024-02-22,11:44:24,0.5419,27.5,24.75,3411,14971774.0,2.19143369599697e-05
2024-02-22,11:44:24,0.5529,27.5,24.75,3411,14971773.0,2.19143369599697e-05
2024-02-22,11:44:25,0.5637,27.5,24.75,3411,14971774.0,2.19143369599697e-05
2024-02-22,11:44:25,0.5745,27.5,24.75,3411,14971773.0,2.19143369599697e-05
2024-02-22,11:44:25,0.5855,27.5,24.75,3410,14971773.0,2.194941541052301e-05
2024-02-22,11:44:25,0.5964,27.5,24.75,3410,14971774.0,2.194941541052301e-05
2024-02-22,11:44:25,0.6073,27.5,24.75,3411,14971774.0,2.19143369599697e-05
2024-02-22,11:44:25,0.6183,27.5,24.75,3411,14971774.0,2.19143369599697e-05
2024-02-22,11:44:25,0.6293,27.5,24.75,3411,14971774.0,2.19143369599697e-05
2024-02-22,11:44:25,0.6402,27.5,24.75,3412,14971774.0,2.187931457002984e-05
2024-02-22,11:44:25,0.6511,27.5,24.75,3412,14971775.0,2.187931457002984e-05
2024-02-22,11:44:25,0.662,27.5,24.75,3411,14971774.0,2.19143369599697e-05
2024-02-22,11:44:25,0.6728,27.5,24.75,3410,14971774.0,2.194941541052301e-05
2024-02-22,11:44:25,0.6838,27.5,24.75,3410,14971773.0,2.194941541052301e-05
2024-02-22,11:44:25,0.6949,27.5,24.75,3411,14971773.0,2.19143369599697e-05
2024-02-22,11:44:25,0.7057,27.5,24.75,3411,14971773.0,2.19143369599697e-05
2024-02-22,11:44:25,0.7166,27.5,24.75,3411,14971773.0,2.19143369599697e-05
2024-02-22,11:44:25,0.7276,27.5,24.75,3412,14971774.0,2.187931457002984e-05
2024-02-22,11:44:25,0.7386,27.5,24.75,3412,14971774.0,2.187931457002984e-05
2024-02-22,11:44:25,0.7495,27.5,24.75,3411,14971773.0,2.19143369599697e-05
2024-02-22,11:44:25,0.7604,27.5,24.75,3411,14971773.0,2.19143369599697e-05
2024-02-22,11:44:25,0.7713,27.5,24.75,3411,14971774.0,2.19143369599697e-05
2024-02-22,11:44:25,0.7823,27.5,24.75,3410,14971774.0,2.194941541052301e-05
2024-02-22,11:44:25,0.7932,27.5,24.75,3411,14971774.0,2.19143369599697e-05
2024-02-22,11:44:25,0.804,27.5,24.75,3412,14971774.0,2.187931457002984e-05
2024-02-22,11:44:25,0.815,27.5,24.75,3412,14971774.0,2.187931457002984e-05
2024-02-22,11:44:25,0.8258,27.5,24.75,3412,14971774.0,2.187931457002984e-05
2024-02-22,11:44:25,0.8367,27.5,24.75,3411,14971774.0,2.19143369599697e-05
2024-02-22,11:44:25,0.8477,27.5,24.75,3411,14971774.0,2.19143369599697e-05
2024-02-22,11:44:25,0.8586,27.5,24.75,3411,14971774.0,2.19143369599697e-05
2024-02-22,11:44:25,0.8696,27.5,24.75,3410,14971774.0,2.194941541052301e-05
2024-02-22,11:44:25,0.8805,27.5,24.75,3410,14971774.0,2.194941541052301e-05
2024-02-22,11:44:25,0.8913,27.5,24.75,3411,14971774.0,2.19143369599697e-05
2024-02-22,11:44:25,0.9023,27.5,24.75,3412,14971774.0,2.187931457002984e-05
2024-02-22,11:44:25,0.9133,27.5,24.75,3412,14971774.0,2.187931457002984e-05
2024-02-22,11:44:25,0.9244,27.5,24.75,3411,14971774.0,2.19143369599697e-05
2024-02-22,11:44:25,0.9352,27.5,24.75,3411,14971774.0,2.19143369599697e-05
2024-02-22,11:44:25,0.9461,27.44,24.75,3412,14971775.0,2.187931457002984e-05
2024-02-22,11:44:25,0.957,27.44,24.75,3411,14971775.0,2.19143369599697e-05
2024-02-22,11:44:25,0.9679,27.44,24.75,3411,14971775.0,2.19143369599697e-05
2024-02-22,11:44:25,0.9788,27.44,24.75,3412,14971775.0,2.187931457002984e-05
2024-02-22,11:44:25,0.9896,27.44,24.75,3412,14971774.0,2.187931457002984e-05
2024-02-22,11:44:25,1.0005,27.44,24.75,3412,14971775.0,2.187931457002984e-05
2024-02-22,11:44:25,1.0115,27.44,24.75,3412,14971775.0,2.187931457002984e-05
2024-02-22,11:44:25,1.0225,27.44,24.75,3412,14971775.0,2.187931457002984e-05
2024-02-22,11:44:25,1.0333,27.44,24.75,3411,14971774.0,2.19143369599697e-05
2024-02-22,11:44:25,1.0442,27.44,24.75,3411,14971774.0,2.19143369599697e-05
2024-02-22,11:44:25,1.0552,27.44,24.75,3411,14971774.0,2.19143369599697e-05
2024-02-22,11:44:25,1.0661,27.44,24.75,3411,14971774.0,2.19143369599697e-05
2024-02-22,11:44:25,1.0769,27.44,24.75,3412,14971774.0,2.187931457002984e-05
2024-02-22,11:44:25,1.0879,27.44,24.75,3411,14971774.0,2.19143369599697e-05
2024-02-22,11:44:25,1.0989,27.44,24.75,3410,14971774.0,2.194941541052301e-05
2024-02-22,11:44:25,1.11,27.44,24.75,3411,14971774.0,2.19143369599697e-05
2024-02-22,11:44:25,1.1208,27.44,24.75,3412,14971775.0,2.187931457002984e-05
2024-02-22,11:44:25,1.1316,27.44,24.75,3411,14971775.0,2.19143369599697e-05
2024-02-22,11:44:25,1.1426,27.44,24.75,3410,14971775.0,2.194941541052301e-05
2024-02-22,11:44:25,1.1536,27.44,24.75,3411,14971775.0,2.19143369599697e-05
2024-02-22,11:44:25,1.1645,27.44,24.75,3412,14971775.0,2.187931457002984e-05
2024-02-22,11:44:25,1.1754,27.44,24.75,3412,14971775.0,2.187931457002984e-05
2024-02-22,11:44:25,1.1862,27.44,24.75,3411,14971774.0,2.19143369599697e-05
2024-02-22,11:44:25,1.1971,27.44,24.75,3411,14971774.0,2.19143369599697e-05
2024-02-22,11:44:25,1.2081,27.44,24.75,3412,14971775.0,2.187931457002984e-05
2024-02-22,11:44:25,1.219,27.44,24.75,3411,14971775.0,2.19143369599697e-05
2024-02-22,11:44:25,1.2299,27.44,24.75,3410,14971775.0,2.194941541052301e-05
2024-02-22,11:44:25,1.2409,27.44,24.75,3411,14971775.0,2.19143369599697e-05
2024-02-22,11:44:25,1.2517,27.44,24.75,3411,14971774.0,2.19143369599697e-05
2024-02-22,11:44:25,1.2625,27.44,24.75,3411,14971774.0,2.19143369599697e-05
2024-02-22,11:44:25,1.2735,27.44,24.75,3412,14971775.0,2.187931457002984e-05
2024-02-22,11:44:25,1.2844,27.44,24.75,3412,14971775.0,2.187931457002984e-05
2024-02-22,11:44:25,1.2954,27.44,24.75,3411,14971774.0,2.19143369599697e-05
2024-02-22,11:44:25,1.3064,27.44,24.75,3411,14971774.0,2.19143369599697e-05
2024-02-22,11:44:25,1.3173,27.44,24.75,3412,14971775.0,2.187931457002984e-05
2024-02-22,11:44:25,1.3282,27.44,24.75,3412,14971775.0,2.187931457002984e-05
2024-02-22,11:44:25,1.3391,27.44,24.75,3411,14971774.0,2.19143369599697e-05
2024-02-22,11:44:25,1.3501,27.44,24.75,3411,14971774.0,2.19143369599697e-05
2024-02-22,11:44:25,1.3611,27.44,24.75,3412,14971775.0,2.187931457002984e-05
2024-02-22,11:44:25,1.372,27.44,24.75,3412,14971775.0,2.187931457002984e-05
2024-02-22,11:44:25,1.3829,27.44,24.75,3411,14971774.0,2.19143369599697e-05
2024-02-22,11:44:25,1.3937,27.44,24.75,3410,14971774.0,2.194941541052301e-05
2024-02-22,11:44:25,1.4046,27.44,24.75,3410,14971774.0,2.194941541052301e-05
2024-02-22,11:44:25,1.4156,27.44,24.75,3410,14971775.0,2.194941541052301e-05
2024-02-22,11:44:25,1.4266,27.44,24.75,3411,14971775.0,2.19143369599697e-05
2024-02-22,11:44:25,1.4375,27.44,24.75,3411,14971775.0,2.19143369599697e-05
2024-02-22,11:44:25,1.4484,27.5,24.75,3410,14971775.0,2.194941541052301e-05
2024-02-22,11:44:25,1.4593,27.5,24.75,3411,14971775.0,2.19143369599697e-05
2024-02-22,11:44:25,1.4701,27.5,24.75,3411,14971775.0,2.19143369599697e-05
2024-02-22,11:44:25,1.481,27.5,24.75,3410,14971775.0,2.194941541052301e-05
2024-02-22,11:44:25,1.492,27.5,24.75,3411,14971775.0,2.19143369599697e-05
2024-02-22,11:44:25,1.5029,27.5,24.75,3411,14971775.0,2.19143369599697e-05
2024-02-22,11:44:25,1.5138,27.5,24.75,3411,14971775.0,2.19143369599697e-05
2024-02-22,11:44:25,1.5247,27.5,24.75,3412,14971775.0,2.187931457002984e-05
2024-02-22,11:44:25,1.5354,27.5,24.75,3411,14971775.0,2.19143369599697e-05
2024-02-22,11:44:25,1.5464,27.5,24.75,3411,14971774.0,2.19143369599697e-05
2024-02-22,11:44:26,1.5574,27.5,24.75,3412,14971775.0,2.187931457002984e-05
2024-02-22,11:44:26,1.5683,27.5,24.75,3412,14971775.0,2.187931457002984e-05
2024-02-22,11:44:26,1.5793,27.5,24.75,3411,14971775.0,2.19143369599697e-05
2024-02-22,11:44:26,1.5903,27.5,24.75,3411,14971775.0,2.19143369599697e-05
2024-02-22,11:44:26,1.6012,27.5,24.75,3411,14971774.0,2.19143369599697e-05
2024-02-22,11:44:26,1.6121,27.5,24.75,3411,14971774.0,2.19143369599697e-05
2024-02-22,11:44:26,1.623,27.5,24.75,3412,14971775.0,2.187931457002984e-05
2024-02-22,11:44:26,1.6339,27.5,24.75,3412,14971775.0,2.187931457002984e-05
2024-02-22,11:44:26,1.6449,27.5,24.75,3412,14971775.0,2.187931457002984e-05
2024-02-22,11:44:26,1.6557,27.5,24.75,3411,14971775.0,2.19143369599697e-05
2024-02-22,11:44:26,1.6665,27.5,24.75,3411,14971775.0,2.19143369599697e-05
2024-02-22,11:44:26,1.6775,27.5,24.75,3412,14971775.0,2.187931457002984e-05
2024-02-22,11:44:26,1.6994,27.5,24.75,3410,14971775.0,2.194941541052301e-05
2024-02-22,11:44:26,1.7103,27.5,24.75,3411,14971775.0,2.19143369599697e-05
2024-02-22,11:44:26,1.7212,27.5,24.75,3412,14971775.0,2.187931457002984e-05
2024-02-22,11:44:26,1.7322,27.5,24.75,3412,14971775.0,2.187931457002984e-05
2024-02-22,11:44:26,1.7432,27.5,24.75,3412,14971775.0,2.187931457002984e-05
2024-02-22,11:44:26,1.7541,27.5,24.75,3412,14971775.0,2.187931457002984e-05
2024-02-22,11:44:26,1.7649,27.5,24.75,3411,14971775.0,2.19143369599697e-05
2024-02-22,11:44:26,1.7758,27.5,24.75,3410,14971775.0,2.194941541052301e-05
2024-02-22,11:44:26,1.7867,27.5,24.75,3411,14971775.0,2.19143369599697e-05
2024-02-22,11:44:26,1.7976,27.5,24.75,3412,14971776.0,2.187931457002984e-05
2024-02-22,11:44:26,1.8086,27.5,24.75,3412,14971776.0,2.187931457002984e-05
2024-02-22,11:44:26,1.8196,27.5,24.75,3412,14971776.0,2.187931457002984e-05
2024-02-22,11:44:26,1.8305,27.5,24.75,3412,14971776.0,2.187931457002984e-05
2024-02-22,11:44:26,1.8413,27.5,24.75,3412,14971775.0,2.187931457002984e-05
2024-02-22,11:44:26,1.8522,27.5,24.75,3412,14971775.0,2.187931457002984e-05
2024-02-22,11:44:26,1.8631,27.5,24.75,3411,14971775.0,2.19143369599697e-05
2024-02-22,11:44:26,1.874,27.5,24.75,3410,14971775.0,2.194941541052301e-05
2024-02-22,11:44:26,1.885,27.5,24.75,3410,14971775.0,2.194941541052301e-05
2024-02-22,11:44:26,1.896,27.5,24.75,3410,14971775.0,2.194941541052301e-05
2024-02-22,11:44:26,1.9069,27.5,24.75,3410,14971775.0,2.194941541052301e-05
2024-02-22,11:44:26,1.9178,27.5,24.75,3411,14971775.0,2.19143369599697e-05
2024-02-22,11:44:26,1.9286,27.5,24.75,3412,14971776.0,2.187931457002984e-05
2024-02-22,11:44:26,1.9395,27.5,24.75,3412,14971776.0,2.187931457002984e-05
2024-02-22,11:44:26,1.9504,27.5,24.75,3412,14971776.0,2.187931457002984e-05
2024-02-22,11:44:26,1.9614,27.5,24.75,3411,14971776.0,2.19143369599697e-05
2024-02-22,11:44:26,1.9723,27.5,24.75,3410,14971775.0,2.194941541052301e-05
2024-02-22,11:44:26,1.983,27.5,24.75,3410,14971775.0,2.194941541052301e-05
2024-02-22,11:44:26,1.9941,27.5,24.75,3411,14971776.0,2.19143369599697e-05
2024-02-22,11:44:26,2.0051,27.5,24.75,3411,14971776.0,2.19143369599697e-05
2024-02-22,11:44:26,2.0158,27.5,24.75,3410,14971775.0,2.194941541052301e-05
2024-02-22,11:44:26,2.0267,27.5,24.75,3410,14971776.0,2.194941541052301e-05
2024-02-22,11:44:26,2.0377,27.5,24.75,3411,14971776.0,2.19143369599697e-05
2024-02-22,11:44:26,2.0486,27.5,24.75,3411,14971776.0,2.19143369599697e-05
2024-02-22,11:44:26,2.0596,27.5,24.75,3411,14971776.0,2.19143369599697e-05
2024-02-22,11:44:26,2.0706,27.5,24.75,3412,14971776.0,2.187931457002984e-05
2024-02-22,11:44:26,2.0815,27.5,24.75,3412,14971776.0,2.187931457002984e-05
2024-02-22,11:44:26,2.0924,27.5,24.75,3412,14971776.0,2.187931457002984e-05
2024-02-22,11:44:26,2.1032,27.5,24.75,3412,14971776.0,2.187931457002984e-05
2024-02-22,11:44:26,2.1141,27.5,24.75,3412,14971776.0,2.187931457002984e-05
2024-02-22,11:44:26,2.125,27.5,24.75,3411,14971776.0,2.19143369599697e-05
2024-02-22,11:44:26,2.1359,27.5,24.75,3411,14971776.0,2.19143369599697e-05
2024-02-22,11:44:26,2.1468,27.5,24.75,3411,14971776.0,2.19143369599697e-05
2024-02-22,11:44:26,2.1578,27.5,24.75,3411,14971776.0,2.19143369599697e-05
2024-02-22,11:44:26,2.1688,27.5,24.75,3412,14971776.0,2.187931457002984e-05
2024-02-22,11:44:26,2.1797,27.5,24.75,3411,14971776.0,2.19143369599697e-05
2024-02-22,11:44:26,2.1905,27.5,24.75,3411,14971776.0,2.19143369599697e-05
2024-02-22,11:44:26,2.2013,27.5,24.75,3412,14971776.0,2.187931457002984e-05
2024-02-22,11:44:26,2.2122,27.5,24.75,3411,14971776.0,2.19143369599697e-05
2024-02-22,11:44:26,2.2232,27.5,24.75,3410,14971776.0,2.194941541052301e-05
2024-02-22,11:44:26,2.2342,27.5,24.75,3411,14971776.0,2.19143369599697e-05
2024-02-22,11:44:26,2.2451,27.5,24.75,3412,14971776.0,2.187931457002984e-05
2024-02-22,11:44:26,2.2558,27.5,24.75,3411,14971775.0,2.19143369599697e-05
2024-02-22,11:44:26,2.2667,27.5,24.75,3411,14971776.0,2.19143369599697e-05
2024-02-22,11:44:26,2.2777,27.5,24.75,3411,14971776.0,2.19143369599697e-05
2024-02-22,11:44:26,2.2887,27.5,24.75,3411,14971776.0,2.19143369599697e-05
2024-02-22,11:44:26,2.2996,27.5,24.75,3411,14971776.0,2.19143369599697e-05
2024-02-22,11:44:26,2.3105,27.5,24.75,3411,14971776.0,2.19143369599697e-05
2024-02-22,11:44:26,2.3213,27.5,24.75,3412,14971776.0,2.187931457002984e-05
2024-02-22,11:44:26,2.3324,27.5,24.75,3412,14971776.0,2.187931457002984e-05
2024-02-22,11:44:26,2.3434,27.5,24.75,3412,14971776.0,2.187931457002984e-05
2024-02-22,11:44:26,2.3542,27.5,24.75,3411,14971777.0,2.19143369599697e-05
2024-02-22,11:44:26,2.365,27.5,24.75,3411,14971776.0,2.19143369599697e-05
2024-02-22,11:44:26,2.3759,27.5,24.75,3412,14971776.0,2.187931457002984e-05
2024-02-22,11:44:26,2.3869,27.5,24.75,3411,14971776.0,2.19143369599697e-05
2024-02-22,11:44:26,2.3978,27.5,24.75,3411,14971776.0,2.19143369599697e-05
2024-02-22,11:44:26,2.4086,27.5,24.75,3412,14971777.0,2.187931457002984e-05
2024-02-22,11:44:26,2.4195,27.5,24.75,3411,14971777.0,2.19143369599697e-05
2024-02-22,11:44:26,2.4304,27.5,24.75,3410,14971776.0,2.194941541052301e-05
2024-02-22,11:44:26,2.4414,27.5,24.75,3411,14971776.0,2.19143369599697e-05
2024-02-22,11:44:26,2.4523,27.5,24.75,3412,14971776.0,2.187931457002984e-05
2024-02-22,11:44:26,2.4632,27.5,24.75,3411,14971777.0,2.19143369599697e-05
2024-02-22,11:44:26,2.4742,27.5,24.75,3411,14971776.0,2.19143369599697e-05
2024-02-22,11:44:26,2.4851,27.5,24.75,3411,14971777.0,2.19143369599697e-05
2024-02-22,11:44:26,2.4959,27.5,24.75,3411,14971776.0,2.19143369599697e-05
2024-02-22,11:44:26,2.5069,27.5,24.75,3412,14971776.0,2.187931457002984e-05
2024-02-22,11:44:26,2.5178,27.5,24.75,3412,14971776.0,2.187931457002984e-05
2024-02-22,11:44:26,2.5286,27.5,24.75,3411,14971777.0,2.19143369599697e-05
2024-02-22,11:44:26,2.5396,27.5,24.75,3411,14971777.0,2.19143369599697e-05
2024-02-22,11:44:26,2.5506,27.5,24.75,3412,14971776.0,2.187931457002984e-05
2024-02-22,11:44:27,2.5615,27.5,24.75,3412,14971776.0,2.187931457002984e-05
2024-02-22,11:44:27,2.5724,27.5,24.75,3411,14971777.0,2.19143369599697e-05
2024-02-22,11:44:27,2.5832,27.5,24.75,3411,14971777.0,2.19143369599697e-05
2024-02-22,11:44:27,2.5941,27.5,24.75,3411,14971777.0,2.19143369599697e-05
2024-02-22,11:44:27,2.605,27.5,24.75,3411,14971777.0,2.19143369599697e-05
2024-02-22,11:44:27,2.6159,27.5,24.75,3411,14971777.0,2.19143369599697e-05
2024-02-22,11:44:27,2.6268,27.5,24.75,3411,14971777.0,2.19143369599697e-05
2024-02-22,11:44:27,2.6376,27.5,24.75,3411,14971777.0,2.19143369599697e-05
