Date,Time,Relative_time,Ambient,Temperature,Peak Magnitude (RAW),Resonance_Frequency,Dissipation
2023-12-11,10:02:30,0.0539,23.5,24.5,3327,15031410.0,2.506551594562326e-05
2023-12-11,10:02:30,0.0823,23.5,24.5,3304,15031707.0,2.600476732934825e-05
2023-12-11,10:02:30,0.1125,23.5,24.5,3308,15031639.0,2.583892737561843e-05
2023-12-11,10:02:30,0.1163,23.5,24.5,3299,15031641.0,2.621356488013463e-05
2023-12-11,10:02:30,0.12,23.5,24.5,3299,15031642.0,2.621356488013463e-05
2023-12-11,10:02:30,0.1237,23.5,24.5,3300,15031641.0,2.617167168059942e-05
2023-12-11,10:02:30,0.1274,23.5,24.5,3301,15031641.0,2.61298454326664e-05
2023-12-11,10:02:30,0.131,23.5,24.5,3301,15031641.0,2.61298454326664e-05
2023-12-11,10:02:30,0.1348,23.5,24.5,3301,15031642.0,2.61298454326664e-05
2023-12-11,10:02:30,0.1385,23.5,24.5,3301,15031642.0,2.61298454326664e-05
2023-12-11,10:02:30,0.1422,23.5,24.5,3301,15031641.0,2.61298454326664e-05
2023-12-11,10:02:30,0.1459,23.5,24.5,3301,15031641.0,2.61298454326664e-05
2023-12-11,10:02:30,0.1496,23.5,24.5,3302,15031641.0,2.608808602933685e-05
2023-12-11,10:02:30,0.1532,23.5,24.5,3302,15031641.0,2.608808602933685e-05
2023-12-11,10:02:30,0.1569,23.5,24.5,3302,15031642.0,2.608808602933685e-05
2023-12-11,10:02:30,0.1607,23.5,24.5,3302,15031642.0,2.608808602933685e-05
2023-12-11,10:02:30,0.1644,23.5,24.5,3301,15031641.0,2.61298454326664e-05
2023-12-11,10:02:30,0.1681,23.5,24.5,3300,15031641.0,2.617167168059942e-05
2023-12-11,10:02:30,0.1717,23.5,24.5,3301,15031642.0,2.61298454326664e-05
2023-12-11,10:02:30,0.1754,23.5,24.5,3301,15031642.0,2.61298454326664e-05
2023-12-11,10:02:30,0.1791,23.5,24.5,3301,15031642.0,2.61298454326664e-05
2023-12-11,10:02:30,0.1828,23.5,24.5,3301,15031641.0,2.61298454326664e-05
2023-12-11,10:02:30,0.1865,23.5,24.5,3300,15031641.0,2.617167168059942e-05
2023-12-11,10:02:30,0.1903,23.5,24.5,3300,15031641.0,2.617167168059942e-05
2023-12-11,10:02:30,0.1939,23.5,24.5,3300,15031641.0,2.617167168059942e-05
2023-12-11,10:02:30,0.1975,23.5,24.5,3302,15031641.0,2.608808602933685e-05
2023-12-11,10:02:30,0.2012,23.5,24.5,3303,15031641.0,2.604639336378313e-05
2023-12-11,10:02:30,0.2049,23.5,24.5,3302,15031642.0,2.608808602933685e-05
2023-12-11,10:02:30,0.2087,23.5,24.5,3301,15031642.0,2.61298454326664e-05
2023-12-11,10:02:30,0.2124,23.5,24.5,3301,15031641.0,2.61298454326664e-05
2023-12-11,10:02:30,0.2161,23.5,24.5,3301,15031641.0,2.61298454326664e-05
2023-12-11,10:02:30,0.2197,23.5,24.5,3301,15031641.0,2.61298454326664e-05
2023-12-11,10:02:30,0.2234,23.5,24.5,3301,15031641.0,2.61298454326664e-05
2023-12-11,10:02:30,0.2271,23.5,24.5,3301,15031640.0,2.61298454326664e-05
2023-12-11,10:02:30,0.2307,23.5,24.5,3301,15031641.0,2.61298454326664e-05
2023-12-11,10:02:30,0.2344,23.5,24.5,3300,15031642.0,2.617167168059942e-05
2023-12-11,10:02:30,0.2382,23.5,24.5,3300,15031643.0,2.617167168059942e-05
2023-12-11,10:02:30,0.2456,23.5,24.5,3301,15031640.0,2.61298454326664e-05
2023-12-11,10:02:30,0.2494,23.5,24.5,3301,15031642.0,2.61298454326664e-05
2023-12-11,10:02:30,0.2531,23.5,24.5,3301,15031642.0,2.61298454326664e-05
2023-12-11,10:02:30,0.2568,23.5,24.5,3301,15031642.0,2.61298454326664e-05
2023-12-11,10:02:30,0.2605,23.5,24.5,3301,15031642.0,2.61298454326664e-05
2023-12-11,10:02:30,0.2642,23.5,24.5,3300,15031641.0,2.617167168059942e-05
2023-12-11,10:02:30,0.2679,23.5,24.5,3301,15031641.0,2.61298454326664e-05
2023-12-11,10:02:30,0.2716,23.5,24.5,3302,15031641.0,2.608808602933685e-05
2023-12-11,10:02:30,0.2753,23.5,24.5,3302,15031641.0,2.608808602933685e-05
2023-12-11,10:02:30,0.279,23.5,24.5,3302,15031642.0,2.608808602933685e-05
2023-12-11,10:02:30,0.2827,23.5,24.5,3301,15031641.0,2.61298454326664e-05
2023-12-11,10:02:30,0.2864,23.5,24.5,3300,15031642.0,2.617167168059942e-05
2023-12-11,10:02:30,0.2901,23.5,24.5,3301,15031643.0,2.61298454326664e-05
2023-12-11,10:02:30,0.2938,23.5,24.5,3301,15031642.0,2.61298454326664e-05
2023-12-11,10:02:30,0.2975,23.5,24.5,3300,15031642.0,2.617167168059942e-05
2023-12-11,10:02:30,0.3012,23.5,24.5,3300,15031642.0,2.617167168059942e-05
2023-12-11,10:02:30,0.3048,23.5,24.5,3300,15031642.0,2.617167168059942e-05
2023-12-11,10:02:30,0.3121,23.5,24.5,3299,15031640.0,2.621356488013463e-05
2023-12-11,10:02:30,0.3159,23.5,24.5,3299,15031642.0,2.621356488013463e-05
2023-12-11,10:02:30,0.3196,23.5,24.5,3299,15031642.0,2.621356488013463e-05
2023-12-11,10:02:30,0.3233,23.5,24.5,3300,15031641.0,2.617167168059942e-05
2023-12-11,10:02:30,0.3269,23.5,24.5,3300,15031641.0,2.617167168059942e-05
2023-12-11,10:02:30,0.3306,23.5,24.5,3299,15031641.0,2.621356488013463e-05
2023-12-11,10:02:30,0.3344,23.5,24.5,3301,15031641.0,2.61298454326664e-05
2023-12-11,10:02:30,0.3381,23.5,24.5,3302,15031642.0,2.608808602933685e-05
2023-12-11,10:02:30,0.3418,23.5,24.5,3302,15031642.0,2.608808602933685e-05
2023-12-11,10:02:30,0.3455,23.5,24.5,3302,15031642.0,2.608808602933685e-05
2023-12-11,10:02:30,0.3492,23.5,24.5,3301,15031641.0,2.61298454326664e-05
2023-12-11,10:02:30,0.3528,23.5,24.5,3300,15031641.0,2.617167168059942e-05
2023-12-11,10:02:30,0.3565,23.5,24.5,3300,15031642.0,2.617167168059942e-05
2023-12-11,10:02:30,0.3603,23.5,24.5,3301,15031641.0,2.61298454326664e-05
2023-12-11,10:02:30,0.364,23.5,24.5,3302,15031642.0,2.608808602933685e-05
2023-12-11,10:02:31,0.3676,23.5,24.5,3300,15031642.0,2.617167168059942e-05
2023-12-11,10:02:31,0.3713,23.5,24.5,3299,15031642.0,2.621356488013463e-05
2023-12-11,10:02:31,0.3787,23.5,24.5,3300,15031641.0,2.617167168059942e-05
2023-12-11,10:02:31,0.3824,23.5,24.5,3300,15031642.0,2.617167168059942e-05
2023-12-11,10:02:31,0.3861,23.5,24.5,3299,15031641.0,2.621356488013463e-05
2023-12-11,10:02:31,0.3898,23.5,24.5,3299,15031641.0,2.621356488013463e-05
2023-12-11,10:02:31,0.3934,23.5,24.5,3300,15031641.0,2.617167168059942e-05
2023-12-11,10:02:31,0.3971,23.5,24.5,3300,15031641.0,2.617167168059942e-05
2023-12-11,10:02:31,0.4008,23.5,24.5,3300,15031642.0,2.617167168059942e-05
2023-12-11,10:02:31,0.4046,23.5,24.5,3301,15031641.0,2.61298454326664e-05
2023-12-11,10:02:31,0.4083,23.5,24.5,3300,15031641.0,2.617167168059942e-05
2023-12-11,10:02:31,0.412,23.5,24.5,3299,15031641.0,2.621356488013463e-05
2023-12-11,10:02:31,0.4157,23.5,24.5,3301,15031642.0,2.61298454326664e-05
2023-12-11,10:02:31,0.4193,23.5,24.5,3301,15031643.0,2.61298454326664e-05
2023-12-11,10:02:31,0.4231,23.5,24.5,3300,15031643.0,2.617167168059942e-05
2023-12-11,10:02:31,0.4268,23.5,24.5,3300,15031641.0,2.617167168059942e-05
2023-12-11,10:02:31,0.4305,23.5,24.5,3301,15031642.0,2.61298454326664e-05
2023-12-11,10:02:31,0.4341,23.5,24.5,3301,15031643.0,2.61298454326664e-05
2023-12-11,10:02:31,0.4378,23.5,24.5,3300,15031643.0,2.617167168059942e-05
2023-12-11,10:02:31,0.4416,23.5,24.5,3300,15031641.0,2.617167168059942e-05
2023-12-11,10:02:31,0.449,23.5,24.5,3301,15031643.0,2.61298454326664e-05
2023-12-11,10:02:31,0.4527,23.5,24.5,3300,15031642.0,2.617167168059942e-05
2023-12-11,10:02:31,0.4563,23.5,24.5,3300,15031642.0,2.617167168059942e-05
2023-12-11,10:02:31,0.46,23.5,24.5,3301,15031642.0,2.61298454326664e-05
2023-12-11,10:02:31,0.4638,23.5,24.5,3301,15031642.0,2.61298454326664e-05
2023-12-11,10:02:31,0.4675,23.5,24.5,3299,15031641.0,2.621356488013463e-05
2023-12-11,10:02:31,0.4712,23.5,24.5,3299,15031641.0,2.621356488013463e-05
2023-12-11,10:02:31,0.4749,23.5,24.5,3300,15031641.0,2.617167168059942e-05
2023-12-11,10:02:31,0.4787,23.5,24.5,3301,15031641.0,2.61298454326664e-05
2023-12-11,10:02:31,0.4823,23.5,24.5,3302,15031642.0,2.608808602933685e-05
2023-12-11,10:02:31,0.486,23.5,24.5,3302,15031641.0,2.608808602933685e-05
