Date,Time,Relative_time,Ambient,Temperature,Peak Magnitude (RAW),Resonance_Frequency,Dissipation
2023-06-02,13:52:11,0.0538,26.44,21.18,3384,15004340.0,2.288142934135367e-05
2023-06-02,13:52:11,0.0822,26.44,21.18,3368,15004647.0,2.347454129197761e-05
2023-06-02,13:52:11,0.1126,26.44,21.18,3371,15004578.0,2.336217357405023e-05
2023-06-02,13:52:11,0.1166,26.44,21.18,3359,15004581.0,2.381489766364291e-05
2023-06-02,13:52:11,0.1203,26.44,21.18,3359,15004576.0,2.381489766364291e-05
2023-06-02,13:52:11,0.1241,26.44,21.18,3362,15004575.0,2.370090073097218e-05
2023-06-02,13:52:11,0.1281,26.44,21.18,3362,15004575.0,2.370090073097218e-05
2023-06-02,13:52:11,0.1319,26.44,21.09,3361,15004575.0,2.37388389481256e-05
2023-06-02,13:52:11,0.1358,26.44,21.09,3361,15004576.0,2.37388389481256e-05
2023-06-02,13:52:11,0.1396,26.44,21.09,3360,15004576.0,2.377683789327991e-05
2023-06-02,13:52:11,0.1435,26.44,21.09,3360,15004576.0,2.377683789327991e-05
2023-06-02,13:52:11,0.1473,26.44,21.09,3362,15004576.0,2.370090073097218e-05
2023-06-02,13:52:11,0.1511,26.44,21.09,3361,15004575.0,2.37388389481256e-05
2023-06-02,13:52:11,0.155,26.44,21.09,3361,15004574.0,2.37388389481256e-05
2023-06-02,13:52:11,0.1588,26.44,21.09,3361,15004575.0,2.37388389481256e-05
2023-06-02,13:52:11,0.1627,26.44,21.09,3361,15004575.0,2.37388389481256e-05
2023-06-02,13:52:11,0.1665,26.44,21.09,3361,15004575.0,2.37388389481256e-05
2023-06-02,13:52:11,0.1703,26.44,21.09,3360,15004575.0,2.377683789327991e-05
2023-06-02,13:52:11,0.1743,26.44,21.09,3360,15004575.0,2.377683789327991e-05
2023-06-02,13:52:11,0.1781,26.44,21.09,3360,15004575.0,2.377683789327991e-05
2023-06-02,13:52:11,0.182,26.44,21.09,3360,15004575.0,2.377683789327991e-05
2023-06-02,13:52:11,0.1858,26.44,21.09,3361,15004575.0,2.37388389481256e-05
2023-06-02,13:52:11,0.1897,26.44,21.09,3362,15004576.0,2.370090073097218e-05
2023-06-02,13:52:11,0.1935,26.44,21.09,3360,15004576.0,2.377683789327991e-05
2023-06-02,13:52:11,0.1973,26.44,21.09,3359,15004576.0,2.381489766364291e-05
2023-06-02,13:52:11,0.2013,26.44,21.09,3359,15004576.0,2.381489766364291e-05
2023-06-02,13:52:11,0.2052,26.44,21.09,3360,15004576.0,2.377683789327991e-05
2023-06-02,13:52:11,0.209,26.44,21.09,3361,15004575.0,2.37388389481256e-05
2023-06-02,13:52:11,0.2128,26.44,21.09,3360,15004575.0,2.377683789327991e-05
2023-06-02,13:52:12,0.2167,26.44,21.09,3361,15004575.0,2.37388389481256e-05
2023-06-02,13:52:12,0.2205,26.44,21.09,3362,15004575.0,2.370090073097218e-05
2023-06-02,13:52:12,0.2244,26.44,21.09,3361,15004576.0,2.37388389481256e-05
2023-06-02,13:52:12,0.2282,26.44,21.09,3360,15004575.0,2.377683789327991e-05
2023-06-02,13:52:12,0.232,26.44,21.09,3361,15004574.0,2.37388389481256e-05
2023-06-02,13:52:12,0.2359,26.44,21.09,3361,15004574.0,2.37388389481256e-05
2023-06-02,13:52:12,0.2397,26.44,21.09,3360,15004576.0,2.377683789327991e-05
2023-06-02,13:52:12,0.2437,26.44,21.09,3361,15004576.0,2.37388389481256e-05
2023-06-02,13:52:12,0.2475,26.44,21.09,3361,15004576.0,2.37388389481256e-05
2023-06-02,13:52:12,0.2514,26.44,21.09,3361,15004576.0,2.37388389481256e-05
2023-06-02,13:52:12,0.2552,26.44,21.09,3362,15004576.0,2.370090073097218e-05
2023-06-02,13:52:12,0.259,26.44,21.09,3361,15004576.0,2.37388389481256e-05
2023-06-02,13:52:12,0.263,26.44,21.09,3361,15004575.0,2.37388389481256e-05
2023-06-02,13:52:12,0.2668,26.44,21.09,3362,15004575.0,2.370090073097218e-05
2023-06-02,13:52:12,0.2707,26.44,21.09,3360,15004576.0,2.377683789327991e-05
2023-06-02,13:52:12,0.2745,26.44,21.09,3360,15004576.0,2.377683789327991e-05
2023-06-02,13:52:12,0.2784,26.44,21.09,3361,15004576.0,2.37388389481256e-05
2023-06-02,13:52:12,0.2822,26.44,21.09,3361,15004576.0,2.37388389481256e-05
2023-06-02,13:52:12,0.286,26.44,21.09,3361,15004575.0,2.37388389481256e-05
2023-06-02,13:52:12,0.29,26.44,21.09,3361,15004575.0,2.37388389481256e-05
2023-06-02,13:52:12,0.2939,26.44,21.09,3361,15004575.0,2.37388389481256e-05
