Date,Time,Relative_time,Ambient,Temperature,Peak Magnitude (RAW),Resonance_Frequency,Dissipation
2024-10-02,13:15:02,0.0541,26.38,25.5,3164,15185266.0,3.253120581205106e-05
2024-10-02,13:15:02,0.0821,26.38,25.5,3137,15185613.0,3.396682676446853e-05
2024-10-02,13:15:02,0.1128,26.38,25.5,3160,15185514.0,3.273999828970383e-05
2024-10-02,13:15:02,0.1173,26.38,25.5,3154,15185516.0,3.305570233492295e-05
2024-10-02,13:15:02,0.1218,26.38,25.5,3153,15185515.0,3.310861485616324e-05
2024-10-02,13:15:02,0.1264,26.38,25.5,3154,15185515.0,3.305570233492295e-05
2024-10-02,13:15:02,0.1309,26.38,25.5,3154,15185515.0,3.305570233492295e-05
2024-10-02,13:15:02,0.1355,26.38,25.5,3154,15185515.0,3.305570233492295e-05
2024-10-02,13:15:02,0.1401,26.38,25.5,3154,15185515.0,3.305570233492295e-05
2024-10-02,13:15:02,0.1446,26.38,25.5,3154,15185515.0,3.305570233492295e-05
2024-10-02,13:15:02,0.1492,26.38,25.5,3154,15185515.0,3.305570233492295e-05
2024-10-02,13:15:02,0.1537,26.38,25.5,3154,15185515.0,3.305570233492295e-05
2024-10-02,13:15:02,0.1583,26.38,25.5,3155,15185515.0,3.300287437581e-05
2024-10-02,13:15:02,0.1629,26.38,25.5,3155,15185515.0,3.300287437581e-05
2024-10-02,13:15:02,0.1675,26.38,25.5,3155,15185515.0,3.300287437581e-05
2024-10-02,13:15:02,0.172,26.38,25.5,3155,15185515.0,3.300287437581e-05
2024-10-02,13:15:02,0.1765,26.38,25.5,3154,15185515.0,3.305570233492295e-05
2024-10-02,13:15:02,0.1811,26.38,25.5,3154,15185515.0,3.305570233492295e-05
2024-10-02,13:15:02,0.1857,26.38,25.5,3154,15185515.0,3.305570233492295e-05
2024-10-02,13:15:02,0.1903,26.38,25.5,3154,15185515.0,3.305570233492295e-05
2024-10-02,13:15:02,0.1948,26.38,25.5,3154,15185515.0,3.305570233492295e-05
2024-10-02,13:15:02,0.1994,26.38,25.5,3154,15185515.0,3.305570233492295e-05
2024-10-02,13:15:02,0.2039,26.38,25.5,3154,15185515.0,3.305570233492295e-05
2024-10-02,13:15:02,0.2084,26.38,25.5,3154,15185515.0,3.305570233492295e-05
2024-10-02,13:15:02,0.213,26.38,25.5,3155,15185515.0,3.300287437581e-05
2024-10-02,13:15:02,0.2176,26.38,25.5,3155,15185515.0,3.300287437581e-05
2024-10-02,13:15:02,0.2221,26.38,25.5,3155,15185515.0,3.300287437581e-05
2024-10-02,13:15:02,0.2267,26.38,25.5,3154,15185515.0,3.305570233492295e-05
2024-10-02,13:15:02,0.2313,26.38,25.5,3154,15185515.0,3.305570233492295e-05
2024-10-02,13:15:02,0.2358,26.38,25.5,3155,15185515.0,3.300287437581e-05
2024-10-02,13:15:02,0.2404,26.38,25.5,3155,15185515.0,3.300287437581e-05
2024-10-02,13:15:02,0.245,26.38,25.5,3155,15185515.0,3.300287437581e-05
2024-10-02,13:15:02,0.2495,26.38,25.5,3155,15185515.0,3.300287437581e-05
2024-10-02,13:15:02,0.254,26.38,25.5,3156,15185515.0,3.295013084368136e-05
2024-10-02,13:15:02,0.2586,26.38,25.5,3156,15185515.0,3.295013084368136e-05
2024-10-02,13:15:02,0.2631,26.38,25.5,3155,15185515.0,3.300287437581e-05
2024-10-02,13:15:02,0.2677,26.38,25.5,3155,15185515.0,3.300287437581e-05
2024-10-02,13:15:02,0.2722,26.38,25.5,3155,15185515.0,3.300287437581e-05
2024-10-02,13:15:02,0.2768,26.38,25.5,3155,15185515.0,3.300287437581e-05
2024-10-02,13:15:02,0.2814,26.38,25.5,3155,15185515.0,3.300287437581e-05
2024-10-02,13:15:02,0.2859,26.38,25.5,3155,15185515.0,3.300287437581e-05
