Date,Time,Relative_time,Ambient,Temperature,Peak Magnitude (RAW),Resonance_Frequency,Dissipation
2024-02-02,12:56:01,0.0541,27.44,24.5,3440,15248698.0,2.092108840373693e-05
2024-02-02,12:56:01,0.0823,27.44,24.5,3407,15249023.0,2.205498802394887e-05
2024-02-02,12:56:01,0.1127,27.44,24.5,3418,15248934.0,2.167035249606166e-05
2024-02-02,12:56:01,0.117,27.44,24.5,3408,15248936.0,2.201974085256035e-05
2024-02-02,12:56:01,0.1212,27.44,24.5,3409,15248936.0,2.198455001142646e-05
2024-02-02,12:56:01,0.1253,27.44,24.5,3409,15248936.0,2.198455001142646e-05
2024-02-02,12:56:01,0.1295,27.44,24.5,3408,15248937.0,2.201974085256035e-05
2024-02-02,12:56:01,0.1339,27.44,24.5,3409,15248937.0,2.198455001142646e-05
2024-02-02,12:56:01,0.1381,27.44,24.5,3410,15248936.0,2.194941541052301e-05
2024-02-02,12:56:01,0.1423,27.44,24.5,3409,15248937.0,2.198455001142646e-05
2024-02-02,12:56:01,0.1465,27.44,24.5,3409,15248937.0,2.198455001142646e-05
2024-02-02,12:56:01,0.1508,27.44,24.5,3409,15248937.0,2.198455001142646e-05
2024-02-02,12:56:01,0.155,27.44,24.5,3409,15248937.0,2.198455001142646e-05
2024-02-02,12:56:01,0.1592,27.44,24.5,3409,15248937.0,2.198455001142646e-05
2024-02-02,12:56:01,0.1634,27.44,24.5,3408,15248936.0,2.201974085256035e-05
2024-02-02,12:56:01,0.1677,27.44,24.5,3408,15248936.0,2.201974085256035e-05
2024-02-02,12:56:01,0.1719,27.44,24.5,3409,15248936.0,2.198455001142646e-05
2024-02-02,12:56:01,0.1761,27.44,24.5,3409,15248936.0,2.198455001142646e-05
2024-02-02,12:56:01,0.1805,27.44,24.5,3409,15248937.0,2.198455001142646e-05
2024-02-02,12:56:01,0.1847,27.44,24.5,3409,15248937.0,2.198455001142646e-05
2024-02-02,12:56:01,0.1889,27.44,24.5,3409,15248937.0,2.198455001142646e-05
2024-02-02,12:56:01,0.1931,27.44,24.5,3410,15248936.0,2.194941541052301e-05
2024-02-02,12:56:01,0.1973,27.44,24.5,3410,15248936.0,2.194941541052301e-05
2024-02-02,12:56:01,0.2016,27.44,24.5,3409,15248936.0,2.198455001142646e-05
2024-02-02,12:56:01,0.2058,27.44,24.5,3409,15248937.0,2.198455001142646e-05
2024-02-02,12:56:01,0.21,27.44,24.5,3409,15248936.0,2.198455001142646e-05
2024-02-02,12:56:01,0.2142,27.44,24.5,3409,15248936.0,2.198455001142646e-05
2024-02-02,12:56:01,0.2185,27.44,24.5,3410,15248937.0,2.194941541052301e-05
2024-02-02,12:56:01,0.2227,27.44,24.5,3410,15248937.0,2.194941541052301e-05
2024-02-02,12:56:01,0.2269,27.44,24.5,3409,15248937.0,2.198455001142646e-05
2024-02-02,12:56:01,0.231,27.44,24.5,3409,15248936.0,2.198455001142646e-05
2024-02-02,12:56:01,0.2352,27.44,24.5,3409,15248937.0,2.198455001142646e-05
2024-02-02,12:56:01,0.2396,27.44,24.5,3410,15248937.0,2.194941541052301e-05
2024-02-02,12:56:01,0.2438,27.44,24.5,3412,15248936.0,2.187931457002984e-05
2024-02-02,12:56:01,0.2479,27.44,24.5,3411,15248936.0,2.19143369599697e-05
2024-02-02,12:56:01,0.2521,27.44,24.5,3409,15248937.0,2.198455001142646e-05
2024-02-02,12:56:01,0.2565,27.44,24.5,3409,15248937.0,2.198455001142646e-05
2024-02-02,12:56:01,0.2607,27.44,24.5,3409,15248936.0,2.198455001142646e-05
