Date,Time,Relative_time,Ambient,Temperature,Peak Magnitude (RAW),Resonance_Frequency,Dissipation
2024-09-04,09:39:52,0.0542,26.31,25.0,3259,15017353.0,2.794544292364388e-05
2024-09-04,09:39:52,0.0823,26.31,25.0,3230,15017703.0,2.927217938694547e-05
2024-09-04,09:39:52,0.1129,26.31,25.0,3254,15017607.0,2.816982255235571e-05
2024-09-04,09:39:52,0.1174,26.31,25.0,3247,15017609.0,2.848698393932761e-05
2024-09-04,09:39:52,0.122,26.31,25.0,3247,15017609.0,2.848698393932761e-05
2024-09-04,09:39:52,0.1266,26.31,25.0,3247,15017609.0,2.848698393932761e-05
2024-09-04,09:39:52,0.1311,26.31,25.0,3248,15017609.0,2.844145747591892e-05
2024-09-04,09:39:52,0.1357,26.31,25.0,3248,15017609.0,2.844145747591892e-05
2024-09-04,09:39:52,0.1402,26.31,25.0,3247,15017609.0,2.848698393932761e-05
2024-09-04,09:39:52,0.1448,26.31,25.0,3247,15017609.0,2.848698393932761e-05
2024-09-04,09:39:52,0.1493,26.31,25.0,3247,15017609.0,2.848698393932761e-05
2024-09-04,09:39:52,0.1539,26.31,25.0,3247,15017609.0,2.848698393932761e-05
2024-09-04,09:39:52,0.1584,26.31,25.0,3247,15017609.0,2.848698393932761e-05
2024-09-04,09:39:52,0.1629,26.31,25.0,3247,15017609.0,2.848698393932761e-05
2024-09-04,09:39:52,0.1675,26.31,25.0,3247,15017609.0,2.848698393932761e-05
2024-09-04,09:39:52,0.1721,26.31,25.0,3247,15017609.0,2.848698393932761e-05
2024-09-04,09:39:52,0.1766,26.31,25.0,3247,15017609.0,2.848698393932761e-05
2024-09-04,09:39:52,0.1812,26.31,25.0,3247,15017609.0,2.848698393932761e-05
2024-09-04,09:39:52,0.1857,26.31,25.0,3247,15017609.0,2.848698393932761e-05
2024-09-04,09:39:52,0.1903,26.31,25.0,3247,15017609.0,2.848698393932761e-05
2024-09-04,09:39:52,0.1949,26.31,25.0,3248,15017609.0,2.844145747591892e-05
2024-09-04,09:39:52,0.1994,26.31,25.0,3248,15017609.0,2.844145747591892e-05
2024-09-04,09:39:52,0.204,26.31,25.0,3247,15017609.0,2.848698393932761e-05
2024-09-04,09:39:52,0.2085,26.31,25.0,3248,15017609.0,2.844145747591892e-05
2024-09-04,09:39:52,0.213,26.31,25.0,3248,15017608.0,2.844145747591892e-05
2024-09-04,09:39:52,0.2176,26.31,25.0,3247,15017609.0,2.848698393932761e-05
2024-09-04,09:39:52,0.2221,26.31,25.0,3248,15017609.0,2.844145747591892e-05
2024-09-04,09:39:52,0.2267,26.31,25.0,3248,15017609.0,2.844145747591892e-05
2024-09-04,09:39:52,0.2312,26.31,25.0,3248,15017609.0,2.844145747591892e-05
2024-09-04,09:39:52,0.2358,26.31,25.0,3249,15017609.0,2.839600377061182e-05
2024-09-04,09:39:52,0.2403,26.31,25.0,3249,15017609.0,2.839600377061182e-05
2024-09-04,09:39:52,0.2448,26.31,25.0,3248,15017609.0,2.844145747591892e-05
2024-09-04,09:39:52,0.2494,26.31,25.0,3248,15017609.0,2.844145747591892e-05
2024-09-04,09:39:52,0.2539,26.31,25.0,3248,15017609.0,2.844145747591892e-05
2024-09-04,09:39:52,0.2585,26.31,25.0,3248,15017609.0,2.844145747591892e-05
2024-09-04,09:39:52,0.263,26.31,25.0,3248,15017609.0,2.844145747591892e-05
2024-09-04,09:39:52,0.2676,26.31,25.0,3248,15017609.0,2.844145747591892e-05
2024-09-04,09:39:52,0.2721,26.31,25.0,3248,15017609.0,2.844145747591892e-05
2024-09-04,09:39:52,0.2767,26.31,25.0,3247,15017609.0,2.848698393932761e-05
2024-09-04,09:39:52,0.2812,26.31,25.0,3247,15017609.0,2.848698393932761e-05
2024-09-04,09:39:52,0.2857,26.31,25.0,3247,15017609.0,2.848698393932761e-05
2024-09-04,09:39:52,0.2903,26.31,25.0,3247,15017609.0,2.848698393932761e-05
2024-09-04,09:39:52,0.2948,26.31,25.0,3247,15017609.0,2.848698393932761e-05
2024-09-04,09:39:52,0.2994,26.31,25.0,3247,15017609.0,2.848698393932761e-05
2024-09-04,09:39:52,0.304,26.31,25.0,3248,15017609.0,2.844145747591892e-05
2024-09-04,09:39:52,0.3085,26.31,25.0,3248,15017609.0,2.844145747591892e-05
2024-09-04,09:39:52,0.313,26.31,25.0,3248,15017609.0,2.844145747591892e-05
2024-09-04,09:39:52,0.3176,26.31,25.0,3248,15017609.0,2.844145747591892e-05
2024-09-04,09:39:53,0.3222,26.31,25.0,3247,15017609.0,2.848698393932761e-05
2024-09-04,09:39:53,0.3268,26.31,25.0,3247,15017609.0,2.848698393932761e-05
2024-09-04,09:39:53,0.3313,26.31,25.0,3248,15017609.0,2.844145747591892e-05
2024-09-04,09:39:53,0.3359,26.31,25.0,3248,15017609.0,2.844145747591892e-05
2024-09-04,09:39:53,0.3404,26.31,25.0,3248,15017609.0,2.844145747591892e-05
2024-09-04,09:39:53,0.3449,26.31,25.0,3249,15017609.0,2.839600377061182e-05
2024-09-04,09:39:53,0.3494,26.31,25.0,3249,15017609.0,2.839600377061182e-05
