Date,Time,Relative_time,Ambient,Temperature,Peak Magnitude (RAW),Resonance_Frequency,Dissipation
2024-03-08,10:27:18,0.0528,27.31,24.75,3314,15120530.0,2.559214835353161e-05
2024-03-08,10:27:18,0.0807,27.31,24.75,3324,15120856.0,2.51860764241487e-05
2024-03-08,10:27:18,0.1118,27.31,24.75,3382,15120798.0,2.2954740935434e-05
2024-03-08,10:27:18,0.1175,27.31,24.75,3382,15120798.0,2.2954740935434e-05
2024-03-08,10:27:18,0.1234,27.31,24.75,3381,15120798.0,2.299148476876735e-05
2024-03-08,10:27:18,0.1292,27.31,24.75,3381,15120798.0,2.299148476876735e-05
2024-03-08,10:27:18,0.135,27.31,24.75,3381,15120798.0,2.299148476876735e-05
2024-03-08,10:27:18,0.1407,27.31,24.75,3381,15120798.0,2.299148476876735e-05
2024-03-08,10:27:18,0.1465,27.31,24.75,3381,15120798.0,2.299148476876735e-05
2024-03-08,10:27:18,0.1523,27.31,24.75,3381,15120798.0,2.299148476876735e-05
2024-03-08,10:27:18,0.1581,27.31,24.75,3381,15120798.0,2.299148476876735e-05
2024-03-08,10:27:18,0.1639,27.31,24.75,3380,15120798.0,2.302828741824206e-05
2024-03-08,10:27:18,0.1697,27.31,24.75,3380,15120798.0,2.302828741824206e-05
2024-03-08,10:27:18,0.1755,27.31,24.75,3381,15120798.0,2.299148476876735e-05
2024-03-08,10:27:18,0.1814,27.31,24.75,3381,15120798.0,2.299148476876735e-05
2024-03-08,10:27:18,0.1872,27.31,24.75,3381,15120798.0,2.299148476876735e-05
2024-03-08,10:27:18,0.1929,27.31,24.75,3381,15120798.0,2.299148476876735e-05
2024-03-08,10:27:18,0.1987,27.31,24.75,3381,15120798.0,2.299148476876735e-05
2024-03-08,10:27:18,0.2045,27.31,24.75,3381,15120798.0,2.299148476876735e-05
2024-03-08,10:27:18,0.2103,27.31,24.75,3381,15120799.0,2.299148476876735e-05
2024-03-08,10:27:18,0.2161,27.31,24.75,3382,15120799.0,2.2954740935434e-05
2024-03-08,10:27:18,0.222,27.31,24.75,3382,15120798.0,2.2954740935434e-05
2024-03-08,10:27:18,0.2278,27.31,24.75,3382,15120798.0,2.2954740935434e-05
