Date,Time,Relative_time,Ambient,Temperature,Peak Magnitude (RAW),Resonance_Frequency,Dissipation
2023-10-23,11:42:33,0.054,27.25,24.75,3362,15175950.0,2.370090073097218e-05
2023-10-23,11:42:33,0.0823,27.25,24.75,3338,15176238.0,2.462837728351922e-05
2023-10-23,11:42:33,0.1126,27.25,24.75,3345,15176170.0,2.435417590387356e-05
2023-10-23,11:42:33,0.1162,27.25,24.75,3337,15176172.0,2.466780011964366e-05
2023-10-23,11:42:33,0.1199,27.25,24.75,3337,15176172.0,2.466780011964366e-05
2023-10-23,11:42:33,0.1236,27.25,24.75,3337,15176172.0,2.466780011964366e-05
2023-10-23,11:42:33,0.1273,27.25,24.75,3337,15176172.0,2.466780011964366e-05
2023-10-23,11:42:33,0.1309,27.25,24.75,3336,15176172.0,2.470728606021017e-05
2023-10-23,11:42:33,0.1346,27.25,24.75,3336,15176172.0,2.470728606021017e-05
2023-10-23,11:42:33,0.1383,27.25,24.75,3337,15176171.0,2.466780011964366e-05
2023-10-23,11:42:33,0.142,27.25,24.75,3337,15176171.0,2.466780011964366e-05
2023-10-23,11:42:33,0.1457,27.25,24.75,3337,15176172.0,2.466780011964366e-05
2023-10-23,11:42:33,0.1493,27.25,24.75,3337,15176171.0,2.466780011964366e-05
2023-10-23,11:42:33,0.153,27.25,24.75,3337,15176171.0,2.466780011964366e-05
2023-10-23,11:42:33,0.1567,27.25,24.75,3337,15176171.0,2.466780011964366e-05
2023-10-23,11:42:33,0.1604,27.25,24.75,3337,15176171.0,2.466780011964366e-05
2023-10-23,11:42:33,0.164,27.25,24.75,3337,15176171.0,2.466780011964366e-05
2023-10-23,11:42:33,0.1677,27.25,24.75,3337,15176171.0,2.466780011964366e-05
2023-10-23,11:42:33,0.1713,27.25,24.75,3337,15176172.0,2.466780011964366e-05
2023-10-23,11:42:33,0.175,27.25,24.75,3336,15176172.0,2.470728606021017e-05
2023-10-23,11:42:33,0.1787,27.25,24.75,3336,15176172.0,2.470728606021017e-05
2023-10-23,11:42:33,0.1823,27.25,24.75,3337,15176171.0,2.466780011964366e-05
2023-10-23,11:42:33,0.186,27.25,24.75,3337,15176172.0,2.466780011964366e-05
2023-10-23,11:42:33,0.1933,27.25,24.75,3337,15176171.0,2.466780011964366e-05
2023-10-23,11:42:33,0.197,27.25,24.75,3337,15176171.0,2.466780011964366e-05
2023-10-23,11:42:33,0.2006,27.25,24.75,3337,15176171.0,2.466780011964366e-05
2023-10-23,11:42:33,0.2081,27.25,24.75,3339,15176171.0,2.458901745098655e-05
2023-10-23,11:42:33,0.2117,27.25,24.75,3338,15176172.0,2.462837728351922e-05
2023-10-23,11:42:33,0.2154,27.25,24.75,3337,15176171.0,2.466780011964366e-05
2023-10-23,11:42:33,0.219,27.25,24.75,3337,15176171.0,2.466780011964366e-05
2023-10-23,11:42:33,0.2264,27.25,24.75,3338,15176172.0,2.462837728351922e-05
2023-10-23,11:42:33,0.2301,27.25,24.75,3337,15176171.0,2.466780011964366e-05
2023-10-23,11:42:33,0.2338,27.25,24.75,3337,15176171.0,2.466780011964366e-05
2023-10-23,11:42:33,0.2375,27.25,24.75,3337,15176172.0,2.466780011964366e-05
2023-10-23,11:42:33,0.2448,27.25,24.75,3338,15176171.0,2.462837728351922e-05
2023-10-23,11:42:33,0.2484,27.25,24.75,3339,15176171.0,2.458901745098655e-05
2023-10-23,11:42:33,0.2521,27.25,24.75,3338,15176171.0,2.462837728351922e-05
2023-10-23,11:42:33,0.2594,27.25,24.75,3337,15176171.0,2.466780011964366e-05
2023-10-23,11:42:33,0.263,27.25,24.75,3337,15176172.0,2.466780011964366e-05
2023-10-23,11:42:33,0.2667,27.25,24.75,3337,15176172.0,2.466780011964366e-05
2023-10-23,11:42:33,0.2705,27.25,24.75,3337,15176172.0,2.466780011964366e-05
2023-10-23,11:42:33,0.2778,27.25,24.75,3336,15176172.0,2.470728606021017e-05
2023-10-23,11:42:33,0.2814,27.25,24.75,3337,15176172.0,2.466780011964366e-05
2023-10-23,11:42:33,0.285,27.25,24.75,3337,15176171.0,2.466780011964366e-05
2023-10-23,11:42:33,0.2925,27.25,24.75,3338,15176172.0,2.462837728351922e-05
2023-10-23,11:42:33,0.2961,27.25,24.75,3337,15176172.0,2.466780011964366e-05
2023-10-23,11:42:33,0.2998,27.25,24.75,3337,15176172.0,2.466780011964366e-05
2023-10-23,11:42:33,0.3034,27.25,24.75,3337,15176172.0,2.466780011964366e-05
2023-10-23,11:42:33,0.3107,27.25,24.75,3337,15176170.0,2.466780011964366e-05
2023-10-23,11:42:33,0.3144,27.25,24.75,3337,15176171.0,2.466780011964366e-05
2023-10-23,11:42:33,0.3181,27.25,24.75,3337,15176171.0,2.466780011964366e-05
2023-10-23,11:42:33,0.3254,27.25,24.75,3338,15176172.0,2.462837728351922e-05
2023-10-23,11:42:33,0.3291,27.25,24.75,3339,15176172.0,2.458901745098655e-05
2023-10-23,11:42:33,0.3328,27.25,24.75,3338,15176171.0,2.462837728351922e-05
2023-10-23,11:42:33,0.3364,27.25,24.75,3338,15176170.0,2.462837728351922e-05
2023-10-23,11:42:33,0.3438,27.25,24.75,3337,15176172.0,2.466780011964366e-05
2023-10-23,11:42:33,0.3475,27.25,24.75,3337,15176171.0,2.466780011964366e-05
2023-10-23,11:42:33,0.3512,27.25,24.75,3337,15176171.0,2.466780011964366e-05
2023-10-23,11:42:33,0.3585,27.25,24.75,3337,15176172.0,2.466780011964366e-05
2023-10-23,11:42:33,0.3622,27.25,24.75,3337,15176171.0,2.466780011964366e-05
2023-10-23,11:42:33,0.3659,27.25,24.75,3337,15176171.0,2.466780011964366e-05
2023-10-23,11:42:33,0.3695,27.25,24.75,3337,15176172.0,2.466780011964366e-05
