Date,Time,Relative_time,Ambient,Temperature,Peak Magnitude (RAW),Resonance_Frequency,Dissipation
2024-04-25,11:24:30,0.0528,25.94,24.5,3142,15090502.0,3.369627255832234e-05
2024-04-25,11:24:30,0.0806,25.94,24.5,3148,15090833.0,3.337445063943879e-05
2024-04-25,11:24:30,0.1119,25.94,24.5,3194,15090755.0,3.10071234219656e-05
2024-04-25,11:24:30,0.1182,25.94,24.5,3193,15090755.0,3.105675676691896e-05
2024-04-25,11:24:30,0.1243,25.94,24.5,3194,15090756.0,3.10071234219656e-05
2024-04-25,11:24:30,0.1305,25.94,24.5,3195,15090756.0,3.095756939852513e-05
2024-04-25,11:24:30,0.1367,25.94,24.5,3195,15090755.0,3.095756939852513e-05
2024-04-25,11:24:30,0.143,25.94,24.5,3195,15090756.0,3.095756939852513e-05
2024-04-25,11:24:30,0.1492,25.94,24.5,3195,15090756.0,3.095756939852513e-05
2024-04-25,11:24:30,0.1553,25.94,24.5,3194,15090756.0,3.10071234219656e-05
2024-04-25,11:24:30,0.1616,25.94,24.5,3194,15090755.0,3.10071234219656e-05
2024-04-25,11:24:30,0.1677,25.94,24.5,3195,15090755.0,3.095756939852513e-05
2024-04-25,11:24:30,0.1739,25.94,24.5,3195,15090755.0,3.095756939852513e-05
2024-04-25,11:24:30,0.1801,25.94,24.5,3195,15090756.0,3.095756939852513e-05
2024-04-25,11:24:30,0.1864,25.94,24.5,3195,15090755.0,3.095756939852513e-05
2024-04-25,11:24:30,0.1927,25.94,24.5,3195,15090755.0,3.095756939852513e-05
2024-04-25,11:24:30,0.1988,25.94,24.5,3195,15090755.0,3.095756939852513e-05
2024-04-25,11:24:30,0.205,25.94,24.5,3195,15090756.0,3.095756939852513e-05
2024-04-25,11:24:30,0.2112,25.94,24.5,3195,15090755.0,3.095756939852513e-05
2024-04-25,11:24:30,0.2175,25.94,24.5,3194,15090756.0,3.10071234219656e-05
2024-04-25,11:24:30,0.2236,25.94,24.5,3194,15090756.0,3.10071234219656e-05
2024-04-25,11:24:30,0.2298,25.94,24.5,3195,15090756.0,3.095756939852513e-05
2024-04-25,11:24:30,0.2361,25.94,24.5,3195,15090755.0,3.095756939852513e-05
2024-04-25,11:24:30,0.2423,25.94,24.5,3195,15090755.0,3.095756939852513e-05
2024-04-25,11:24:30,0.2485,25.94,24.5,3195,15090756.0,3.095756939852513e-05
2024-04-25,11:24:30,0.2546,25.94,24.5,3195,15090756.0,3.095756939852513e-05
2024-04-25,11:24:30,0.2609,25.94,24.5,3195,15090755.0,3.095756939852513e-05
2024-04-25,11:24:30,0.2672,25.94,24.5,3195,15090755.0,3.095756939852513e-05
2024-04-25,11:24:30,0.2733,25.94,24.5,3195,15090756.0,3.095756939852513e-05
2024-04-25,11:24:30,0.2795,25.94,24.5,3194,15090756.0,3.10071234219656e-05
2024-04-25,11:24:30,0.2857,25.94,24.5,3194,15090755.0,3.10071234219656e-05
2024-04-25,11:24:30,0.292,25.94,24.5,3195,15090755.0,3.095756939852513e-05
2024-04-25,11:24:30,0.2981,25.94,24.5,3195,15090756.0,3.095756939852513e-05
2024-04-25,11:24:30,0.3043,25.94,24.5,3194,15090756.0,3.10071234219656e-05
2024-04-25,11:24:30,0.3104,25.94,24.5,3194,15090755.0,3.10071234219656e-05
2024-04-25,11:24:30,0.3166,25.94,24.5,3195,15090755.0,3.095756939852513e-05
2024-04-25,11:24:30,0.3228,25.94,24.5,3195,15090756.0,3.095756939852513e-05
2024-04-25,11:24:30,0.3291,25.94,24.5,3195,15090755.0,3.095756939852513e-05
2024-04-25,11:24:30,0.3354,25.94,24.5,3194,15090755.0,3.10071234219656e-05
