Date,Time,Relative_time,Ambient,Temperature,Peak Magnitude (RAW),Resonance_Frequency,Dissipation
2024-09-09,12:35:57,0.0542,26.5,25.5,3215,14924803.0,2.99829526987228e-05
2024-09-09,12:35:57,0.0822,26.5,25.5,3186,14925152.0,3.14064218751296e-05
2024-09-09,12:35:57,0.1128,26.5,25.5,3209,14925053.0,3.027207120663602e-05
2024-09-09,12:35:57,0.1173,26.5,25.5,3202,14925055.0,3.061290161380538e-05
2024-09-09,12:35:57,0.1219,26.5,25.5,3202,14925055.0,3.061290161380538e-05
2024-09-09,12:35:57,0.1264,26.5,25.5,3202,14925055.0,3.061290161380538e-05
2024-09-09,12:35:57,0.131,26.5,25.5,3202,14925055.0,3.061290161380538e-05
2024-09-09,12:35:57,0.1355,26.5,25.5,3202,14925055.0,3.061290161380538e-05
2024-09-09,12:35:57,0.14,26.5,25.5,3202,14925055.0,3.061290161380538e-05
2024-09-09,12:35:57,0.1446,26.5,25.5,3202,14925055.0,3.061290161380538e-05
2024-09-09,12:35:57,0.1491,26.5,25.5,3202,14925055.0,3.061290161380538e-05
2024-09-09,12:35:57,0.1537,26.5,25.5,3202,14925056.0,3.061290161380538e-05
2024-09-09,12:35:57,0.1582,26.5,25.5,3202,14925056.0,3.061290161380538e-05
2024-09-09,12:35:57,0.1628,26.5,25.5,3202,14925055.0,3.061290161380538e-05
2024-09-09,12:35:57,0.1673,26.5,25.5,3202,14925055.0,3.061290161380538e-05
2024-09-09,12:35:57,0.1719,26.5,25.5,3202,14925055.0,3.061290161380538e-05
2024-09-09,12:35:57,0.1764,26.5,25.5,3202,14925055.0,3.061290161380538e-05
2024-09-09,12:35:57,0.1809,26.5,25.5,3202,14925056.0,3.061290161380538e-05
2024-09-09,12:35:57,0.1855,26.5,25.5,3202,14925055.0,3.061290161380538e-05
2024-09-09,12:35:57,0.19,26.5,25.5,3202,14925056.0,3.061290161380538e-05
2024-09-09,12:35:57,0.1946,26.5,25.5,3202,14925056.0,3.061290161380538e-05
2024-09-09,12:35:57,0.1991,26.5,25.5,3202,14925056.0,3.061290161380538e-05
2024-09-09,12:35:57,0.2037,26.5,25.5,3202,14925055.0,3.061290161380538e-05
2024-09-09,12:35:57,0.2082,26.5,25.5,3202,14925055.0,3.061290161380538e-05
2024-09-09,12:35:57,0.2128,26.5,25.5,3202,14925054.0,3.061290161380538e-05
2024-09-09,12:35:57,0.2173,26.5,25.5,3202,14925054.0,3.061290161380538e-05
2024-09-09,12:35:57,0.2218,26.5,25.5,3202,14925056.0,3.061290161380538e-05
2024-09-09,12:35:57,0.2264,26.5,25.5,3203,14925055.0,3.056397761580959e-05
2024-09-09,12:35:57,0.2309,26.5,25.5,3203,14925055.0,3.056397761580959e-05
2024-09-09,12:35:57,0.2355,26.5,25.5,3206,14925054.0,3.041767424941981e-05
2024-09-09,12:35:57,0.24,26.5,25.5,3206,14925054.0,3.041767424941981e-05
2024-09-09,12:35:57,0.2445,26.5,25.5,3202,14925055.0,3.061290161380538e-05
2024-09-09,12:35:57,0.249,26.5,25.5,3202,14925056.0,3.061290161380538e-05
2024-09-09,12:35:57,0.2536,26.5,25.5,3202,14925056.0,3.061290161380538e-05
2024-09-09,12:35:57,0.2581,26.5,25.5,3202,14925056.0,3.061290161380538e-05
2024-09-09,12:35:57,0.2626,26.5,25.5,3202,14925056.0,3.061290161380538e-05
2024-09-09,12:35:57,0.2672,26.5,25.5,3202,14925056.0,3.061290161380538e-05
2024-09-09,12:35:57,0.2717,26.5,25.5,3202,14925055.0,3.061290161380538e-05
2024-09-09,12:35:57,0.2762,26.5,25.5,3202,14925055.0,3.061290161380538e-05
2024-09-09,12:35:57,0.2808,26.5,25.5,3202,14925056.0,3.061290161380538e-05
2024-09-09,12:35:57,0.2853,26.5,25.5,3202,14925056.0,3.061290161380538e-05
2024-09-09,12:35:57,0.2899,26.5,25.5,3202,14925056.0,3.061290161380538e-05
2024-09-09,12:35:57,0.2944,26.5,25.5,3203,14925056.0,3.056397761580959e-05
