Date,Time,Relative_time,Ambient,Temperature,Peak Magnitude (RAW),Resonance_Frequency,Dissipation
2023-10-20,14:29:23,0.054,27.81,25.0,3392,15180330.0,2.259051688470672e-05
2023-10-20,14:29:23,0.0823,27.81,25.0,3369,15180618.0,2.343702546203084e-05
2023-10-20,14:29:23,0.1126,27.81,25.0,3376,15180552.0,2.317608806276578e-05
2023-10-20,14:29:23,0.1163,27.81,25.0,3367,15180556.0,2.351211717380678e-05
2023-10-20,14:29:23,0.1199,27.81,25.0,3365,15180556.0,2.358744947776824e-05
2023-10-20,14:29:23,0.1236,27.81,25.0,3364,15180555.0,2.362520609261339e-05
2023-10-20,14:29:23,0.1273,27.81,25.0,3364,15180555.0,2.362520609261339e-05
2023-10-20,14:29:23,0.1309,27.81,25.0,3364,15180555.0,2.362520609261339e-05
2023-10-20,14:29:23,0.1346,27.81,25.0,3365,15180556.0,2.358744947776824e-05
2023-10-20,14:29:23,0.1383,27.81,25.0,3366,15180555.0,2.354975320364386e-05
2023-10-20,14:29:23,0.1419,27.81,25.0,3366,15180555.0,2.354975320364386e-05
2023-10-20,14:29:23,0.1455,27.81,25.0,3365,15180556.0,2.358744947776824e-05
2023-10-20,14:29:23,0.1492,27.81,25.0,3365,15180556.0,2.358744947776824e-05
2023-10-20,14:29:23,0.1529,27.81,25.0,3366,15180555.0,2.354975320364386e-05
2023-10-20,14:29:23,0.1566,27.81,25.0,3366,15180555.0,2.354975320364386e-05
2023-10-20,14:29:23,0.1603,27.81,25.0,3366,15180555.0,2.354975320364386e-05
2023-10-20,14:29:23,0.164,27.81,25.0,3367,15180556.0,2.351211717380678e-05
2023-10-20,14:29:23,0.1678,27.81,25.0,3366,15180556.0,2.354975320364386e-05
2023-10-20,14:29:23,0.1713,27.81,25.0,3365,15180556.0,2.358744947776824e-05
2023-10-20,14:29:23,0.1749,27.81,25.0,3366,15180555.0,2.354975320364386e-05
2023-10-20,14:29:23,0.1786,27.81,25.0,3366,15180556.0,2.354975320364386e-05
2023-10-20,14:29:23,0.1823,27.81,25.0,3366,15180556.0,2.354975320364386e-05
2023-10-20,14:29:23,0.1859,27.81,25.0,3366,15180555.0,2.354975320364386e-05
2023-10-20,14:29:23,0.1895,27.81,25.0,3365,15180556.0,2.358744947776824e-05
2023-10-20,14:29:23,0.1932,27.81,25.0,3365,15180556.0,2.358744947776824e-05
2023-10-20,14:29:23,0.1969,27.81,25.0,3366,15180555.0,2.354975320364386e-05
2023-10-20,14:29:23,0.2005,27.81,25.0,3366,15180555.0,2.354975320364386e-05
2023-10-20,14:29:23,0.2041,27.81,25.0,3366,15180555.0,2.354975320364386e-05
2023-10-20,14:29:23,0.2078,27.81,25.0,3366,15180555.0,2.354975320364386e-05
2023-10-20,14:29:23,0.2115,27.81,25.0,3366,15180555.0,2.354975320364386e-05
2023-10-20,14:29:23,0.2151,27.81,25.0,3366,15180555.0,2.354975320364386e-05
2023-10-20,14:29:23,0.2188,27.81,25.0,3365,15180555.0,2.358744947776824e-05
2023-10-20,14:29:23,0.2225,27.81,25.0,3365,15180556.0,2.358744947776824e-05
2023-10-20,14:29:23,0.2262,27.81,25.0,3366,15180556.0,2.354975320364386e-05
2023-10-20,14:29:23,0.23,27.81,25.0,3366,15180555.0,2.354975320364386e-05
2023-10-20,14:29:23,0.2335,27.81,25.0,3366,15180555.0,2.354975320364386e-05
2023-10-20,14:29:23,0.2373,27.81,25.0,3366,15180555.0,2.354975320364386e-05
2023-10-20,14:29:23,0.241,27.81,25.0,3367,15180554.0,2.351211717380678e-05
2023-10-20,14:29:23,0.2446,27.81,25.0,3366,15180554.0,2.354975320364386e-05
