Date,Time,Relative_time,Ambient,Temperature,Peak Magnitude (RAW),Resonance_Frequency,Dissipation
2023-06-22,10:50:59,0.0538,27.19,25.0,3112,15095406.0,3.535253376381289e-05
2023-06-22,10:50:59,0.0822,27.19,25.0,3084,15095703.0,3.697174793869244e-05
2023-06-22,10:50:59,0.1124,27.19,25.0,3090,15095629.0,3.661864304124377e-05
2023-06-22,10:50:59,0.1162,27.19,25.0,3086,15095630.0,3.685366959553251e-05
2023-06-22,10:50:59,0.1199,27.19,25.0,3085,15095629.0,3.691266155266892e-05
2023-06-22,10:50:59,0.1237,27.19,25.0,3086,15095628.0,3.685366959553251e-05
2023-06-22,10:50:59,0.1275,27.19,25.0,3087,15095628.0,3.679477191637176e-05
2023-06-22,10:50:59,0.1312,27.19,25.0,3087,15095629.0,3.679477191637176e-05
2023-06-22,10:50:59,0.135,27.19,25.0,3087,15095629.0,3.679477191637176e-05
2023-06-22,10:50:59,0.1388,27.19,25.0,3087,15095629.0,3.679477191637176e-05
2023-06-22,10:50:59,0.1425,27.19,25.0,3086,15095628.0,3.685366959553251e-05
2023-06-22,10:50:59,0.1463,27.19,25.0,3085,15095628.0,3.691266155266892e-05
2023-06-22,10:50:59,0.1501,27.19,25.0,3086,15095629.0,3.685366959553251e-05
2023-06-22,10:50:59,0.1539,27.19,25.0,3087,15095628.0,3.679477191637176e-05
2023-06-22,10:50:59,0.1576,27.19,25.0,3086,15095628.0,3.685366959553251e-05
2023-06-22,10:50:59,0.1613,27.19,25.0,3086,15095628.0,3.685366959553251e-05
2023-06-22,10:50:59,0.1651,27.19,25.0,3086,15095627.0,3.685366959553251e-05
2023-06-22,10:50:59,0.1688,27.19,24.88,3087,15095627.0,3.679477191637176e-05
2023-06-22,10:50:59,0.1726,27.19,24.88,3087,15095627.0,3.679477191637176e-05
2023-06-22,10:50:59,0.1764,27.19,24.88,3088,15095627.0,3.673596836451631e-05
2023-06-22,10:50:59,0.1802,27.19,24.88,3090,15095628.0,3.661864304124377e-05
2023-06-22,10:50:59,0.1839,27.19,24.88,3087,15095630.0,3.679477191637176e-05
2023-06-22,10:50:59,0.1877,27.19,24.88,3086,15095629.0,3.685366959553251e-05
2023-06-22,10:50:59,0.1915,27.19,24.88,3087,15095628.0,3.679477191637176e-05
2023-06-22,10:50:59,0.1953,27.19,24.88,3087,15095629.0,3.679477191637176e-05
2023-06-22,10:50:59,0.199,27.19,24.88,3087,15095629.0,3.679477191637176e-05
2023-06-22,10:50:59,0.2027,27.19,24.88,3086,15095628.0,3.685366959553251e-05
2023-06-22,10:50:59,0.2065,27.19,24.88,3086,15095628.0,3.685366959553251e-05
2023-06-22,10:50:59,0.2102,27.19,24.88,3086,15095628.0,3.685366959553251e-05
2023-06-22,10:50:59,0.214,27.19,24.88,3085,15095628.0,3.691266155266892e-05
2023-06-22,10:50:59,0.2178,27.19,24.88,3085,15095628.0,3.691266155266892e-05
2023-06-22,10:50:59,0.2215,27.19,24.88,3086,15095628.0,3.685366959553251e-05
2023-06-22,10:50:59,0.2252,27.19,24.88,3086,15095628.0,3.685366959553251e-05
2023-06-22,10:50:59,0.2291,27.19,24.88,3085,15095628.0,3.691266155266892e-05
2023-06-22,10:50:59,0.2328,27.19,24.88,3085,15095629.0,3.691266155266892e-05
2023-06-22,10:50:59,0.2366,27.19,24.88,3086,15095628.0,3.685366959553251e-05
2023-06-22,10:50:59,0.2404,27.19,24.88,3086,15095628.0,3.685366959553251e-05
2023-06-22,10:50:59,0.2441,27.19,24.88,3086,15095628.0,3.685366959553251e-05
2023-06-22,10:50:59,0.2479,27.19,24.88,3087,15095629.0,3.679477191637176e-05
2023-06-22,10:50:59,0.2516,27.19,24.88,3087,15095628.0,3.679477191637176e-05
2023-06-22,10:50:59,0.2554,27.19,24.88,3086,15095628.0,3.685366959553251e-05
2023-06-22,10:50:59,0.2592,27.19,24.88,3086,15095627.0,3.685366959553251e-05
2023-06-22,10:50:59,0.2629,27.19,24.88,3087,15095628.0,3.679477191637176e-05
2023-06-22,10:50:59,0.2667,27.19,24.88,3086,15095629.0,3.685366959553251e-05
2023-06-22,10:50:59,0.2705,27.19,24.88,3085,15095628.0,3.691266155266892e-05
2023-06-22,10:50:59,0.2741,27.19,24.88,3086,15095628.0,3.685366959553251e-05
2023-06-22,10:50:59,0.2779,27.19,24.88,3087,15095628.0,3.679477191637176e-05
2023-06-22,10:50:59,0.2817,27.19,24.88,3086,15095629.0,3.685366959553251e-05
2023-06-22,10:50:59,0.2854,27.19,24.88,3085,15095629.0,3.691266155266892e-05
2023-06-22,10:50:59,0.2892,27.19,24.88,3086,15095628.0,3.685366959553251e-05
2023-06-22,10:50:59,0.2929,27.19,24.88,3086,15095627.0,3.685366959553251e-05
2023-06-22,10:50:59,0.2967,27.19,24.88,3086,15095627.0,3.685366959553251e-05
2023-06-22,10:50:59,0.3005,27.19,24.88,3086,15095628.0,3.685366959553251e-05
2023-06-22,10:50:59,0.3042,27.19,24.88,3086,15095628.0,3.685366959553251e-05
2023-06-22,10:50:59,0.3079,27.19,24.88,3087,15095629.0,3.679477191637176e-05
2023-06-22,10:50:59,0.3117,27.19,24.88,3087,15095628.0,3.679477191637176e-05
2023-06-22,10:50:59,0.3155,27.19,24.88,3086,15095628.0,3.685366959553251e-05
2023-06-22,10:50:59,0.3192,27.19,24.88,3085,15095628.0,3.691266155266892e-05
2023-06-22,10:50:59,0.3229,27.19,24.88,3087,15095629.0,3.679477191637176e-05
2023-06-22,10:50:59,0.3267,27.19,24.88,3087,15095630.0,3.679477191637176e-05
2023-06-22,10:50:59,0.3306,27.19,24.88,3086,15095629.0,3.685366959553251e-05
2023-06-22,10:50:59,0.3343,27.19,24.88,3087,15095629.0,3.679477191637176e-05
2023-06-22,10:50:59,0.338,27.19,24.88,3088,15095629.0,3.673596836451631e-05
2023-06-22,10:50:59,0.3418,27.19,24.88,3087,15095629.0,3.679477191637176e-05
2023-06-22,10:50:59,0.3455,27.19,24.88,3085,15095628.0,3.691266155266892e-05
2023-06-22,10:50:59,0.3492,27.19,24.88,3086,15095628.0,3.685366959553251e-05
2023-06-22,10:50:59,0.353,27.19,24.88,3086,15095628.0,3.685366959553251e-05
2023-06-22,10:50:59,0.3568,27.19,24.88,3086,15095628.0,3.685366959553251e-05
2023-06-22,10:50:59,0.3606,27.19,24.88,3086,15095628.0,3.685366959553251e-05
2023-06-22,10:50:59,0.3643,27.19,24.88,3085,15095628.0,3.691266155266892e-05
2023-06-22,10:50:59,0.3681,27.19,24.88,3086,15095629.0,3.685366959553251e-05
2023-06-22,10:50:59,0.3718,27.19,24.88,3086,15095629.0,3.685366959553251e-05
2023-06-22,10:50:59,0.3756,27.19,24.88,3086,15095629.0,3.685366959553251e-05
2023-06-22,10:50:59,0.3794,27.19,24.88,3087,15095629.0,3.679477191637176e-05
2023-06-22,10:50:59,0.3831,27.19,24.88,3087,15095628.0,3.679477191637176e-05
2023-06-22,10:50:59,0.3868,27.19,24.88,3086,15095628.0,3.685366959553251e-05
2023-06-22,10:50:59,0.3906,27.19,24.88,3086,15095628.0,3.685366959553251e-05
2023-06-22,10:50:59,0.3944,27.19,24.88,3087,15095628.0,3.679477191637176e-05
2023-06-22,10:50:59,0.3981,27.19,24.88,3087,15095628.0,3.679477191637176e-05
2023-06-22,10:50:59,0.4019,27.19,24.88,3086,15095629.0,3.685366959553251e-05
2023-06-22,10:50:59,0.4056,27.19,24.88,3085,15095628.0,3.691266155266892e-05
2023-06-22,10:50:59,0.4093,27.19,24.88,3085,15095628.0,3.691266155266892e-05
2023-06-22,10:50:59,0.4132,27.19,24.88,3085,15095628.0,3.691266155266892e-05
2023-06-22,10:50:59,0.417,27.19,24.88,3086,15095627.0,3.685366959553251e-05
2023-06-22,10:50:59,0.4207,27.19,24.88,3087,15095628.0,3.679477191637176e-05
2023-06-22,10:50:59,0.4244,27.19,24.88,3088,15095628.0,3.673596836451631e-05
2023-06-22,10:50:59,0.4282,27.19,24.88,3088,15095627.0,3.673596836451631e-05
2023-06-22,10:50:59,0.432,27.19,24.88,3086,15095629.0,3.685366959553251e-05
2023-06-22,10:50:59,0.4357,27.19,24.88,3086,15095628.0,3.685366959553251e-05
2023-06-22,10:50:59,0.4394,27.19,24.88,3087,15095628.0,3.679477191637176e-05
2023-06-22,10:50:59,0.4432,27.19,24.88,3086,15095628.0,3.685366959553251e-05
2023-06-22,10:50:59,0.447,27.19,24.88,3086,15095628.0,3.685366959553251e-05
2023-06-22,10:50:59,0.4508,27.19,24.88,3086,15095627.0,3.685366959553251e-05
2023-06-22,10:50:59,0.4545,27.19,24.88,3085,15095627.0,3.691266155266892e-05
2023-06-22,10:50:59,0.4583,27.19,24.88,3086,15095628.0,3.685366959553251e-05
2023-06-22,10:50:59,0.462,27.19,24.88,3087,15095629.0,3.679477191637176e-05
2023-06-22,10:50:59,0.4657,27.19,24.88,3087,15095628.0,3.679477191637176e-05
2023-06-22,10:50:59,0.4696,27.19,24.88,3087,15095628.0,3.679477191637176e-05
2023-06-22,10:50:59,0.4733,27.19,24.88,3086,15095627.0,3.685366959553251e-05
2023-06-22,10:50:59,0.4771,27.19,24.88,3086,15095627.0,3.685366959553251e-05
2023-06-22,10:50:59,0.4808,27.19,24.88,3086,15095628.0,3.685366959553251e-05
2023-06-22,10:50:59,0.4846,27.19,24.88,3086,15095628.0,3.685366959553251e-05
2023-06-22,10:50:59,0.4884,27.19,24.88,3086,15095628.0,3.685366959553251e-05
2023-06-22,10:50:59,0.4921,27.19,24.88,3085,15095627.0,3.691266155266892e-05
2023-06-22,10:50:59,0.4959,27.19,24.88,3085,15095627.0,3.691266155266892e-05
2023-06-22,10:50:59,0.4996,27.19,24.88,3085,15095628.0,3.691266155266892e-05
2023-06-22,10:50:59,0.5034,27.19,24.88,3085,15095628.0,3.691266155266892e-05
2023-06-22,10:50:59,0.5071,27.19,24.88,3086,15095628.0,3.685366959553251e-05
2023-06-22,10:50:59,0.5109,27.19,24.88,3087,15095628.0,3.679477191637176e-05
2023-06-22,10:50:59,0.5146,27.19,24.88,3086,15095628.0,3.685366959553251e-05
2023-06-22,10:50:59,0.5184,27.19,24.88,3085,15095628.0,3.691266155266892e-05
2023-06-22,10:50:59,0.5222,27.19,24.88,3085,15095628.0,3.691266155266892e-05
2023-06-22,10:50:59,0.526,27.19,24.88,3085,15095628.0,3.691266155266892e-05
2023-06-22,10:50:59,0.5297,27.19,24.88,3086,15095628.0,3.685366959553251e-05
2023-06-22,10:50:59,0.5334,27.19,24.88,3086,15095627.0,3.685366959553251e-05
2023-06-22,10:50:59,0.5372,27.19,24.88,3085,15095628.0,3.691266155266892e-05
2023-06-22,10:50:59,0.5409,27.19,24.88,3085,15095628.0,3.691266155266892e-05
2023-06-22,10:50:59,0.5448,27.19,24.88,3086,15095628.0,3.685366959553251e-05
2023-06-22,10:50:59,0.5485,27.19,24.88,3086,15095628.0,3.685366959553251e-05
2023-06-22,10:50:59,0.5523,27.19,24.88,3086,15095628.0,3.685366959553251e-05
2023-06-22,10:50:59,0.556,27.19,24.88,3086,15095627.0,3.685366959553251e-05
2023-06-22,10:50:59,0.5598,27.19,24.88,3086,15095627.0,3.685366959553251e-05
2023-06-22,10:50:59,0.5636,27.19,24.88,3086,15095627.0,3.685366959553251e-05
2023-06-22,10:50:59,0.5673,27.19,24.88,3086,15095628.0,3.685366959553251e-05
2023-06-22,10:50:59,0.5711,27.19,24.88,3086,15095628.0,3.685366959553251e-05
2023-06-22,10:50:59,0.5748,27.19,24.88,3086,15095627.0,3.685366959553251e-05
2023-06-22,10:50:59,0.5786,27.19,24.88,3087,15095628.0,3.679477191637176e-05
2023-06-22,10:50:59,0.5823,27.19,24.88,3087,15095629.0,3.679477191637176e-05
2023-06-22,10:50:59,0.5861,27.19,24.88,3087,15095628.0,3.679477191637176e-05
2023-06-22,10:50:59,0.5898,27.19,24.88,3087,15095628.0,3.679477191637176e-05
2023-06-22,10:50:59,0.5935,27.19,24.88,3086,15095627.0,3.685366959553251e-05
2023-06-22,10:50:59,0.5974,27.19,24.88,3085,15095628.0,3.691266155266892e-05
2023-06-22,10:50:59,0.6012,27.19,24.88,3085,15095628.0,3.691266155266892e-05
2023-06-22,10:50:59,0.6049,27.19,24.88,3085,15095627.0,3.691266155266892e-05
2023-06-22,10:50:59,0.6087,27.19,24.88,3085,15095628.0,3.691266155266892e-05
2023-06-22,10:50:59,0.6125,27.19,24.88,3085,15095628.0,3.691266155266892e-05
2023-06-22,10:50:59,0.6162,27.19,24.88,3086,15095629.0,3.685366959553251e-05
2023-06-22,10:50:59,0.6199,27.19,24.88,3087,15095628.0,3.679477191637176e-05
2023-06-22,10:50:59,0.6237,27.19,24.88,3086,15095627.0,3.685366959553251e-05
2023-06-22,10:50:59,0.6275,27.19,24.88,3087,15095627.0,3.679477191637176e-05
2023-06-22,10:50:59,0.6313,27.19,24.88,3087,15095627.0,3.679477191637176e-05
2023-06-22,10:50:59,0.635,27.19,24.88,3086,15095627.0,3.685366959553251e-05
2023-06-22,10:50:59,0.6388,27.19,24.88,3086,15095627.0,3.685366959553251e-05
2023-06-22,10:50:59,0.6426,27.19,24.88,3086,15095628.0,3.685366959553251e-05
2023-06-22,10:50:59,0.6463,27.19,24.88,3086,15095628.0,3.685366959553251e-05
2023-06-22,10:50:59,0.6501,27.19,24.88,3087,15095627.0,3.679477191637176e-05
2023-06-22,10:50:59,0.6539,27.19,24.88,3087,15095628.0,3.679477191637176e-05
2023-06-22,10:50:59,0.6576,27.19,24.88,3086,15095628.0,3.685366959553251e-05
2023-06-22,10:50:59,0.6613,27.19,24.88,3086,15095627.0,3.685366959553251e-05
2023-06-22,10:50:59,0.6652,27.19,24.88,3086,15095627.0,3.685366959553251e-05
2023-06-22,10:50:59,0.6689,27.19,24.88,3087,15095628.0,3.679477191637176e-05
2023-06-22,10:50:59,0.6726,27.19,24.81,3086,15095628.0,3.685366959553251e-05
2023-06-22,10:50:59,0.6764,27.19,24.81,3086,15095628.0,3.685366959553251e-05
2023-06-22,10:50:59,0.6801,27.19,24.81,3087,15095628.0,3.679477191637176e-05
2023-06-22,10:50:59,0.6839,27.19,24.81,3087,15095628.0,3.679477191637176e-05
2023-06-22,10:50:59,0.6877,27.19,24.81,3086,15095628.0,3.685366959553251e-05
2023-06-22,10:50:59,0.6915,27.19,24.81,3085,15095628.0,3.691266155266892e-05
2023-06-22,10:50:59,0.6952,27.19,24.81,3086,15095628.0,3.685366959553251e-05
2023-06-22,10:50:59,0.6991,27.19,24.81,3086,15095628.0,3.685366959553251e-05
2023-06-22,10:50:59,0.7028,27.19,24.81,3086,15095627.0,3.685366959553251e-05
2023-06-22,10:50:59,0.7066,27.19,24.81,3086,15095628.0,3.685366959553251e-05
2023-06-22,10:50:59,0.7103,27.19,24.81,3086,15095628.0,3.685366959553251e-05
2023-06-22,10:50:59,0.714,27.19,24.81,3086,15095627.0,3.685366959553251e-05
2023-06-22,10:50:59,0.7179,27.19,24.81,3086,15095628.0,3.685366959553251e-05
2023-06-22,10:50:59,0.7217,27.19,24.81,3086,15095629.0,3.685366959553251e-05
2023-06-22,10:50:59,0.7254,27.19,24.81,3085,15095628.0,3.691266155266892e-05
2023-06-22,10:50:59,0.7292,27.19,24.81,3086,15095628.0,3.685366959553251e-05
2023-06-22,10:50:59,0.7329,27.19,24.81,3087,15095628.0,3.679477191637176e-05
2023-06-22,10:50:59,0.7368,27.19,24.81,3087,15095628.0,3.679477191637176e-05
2023-06-22,10:50:59,0.7405,27.19,24.81,3087,15095628.0,3.679477191637176e-05
2023-06-22,10:50:59,0.7442,27.19,24.81,3086,15095627.0,3.685366959553251e-05
2023-06-22,10:50:59,0.7479,27.19,24.81,3085,15095628.0,3.691266155266892e-05
2023-06-22,10:50:59,0.7517,27.19,24.81,3086,15095629.0,3.685366959553251e-05
2023-06-22,10:50:59,0.7556,27.19,24.81,3086,15095629.0,3.685366959553251e-05
2023-06-22,10:50:59,0.7593,27.19,24.81,3086,15095628.0,3.685366959553251e-05
2023-06-22,10:50:59,0.763,27.19,24.81,3087,15095628.0,3.679477191637176e-05
2023-06-22,10:50:59,0.7668,27.19,24.81,3087,15095628.0,3.679477191637176e-05
2023-06-22,10:50:59,0.7706,27.19,24.81,3086,15095629.0,3.685366959553251e-05
2023-06-22,10:50:59,0.7743,27.19,24.81,3085,15095628.0,3.691266155266892e-05
2023-06-22,10:50:59,0.778,27.19,24.81,3085,15095628.0,3.691266155266892e-05
2023-06-22,10:50:59,0.7819,27.19,24.81,3085,15095627.0,3.691266155266892e-05
2023-06-22,10:50:59,0.7856,27.19,24.81,3085,15095628.0,3.691266155266892e-05
2023-06-22,10:50:59,0.7893,27.19,24.81,3086,15095629.0,3.685366959553251e-05
2023-06-22,10:50:59,0.7931,27.19,24.81,3087,15095628.0,3.679477191637176e-05
2023-06-22,10:50:59,0.7969,27.19,24.81,3086,15095628.0,3.685366959553251e-05
2023-06-22,10:50:59,0.8006,27.19,24.81,3086,15095628.0,3.685366959553251e-05
2023-06-22,10:50:59,0.8044,27.19,24.81,3086,15095628.0,3.685366959553251e-05
2023-06-22,10:50:59,0.8081,27.19,24.81,3086,15095627.0,3.685366959553251e-05
2023-06-22,10:50:59,0.8119,27.19,24.81,3087,15095627.0,3.679477191637176e-05
2023-06-22,10:50:59,0.8157,27.19,24.81,3087,15095628.0,3.679477191637176e-05
2023-06-22,10:50:59,0.8194,27.19,24.81,3085,15095627.0,3.691266155266892e-05
2023-06-22,10:50:59,0.8232,27.19,24.81,3085,15095627.0,3.691266155266892e-05
2023-06-22,10:50:59,0.8271,27.19,24.81,3086,15095627.0,3.685366959553251e-05
2023-06-22,10:50:59,0.8308,27.19,24.81,3085,15095628.0,3.691266155266892e-05
2023-06-22,10:50:59,0.8346,27.19,24.81,3085,15095628.0,3.691266155266892e-05
2023-06-22,10:50:59,0.8382,27.19,24.81,3085,15095628.0,3.691266155266892e-05
2023-06-22,10:50:59,0.8419,27.19,24.81,3086,15095628.0,3.685366959553251e-05
2023-06-22,10:50:59,0.8457,27.19,24.81,3086,15095628.0,3.685366959553251e-05
2023-06-22,10:50:59,0.8495,27.19,24.81,3086,15095628.0,3.685366959553251e-05
2023-06-22,10:50:59,0.8532,27.19,24.81,3087,15095627.0,3.679477191637176e-05
2023-06-22,10:50:59,0.857,27.19,24.81,3086,15095627.0,3.685366959553251e-05
2023-06-22,10:50:59,0.8608,27.19,24.81,3086,15095627.0,3.685366959553251e-05
2023-06-22,10:50:59,0.8646,27.19,24.81,3086,15095627.0,3.685366959553251e-05
